,Interval,Hourly,Daily,Monthly,Yearly
0,"(-inf, 0.45)",970131.6948,731994.663,507958.6562,0
1,"(0.45, 1.5)",20388.17329,70259.1675,325341.7844,1277500
2,"(1.5, 2.5)",18123.9674,76089.68023,0,0
3,"(2.5, 4)",26766.62686,76237.12091,222795.7972,0
4,"(4, inf)",242089.5377,322919.3684,221403.7622,0
