,TimeEnding,Intensity_Index,Energy,Total_Emissions,SETTLEMENTDATE,METEREDMWFLOW,New_Energy,New_Emissions,New_Intensity_Index
7393,2022-11-05 01:00:00,0.11331533983333335,1193.40559381,135.21344963,2022-11-05 01:00:00,96.17166666666667,96.17166666666667,76.4791786555397,0.1641566075748666
7394,2022-11-05 02:00:00,0.11983521025,1123.71908501,134.62147185,2022-11-05 02:00:00,73.69916666666667,73.69916666666667,59.57224968103105,0.16217701814642815
7395,2022-11-05 03:00:00,0.12439703691666666,1082.1724525099999,134.54731412,2022-11-05 03:00:00,49.7475,49.7475,40.55658348289059,0.15469636100556647
7396,2022-11-05 04:00:00,0.12675169325,1060.4198304,134.39952242,2022-11-05 04:00:00,42.60916666666666,42.60916666666666,34.70127502425635,0.15330584952340648
7397,2022-11-05 05:00:00,0.12425406141666667,1072.4587175,133.22819886,2022-11-05 05:00:00,58.4475,58.4475,48.359455551524164,0.16056826958909542
7398,2022-11-05 06:00:00,0.07313296283333333,993.63368416,74.235302798,2022-11-05 06:00:00,115.67916666666667,115.67916666666667,98.66137067781627,0.15585925408415904
7399,2022-11-05 07:00:00,0.05435880083333333,1006.35447125,54.712811298,2022-11-05 07:00:00,-70.10833333333332,-70.10833333333332,-3.8116032885703235,0.05436733562682027
7400,2022-11-05 08:00:00,0.058166955416666666,925.8637558400001,53.740015831,2022-11-05 08:00:00,-162.76000000000002,-162.76000000000002,-9.447097287783988,0.058043114326517486
7401,2022-11-05 09:00:00,0.06709236241666668,795.40632124,53.198615354999994,2022-11-05 09:00:00,-302.4133333333333,-302.4133333333333,-20.226103525482458,0.06688231402544793
7402,2022-11-05 10:00:00,0.08653665449999999,633.31005458,53.523779147,2022-11-05 10:00:00,-307.7633333333332,-307.7633333333332,-26.01041395719233,0.08451433663483524
7403,2022-11-05 11:00:00,0.11308291775,470.79886750000003,52.985074579,2022-11-05 11:00:00,-310.64,-310.64,-34.960329566256995,0.11254291001241626
7404,2022-11-05 12:00:00,0.12660804758333333,423.96683334,53.447369656,2022-11-05 12:00:00,-279.81499999999994,-279.81499999999994,-35.274871910322716,0.12606497832611802
7405,2022-11-05 13:00:00,0.14303342833333332,378.65803375,53.588697091,2022-11-05 13:00:00,-171.6991666666667,-171.6991666666667,-24.299325019344387,0.14152267300468968
7406,2022-11-05 14:00:00,0.14102646041666667,390.30587334,53.885550743,2022-11-05 14:00:00,-48.895833333333314,-48.895833333333314,-6.750548962171052,0.1380597998228422
7407,2022-11-05 15:00:00,0.13010488516666666,475.13336958,61.960411314,2022-11-05 15:00:00,-39.85333333333335,-39.85333333333335,-5.197127972194575,0.13040635594332317
7408,2022-11-05 16:00:00,0.2420073585,559.64721166,135.603479086,2022-11-05 16:00:00,79.96666666666667,79.96666666666667,57.651333724279894,0.3021429324139521
7409,2022-11-05 17:00:00,0.38506858499999996,692.68342083,272.97508382,2022-11-05 17:00:00,160.00416666666666,160.00416666666666,120.5030824122496,0.461456425544353
7410,2022-11-05 18:00:00,0.47845197466666667,1023.41212958,489.20324468,2022-11-05 18:00:00,124.00583333333333,124.00583333333333,99.72949424804581,0.5132678395871767
7411,2022-11-05 19:00:00,0.4277191728333333,1119.54903625,479.16412246,2022-11-05 19:00:00,162.6016666666667,162.6016666666667,131.70912453566658,0.47644418523192145
7412,2022-11-05 20:00:00,0.3672855439166667,1073.70248751,394.19613879999997,2022-11-05 20:00:00,193.39583333333331,193.39583333333331,157.1706145513473,0.43514125485098754
7413,2022-11-05 21:00:00,0.3176535975,1134.69500626,359.71217463,2022-11-05 21:00:00,77.66583333333332,77.66583333333332,58.60780822129051,0.3450457728341087
7414,2022-11-05 22:00:00,0.249329036,1126.26598626,281.12231677,2022-11-05 22:00:00,27.589166666666667,27.589166666666667,20.559888949527107,0.2614558724761361
7415,2022-11-05 23:00:00,0.19173372691666668,1074.73295376,206.17305062,2022-11-05 23:00:00,70.83250000000001,70.83250000000001,50.52596211594552,0.2240806161650584
7416,2022-11-06 00:00:00,0.1600496465,1051.50799334,168.24106595,2022-11-06 00:00:00,171.83249999999998,171.83249999999998,122.99318614909323,0.2380647527688362
7417,2022-11-06 01:00:00,0.143773453,1040.30983792,149.64642442,2022-11-06 01:00:00,144.795,144.795,105.5766067698823,0.21535903240242363
7418,2022-11-06 02:00:00,0.14689647008333334,916.89147041,134.24774789,2022-11-06 02:00:00,165.30416666666667,165.30416666666667,122.07108042049096,0.23685073153952518
7419,2022-11-06 03:00:00,0.16921935641666666,789.32259125,133.42699487,2022-11-06 03:00:00,248.275,248.275,189.35803784228065,0.31108884160324585
7420,2022-11-06 04:00:00,0.1885781245,705.51711999,132.91322257,2022-11-06 04:00:00,315.7025,315.7025,244.32380370937403,0.3693985298510697
7421,2022-11-06 05:00:00,0.15008638516666667,509.64293292,79.060880616,2022-11-06 05:00:00,515.0283333333334,515.0283333333334,395.37917784138716,0.46301684655621983
7422,2022-11-06 06:00:00,0.24943385883333333,465.41433167,116.075896425,2022-11-06 06:00:00,533.79,533.79,405.5499164640998,0.5220411845265832
7423,2022-11-06 07:00:00,0.1971292035,490.02684376,97.801072457,2022-11-06 07:00:00,344.63166666666666,344.63166666666666,260.32235311623526,0.42906580487649637
7424,2022-11-06 08:00:00,0.14973139266666666,362.25291834,53.254966043,2022-11-06 08:00:00,298.1591666666667,298.1591666666667,231.2993684779932,0.4308739058252102
7425,2022-11-06 09:00:00,0.17457760074999998,315.06362876,53.821711160999996,2022-11-06 09:00:00,83.01833333333333,83.01833333333333,67.00803455801186,0.30352981854194744
7426,2022-11-06 10:00:00,0.21273171566666668,256.20330083,54.332738413,2022-11-06 10:00:00,-33.05500000000001,-33.05500000000001,-7.009935712863452,0.21206884625210862
7427,2022-11-06 11:00:00,0.163515356,333.25029959,53.534233535,2022-11-06 11:00:00,-148.39916666666667,-148.39916666666667,-23.839245319529528,0.16064271690337117
7428,2022-11-06 12:00:00,0.14265492433333335,395.71483499,56.474025998,2022-11-06 12:00:00,-194.70833333333334,-194.70833333333334,-27.787594768772806,0.14271394702558257
7429,2022-11-06 13:00:00,0.16595631108333334,386.18148081,64.486431376,2022-11-06 13:00:00,-214.10833333333335,-214.10833333333335,-35.75283391520986,0.16698478456486915
7430,2022-11-06 14:00:00,0.13856103025,409.80323041,56.988079438,2022-11-06 14:00:00,-212.425,-212.425,-29.540257070461948,0.13906205517458844
7431,2022-11-06 15:00:00,0.14511283308333334,481.05099168,68.727281326,2022-11-06 15:00:00,-127.87166666666668,-127.87166666666668,-18.268899057733456,0.1428690149582273
7432,2022-11-06 16:00:00,0.17594520941666666,583.44893125,103.981380859,2022-11-06 16:00:00,33.251666666666665,33.251666666666665,30.365971377698806,0.21784858437068172
7433,2022-11-06 17:00:00,0.2936480330833333,775.39452125,229.56113041,2022-11-06 17:00:00,187.69666666666666,187.69666666666666,166.84918760747425,0.41160206114540254
7434,2022-11-06 18:00:00,0.3814711885,734.40063708,280.40153399,2022-11-06 18:00:00,485.3574999999999,485.3574999999999,427.3017519697562,0.5801996842209549
7435,2022-11-06 19:00:00,0.3422475313333333,624.19337167,213.74230351,2022-11-06 19:00:00,730.7199999999999,730.7199999999999,597.6162815849228,0.5988269080958895
7436,2022-11-06 20:00:00,0.26800815941666667,714.23097791,190.69533019,2022-11-06 20:00:00,640.4525,640.4525,472.61581443639244,0.4896428984649212
7437,2022-11-06 21:00:00,0.20770289758333335,855.61427083,177.02880296,2022-11-06 21:00:00,404.46416666666664,404.46416666666664,308.4638011939738,0.385287605681498
7438,2022-11-06 22:00:00,0.11937558958333333,921.14160834,109.740090718,2022-11-06 22:00:00,269.53499999999997,269.53499999999997,214.96180076314317,0.2727036789055858
7439,2022-11-06 23:00:00,0.08879908275,1082.69844,95.934206956,2022-11-06 23:00:00,114.05,114.05,91.23710349449564,0.15639987836582905
7440,2022-11-07 00:00:00,0.0512574005,1144.03140334,58.786649744,2022-11-07 00:00:00,130.96833333333333,130.96833333333333,107.59808981145223,0.13049786189726997
7441,2022-11-07 01:00:00,0.04543245175,1167.03641168,53.014732669000004,2022-11-07 01:00:00,89.61583333333334,89.61583333333334,77.33262704530469,0.1037258797981312
7442,2022-11-07 02:00:00,0.04281407625,1238.6152597,52.985074576,2022-11-07 02:00:00,-57.362500000000004,-57.362500000000004,-2.453834083314903,0.042777669789756424
7443,2022-11-07 03:00:00,0.04438884133333334,1201.01996013,53.308890418000004,2022-11-07 03:00:00,-80.7425,-80.7425,-3.58386473785953,0.04438634842690689
7444,2022-11-07 04:00:00,0.05066723133333333,1214.6803000300001,61.451181561,2022-11-07 04:00:00,-82.03666666666668,-82.03666666666668,-4.150269085510041,0.05059041589748536
7445,2022-11-07 05:00:00,0.11543197633333334,1135.33368841,130.642406091,2022-11-07 05:00:00,48.5225,48.5225,43.104426806450235,0.14676346214889846
7446,2022-11-07 06:00:00,0.12954368891666665,1034.65417543,134.02396316,2022-11-07 06:00:00,239.67416666666668,239.67416666666668,205.0301143927219,0.26606492718734676
7447,2022-11-07 07:00:00,0.13117034475,1029.20966626,134.98305005,2022-11-07 07:00:00,103.20916666666666,103.20916666666666,87.49020756423124,0.19645845790047733
7448,2022-11-07 08:00:00,0.14239249316666666,888.08755958,126.290688931,2022-11-07 08:00:00,-16.704166666666666,-16.704166666666666,-2.3754197360328475,0.14220522241154487
7449,2022-11-07 09:00:00,0.13878792983333332,824.50005541,114.29425066,2022-11-07 09:00:00,-165.55416666666667,-165.55416666666667,-22.94953080797322,0.13862248996837823
7450,2022-11-07 10:00:00,0.11804333833333334,907.11880708,106.975406824,2022-11-07 10:00:00,-384.9891666666667,-384.9891666666667,-45.401299593347865,0.11792877183127976
7451,2022-11-07 11:00:00,0.13099218558333334,770.91913042,100.890465443,2022-11-07 11:00:00,-326.38416666666666,-326.38416666666666,-42.714013946295246,0.13087036170452074
7452,2022-11-07 12:00:00,0.16497742775,791.40526876,130.55245577,2022-11-07 12:00:00,-303.96750000000003,-303.96750000000003,-50.143340164319625,0.1649628337382109
7453,2022-11-07 13:00:00,0.17216926891666665,785.86530958,135.30779531,2022-11-07 13:00:00,-269.84833333333336,-269.84833333333336,-46.46162975551778,0.17217682681821678
7454,2022-11-07 14:00:00,0.2135949465,687.47961374,146.21711686999998,2022-11-07 14:00:00,-106.39166666666668,-106.39166666666668,-22.627991358704293,0.21268574943561638
7455,2022-11-07 15:00:00,0.28793099483333334,759.57719875,219.19761625,2022-11-07 15:00:00,-20.409166666666668,-20.409166666666668,-5.889645832371416,0.2885784573453799
7456,2022-11-07 16:00:00,0.3223285186666667,901.570235,290.07970396999997,2022-11-07 16:00:00,116.74,116.74,103.50293016444766,0.3865056253062679
7457,2022-11-07 17:00:00,0.31403112066666666,981.48221833,309.1386306,2022-11-07 17:00:00,340.64,340.64,261.3461386624047,0.4314917042866096
7458,2022-11-07 18:00:00,0.415268237,1255.73744943,522.30731563,2022-11-07 18:00:00,290.9683333333333,290.9683333333333,221.29359130957815,0.48076428964470935
7459,2022-11-07 19:00:00,0.3990178418333334,1280.8949891,511.33074459,2022-11-07 19:00:00,308.175,308.175,241.01127886665455,0.47344800960136296
7460,2022-11-07 20:00:00,0.3347497238333333,1275.1069459,427.20052471,2022-11-07 20:00:00,258.4108333333333,258.4108333333333,201.8210410524807,0.41018211479553474
7461,2022-11-07 21:00:00,0.2057126460833333,1114.55692868,230.74179864,2022-11-07 21:00:00,305.41249999999997,305.41249999999997,237.08968476845635,0.32946588423622003
7462,2022-11-07 22:00:00,0.13381569608333332,1048.44633001,141.718910595,2022-11-07 22:00:00,272.0858333333333,272.0858333333333,218.30458750078665,0.27263516034647456
7463,2022-11-07 23:00:00,0.09937269083333333,1036.44745293,102.664744261,2022-11-07 23:00:00,279.34,279.34,215.8854925338975,0.24209855177258968
7464,2022-11-08 00:00:00,0.08145741699999999,1266.29693784,102.901136667,2022-11-08 00:00:00,104.835,104.835,78.41159980585371,0.13223580566468537
