,TimeEnding,Intensity_Index,Energy,Total_Emissions,SETTLEMENTDATE,METEREDMWFLOW,MWFLOW,INTERCONNECTORID,SETTLEMENTDATE,METEREDMWFLOW.1,MWFLOW,MWLOSSES,New_Energy_N_Q,New_Emissions_N_Q,New_Energy_V_N,New_Emissions_V_N,New_Intensity_Index
1845,2022-03-18 21:00:00,0.6820634745833334,7122.8740189,4858.3600616,2022-03-18 21:00:00,-72.01916666666666,-91.86333333333332,VIC1-NSW1,2022-03-18 21:00:00,601.0508333333333,590.4075,22.219166666666663,72.01916666666666,51.777179649261804,601.0508333333333,479.0136936355729,0.6912762484979001
1846,2022-03-18 22:00:00,0.67471327275,6920.3834421,4669.6960651,2022-03-18 22:00:00,-87.3775,-85.6825,VIC1-NSW1,2022-03-18 22:00:00,618.1416666666667,623.1783333333334,27.995833333333334,87.3775,62.67992295309919,618.1416666666667,504.38200688736464,0.686706644918378
1847,2022-03-18 23:00:00,0.6627814339166667,6643.0794963,4402.9365612,2022-03-18 23:00:00,-116.62583333333333,-129.60916666666665,VIC1-NSW1,2022-03-18 23:00:00,557.6625,533.8125,19.31583333333333,116.62583333333333,83.95198548758019,557.6625,459.00033006037,0.6759109275221148
1848,2022-03-19 00:00:00,0.6667481960833334,6244.417513599999,4164.0945394,2022-03-19 00:00:00,-120.97916666666666,-131.39416666666668,VIC1-NSW1,2022-03-19 00:00:00,577.7166666666667,586.9558333333333,23.184166666666663,120.97916666666666,86.88592824677528,577.7166666666667,475.8408289137801,0.68079275972764
1849,2022-03-19 01:00:00,0.6875011525833333,5793.5689644,3981.7387499,2022-03-19 01:00:00,-88.04166666666666,-90.29166666666666,VIC1-NSW1,2022-03-19 01:00:00,606.9675,627.4833333333333,27.824166666666667,88.04166666666666,63.37942383706261,606.9675,500.0470644309955,0.70048709383744
1850,2022-03-19 02:00:00,0.6875193635833333,5539.6995192,3808.0204181999998,2022-03-19 02:00:00,-56.660833333333336,-54.108333333333334,VIC1-NSW1,2022-03-19 02:00:00,632.6274999999999,620.5333333333333,28.7525,56.660833333333336,41.15551444680524,632.6274999999999,520.1900047723757,0.7014568082103672
1851,2022-03-19 03:00:00,0.6686359606666668,5601.4239937,3745.4162575,2022-03-19 03:00:00,-61.9425,-51.42333333333333,VIC1-NSW1,2022-03-19 03:00:00,593.0008333333334,611.5258333333333,28.825,61.9425,45.16211922984116,593.0008333333334,496.88250563117964,0.685295581005162
1852,2022-03-19 04:00:00,0.660524653,5639.2400554,3724.5543057,2022-03-19 04:00:00,-66.93583333333333,-64.30083333333334,VIC1-NSW1,2022-03-19 04:00:00,633.4316666666667,639.9833333333333,34.24666666666667,66.93583333333333,48.94035115273111,633.4316666666667,541.7369137973662,0.6806780282439466
1853,2022-03-19 05:00:00,0.6633968603333333,6066.3008641,4024.6326666,2022-03-19 05:00:00,-96.67416666666665,-90.53916666666667,VIC1-NSW1,2022-03-19 05:00:00,447.2183333333333,434.15,15.600833333333334,96.67416666666665,70.57504998152552,447.2183333333333,398.8028408617273,0.6798606803017672
1854,2022-03-19 06:00:00,0.6961460405833333,6390.9761094,4449.6315972,2022-03-19 06:00:00,-198.0791666666667,-171.8416666666667,VIC1-NSW1,2022-03-19 06:00:00,441.98583333333335,487.9625,18.383333333333333,198.0791666666667,142.8752186812836,441.98583333333335,375.76687858692867,0.706619918325607
