,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
0,NSW1,Cell 2127,2021,3.9253700294589122,27287785.41639589,60,1.0,4658.784824924564,37.56614760000001,36.598290814786,39.403763772319024,38.83868571428572,0.0,-90060058.28571428,0.0,73128.76732800002,AA,0,0,0.0,0.0,19050.31411,1699.9456446954316,Pipeline,998.5604408763458,19332.0,4729816.877704948,1576800.0,0.0,0,0.0,0,1
1,NSW1,Cell 2127,2021,4.0422716279647535,34559464.72581665,60,0.981940355113919,4658.784824924568,33.26279961435249,32.821449912365544,35.15715788095783,34.55195963310194,1626452.6710597526,-81746349.65558201,0.0,64751.583249272844,AA,0,0,2194.1398679999998,2440.1937780000003,19050.31411,1698.949249268272,Pipeline,998.5612846504584,19332.0,4084181.2757396144,1576800.0,0.0,0,0.1,0,1
2,NSW1,Cell 2127,2021,4.159612710468292,41797937.19123937,60,0.963056257372281,4658.784824924564,28.952280883236643,29.058132894061387,30.916237525077186,30.265233551918165,3327155.6143448027,-73506891.29767503,0.0,56360.440119367326,AA,0,0,4388.2797359999995,4880.387556000001,19050.31411,1664.6511836061459,Pipeline,998.5903291634413,19332.0,3443246.5891966326,1576800.0,0.0,0,0.2,0,1
3,NSW1,Cell 2127,2021,4.2774931744792175,49061013.63662934,60,0.9424960032631423,4658.7848249245735,24.62718364639368,25.316871358209564,26.673189604640076,25.97850747073438,5178813.297782947,-65418387.67992114,0.0,47940.91749831302,AA,0,0,6582.419604000001,7320.581334000001,19050.31411,1655.0277386936193,Pipeline,998.5984785521986,19332.0,2800777.342872369,1576800.0,0.0,0,0.30000000000000004,0,1
4,NSW1,Cell 2127,2021,4.396060196935197,56329116.02453009,60,0.9201540127146532,4658.784824924578,20.286589612599727,21.560754516358816,22.424515132436078,21.691781389550606,7190934.268798749,-57490347.349744916,0.0,39491.22777919413,AA,0,0,8776.559471999999,9760.775112000001,19050.31411,1650.4444603088727,Pipeline,998.6023597940698,19332.0,2159292.9570732987,1576800.0,0.0,0,0.4,0,1
5,NSW1,Cell 2127,2021,4.515532455035424,63600187.00036617,60,0.8949619269699617,4658.784824924584,15.921206645060515,17.79637086529151,18.168423279342637,17.40505530836683,9459734.979304405,-49818986.75905854,0.0,30993.282269051135,AA,0,0,10970.69934,12200.96889,19050.31411,1648.8381111854383,Pipeline,998.6037200931733,19332.0,1519515.9322341515,1576800.0,0.0,0,0.5,0,1
6,NSW1,Cell 2127,2021,4.638139189019601,70887067.05358386,60,0.8631854414399266,4658.784824924564,11.566892215214182,14.048545922539024,13.965537099187873,13.188980999703915,12321527.118254477,-42904446.58933261,-163828.99251603725,22516.88351228361,AA,0,0,13164.839208000001,14641.162668000003,19050.31411,1663.0852854314965,Pipeline,998.591655207607,22729.0,885032.8350126101,1576800.0,0.0,0,0.6000000000000001,0,1
7,NSW1,Cell 2127,2021,4.764571620262363,78190032.61238015,60,0.8201380638016886,4658.784824924564,7.1481664684959805,10.354142995887898,9.783703756592239,9.007663673198204,16198376.457401346,-37085558.92784095,-408253.2930695233,13915.097392005508,AA,0,0,15358.979076,17081.356446,19050.31411,1693.4643572205666,Pipeline,998.565929402727,26717.0,257369.79939846206,1576800.0,0.0,0,0.7000000000000001,0,1
8,NSW1,Cell 2127,2021,4.894327998013346,85476988.08770692,60,0.7676002592079355,4658.7848249245935,2.6729782459869615,6.659176451294564,5.626346874935712,4.853311120689923,20929934.201318353,-32183906.223529927,-715204.1460335285,5203.397652187951,AA,0,0,17553.118943999998,19521.550224000002,19050.31411,1707.7882522992638,Pipeline,998.5537995479218,30534.0,-361016.6431553309,1576800.0,0.0,0,0.8,0,1
9,NSW1,Cell 2127,2021,5.026793951134172,92763714.7468027,60,0.7080052830139948,4658.784824924564,-1.8471133879615314,2.93155368630077,1.4846675246739036,0.7159936268510319,26297061.23088029,-27957324.09973133,-1061656.2938650232,-3595.7140618984477,AA,0,0,19747.258812,21961.744002,19050.31411,1721.8830103700518,Pipeline,998.541863732421,34351.0,-973274.0028719929,1576800.0,0.0,0,0.9,0,1
10,NSW1,Cell 2127,2021,5.162341877580092,100047255.07674368,60,0.6405828713243602,4658.784824924592,-6.416178084059775,-0.7969576852604825,-2.6331176656309805,-3.4015699436261797,32369127.557412393,-24481487.135192156,-1453914.3039857736,-12490.16000363636,AA,0,0,21941.39868,24401.93778,19050.31411,1732.7823895226961,Pipeline,998.5326338486594,38167.0,-1578232.9174287587,1576800.0,0.0,0,1.0,0,1
11,NSW1,Cell 2127,2021,5.301436964237149,107329809.32069878,60,0.5652301448412473,4658.784824924593,-11.027311461328633,-4.491492215718327,-6.715410286557101,-7.491316214591891,39155398.496469066,-21784358.191809513,-1910675.7227384965,-21466.499644719737,AA,0,0,24135.538548,26842.131558,19050.31411,1742.6929645890737,Pipeline,998.5242413104615,41984.0,-2175091.4027119973,1576800.0,0.0,0,1.1,0,1
