,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,,RE factor,EI_market,EI_MEF,EI_AEF,EI_L,EI_MEF-EI_Market,EI_AEF-EI_L,,,,,,
11,QLD1,Cell 1375,2023,3.867056407,91529775.27,60,0.586695014,5292.048056,-9.939543406,-2.820533015,-5.900896615,-7.042049159,37222271.11,-22011444.93,-5014973.095,-19348.97783,AA,0,0,21236.41459,20664.33976,16770.69319,1769.34717,Pipeline,998.5016698,33065,-3341146.026,1576800,1124.939215,0,1.1,0,1,,2.498450951,-0.252272675,-0.071587132,-0.14976895,-0.178732212,0.180685543,0.028963263,,,,,,
12,QLD1,Cell 1375,2023,3.865922194,97642048.63,60,0.519311266,5292.048056,-14.041182,-5.542064092,-9.243863002,-10.9439542,43290855.38,-19651914.31,-6612845.256,-27333.50096,AA,0,0,23166.99774,22542.9161,16770.69319,1769.34717,Pipeline,998.5016698,36071,-4106962.85,1576800,1153.815175,0,1.2,0,1,,2.725582856,-0.356375178,-0.140661525,-0.234615812,-0.277765335,0.215713653,0.043149523,,,,,,
13,QLD1,Cell 1375,2023,3.866978,103754322,60,0.448952027,5292.048056,-18.08270102,-8.266392093,-12.51833867,-14.75040923,49627412.59,-17766528.66,-8416889.45,-35200.99132,AA,0,0,25097.58088,24421.49244,16770.69319,1769.34717,Pipeline,998.5016698,39077,-4867846.501,1576800,1182.691136,0,1.3,0,1,,2.952714761,-0.458951803,-0.209806906,-0.317724332,-0.374375869,0.249144897,0.056651537,,,,,,
14,QLD1,Cell 1375,2023,3.869471445,109866595.4,60,0.375667892,5292.048056,-22.11502794,-10.99351311,-15.76542269,-18.51842681,56227386.08,-16227584.17,-10303958.52,-43050.58773,AA,0,0,27028.16403,26300.06879,16770.69319,1769.34717,Pipeline,998.5016698,42083,-5625491.765,1576800,1211.567097,0,1.4,0,1,,3.179846665,-0.561295126,-0.279023175,-0.400137632,-0.470010833,0.282271951,0.069873201,,,,,,
15,QLD1,Cell 1375,2023,3.8730869,115978868.7,60,0.300240895,5292.048056,-26.14246959,-13.71875199,-18.99184735,-22.26033635,63020345.77,-14938019.25,-12247420.96,-50890.67414,AA,0,0,28958.74717,28178.64513,16770.69319,1769.34717,Pipeline,998.5016698,45088,-6380609.623,1576800,1240.443057,0,1.5,0,1,,3.40697857,-0.663514457,-0.348191675,-0.482026583,-0.564983156,0.315322782,0.082956574,,,,,,
16,SA1,Cell 266,2023,3.538088893,26174487.57,60,1,5448.451556,37.5661476,22.36595238,8.816013722,14.27892857,0,-90060058.29,1.94E-08,73128.76733,AA,0,0,0,0,16289.2729,4308.829472,Pipeline,996.3511688,16530,4129370.708,1576800,3822.530161,0,0,0,1,,0,0.953455523,0.567663766,0.223756693,0.362409355,-0.385791757,-0.138652661,,12.89729944,22.36595238,8.816013722,14.27892857,0.327342625
17,SA1,Cell 266,2023,3.542304287,31597638.13,60,0.976647845,5448.451556,33.33804438,20.18158911,7.860720663,12.74902376,2103096.432,-82513739.11,1.89E-08,64898.05973,AA,0,0,1874.924087,1353.459823,16289.2729,4298.928514,Pipeline,996.3595532,16530,3462933.879,1576800,3802.025626,0,0.1,0,1,,0.198190793,0.846143258,0.512223074,0.199510677,0.323579283,-0.333920184,-0.124068607,,11.29643571,20.18158911,7.860720663,12.74902376,0.286711566
18,SA1,Cell 266,2023,3.546711686,36998652.22,60,0.952433959,5448.451556,29.10244618,18.00683103,6.908845278,11.21911896,4283800.423,-75045027.5,9.02E-09,56652.76191,AA,0,0,3749.848173,2706.919647,16289.2729,4266.729701,Pipeline,996.38682,16530,2799403.36,1576800,3781.521092,0,0.2,0,1,,0.396381586,0.738640766,0.457026168,0.175351403,0.284749212,-0.281614598,-0.109397809,,9.687490801,18.00683103,6.908845278,11.21911896,0.245875401
19,SA1,Cell 266,2023,3.55135845,42431631.57,60,0.927375131,5448.451556,24.85949904,15.85238614,5.950870392,9.689214147,6540599.891,-67652411.36,1.72E-08,48393.15813,AA,0,0,5624.77226,4060.37947,16289.2729,4266.729701,Pipeline,996.38682,16530,2132839.831,1576800,3761.016557,0,0.3,0,1,,0.594572378,0.630951752,0.402344826,0.15103732,0.245919141,-0.228606926,-0.094881821,,8.070622179,15.85238614,5.950870392,9.689214147,0.204838126
20,SA1,Cell 266,2023,3.556253354,47854376.75,60,0.900913269,5448.451556,20.60434889,13.69618379,4.99907427,8.159309339,8923756.769,-60386152.63,1.69E-08,40109.79917,AA,0,0,7499.696346,5413.839293,16289.2729,4256.421134,Pipeline,996.3955495,16530,1467978.948,1576800,3921.856847,0,0.4,0,1,,0.792763171,0.522953017,0.347618878,0.126880058,0.20708907,-0.175334139,-0.080209012,,6.440596135,13.69618379,4.99907427,8.159309339,0.163466907
21,SA1,Cell 266,2023,3.561444923,53297590.26,60,0.873533847,5448.451556,16.34121819,11.52781083,4.044929548,6.629404531,11389549.12,-53202529.38,1.69E-08,31810.90474,AA,0,0,9374.620433,6767.299117,16289.2729,4266.729701,Pipeline,996.38682,16530,801498.9384,1576800,4043.434068,0,0.5,0,1,,0.990953964,0.414751731,0.292584031,0.102663186,0.168258998,-0.1221677,-0.065595812,,4.801965374,11.52781083,4.044929548,6.629404531,0.121877294
22,SA1,Cell 266,2023,3.566924588,58724418.25,60,0.84444878,5448.451556,12.0632525,9.363735521,3.084928567,5.099499723,14008951.98,-46172516.63,1.72E-08,23483.13153,AA,0,0,11249.54452,8120.75894,16289.2729,4260.533607,Pipeline,996.392067,16530,137499.0076,1576800,4064.578847,0,0.6,0,1,,1.189144757,0.306173921,0.237658262,0.078297679,0.129428927,-0.068515659,-0.051131248,,3.147339363,9.363735521,3.084928567,5.099499723,0.07988171
23,SA1,Cell 266,2023,3.575297143,64202501.15,60,0.813420428,5448.451556,7.967577076,7.204446009,2.134862892,3.645308039,16803367.17,-39795054.04,-477537.8164,15510.21671,AA,0,0,13124.46861,9474.218764,16289.2729,4305.966743,Pipeline,996.353593,18890,-525712.3434,1576800,4137.352857,0,0.7,0,1,,1.387335549,0.202222768,0.18285396,0.054184337,0.092520509,-0.019368808,-0.038336171,,1.542876685,7.204446009,2.134862892,3.645308039,0.039159307
24,SA1,Cell 266,2023,3.587068371,69633560.26,60,0.77910616,5448.451556,4.080679208,5.071942195,1.215781554,2.281336003,19893712.07,-34282554.51,-1524108.996,7943.722193,AA,0,0,14999.39269,10827.67859,16289.2729,4304.032406,Pipeline,996.355231,21589,-1176012.918,1576800,4095.903184,0,0.8,0,1,,1.585526342,0.103570538,0.128729497,0.0308574,0.057901929,0.025158959,-0.027044529,,-0.010910752,5.071942195,1.215781554,2.281336003,-0.000276923
25,SA1,Cell 266,2023,3.601640701,75068459.84,60,0.74196325,5448.451556,0.340013169,2.96685087,0.307187236,0.982298203,23238804.76,-29434355.99,-2980233.389,661.8923028,AA,0,0,16874.31678,12181.13841,16289.2729,4305.966743,Pipeline,996.353593,24287,-1820432.991,1576800,4032.665714,0,0.9,0,1,,1.783717135,0.008629776,0.075300784,0.00779663,0.024931426,0.066671008,-0.017134796,,-1.532573523,2.96685087,0.307187236,0.982298203,-0.038897805
26,SA1,Cell 266,2023,3.618570459,80560806.81,60,0.702865196,5448.451556,-3.284740966,0.897195848,-0.593546118,-0.266217747,26759977.8,-25080889.23,-4755009.192,-6394.295748,AA,0,0,18749.24087,13534.59823,16289.2729,4365.773562,Pipeline,996.302947,26986,-2465962.677,1576800,4063.334792,0,1,0,1,,1.981907928,-0.08336906,0.022771468,-0.015064622,-0.006756796,0.106140528,-0.008307827,,-3.026937941,0.897195848,-0.593546118,-0.266217747,-0.076825836
27,SA1,Cell 266,2023,3.641880071,85934418.53,60,0.65456662,5448.451556,-6.746621746,-1.100558173,-1.450120109,-1.422408835,31109750.32,-22138333.32,-7112096.369,-13133.42367,AA,0,0,20624.16495,14888.05806,16289.2729,4305.966743,Pipeline,996.353593,29685,-3083852.33,1576800,4029.53459,0,1.1,0,1,,2.18009872,-0.171234054,-0.027932949,-0.036805079,-0.036101747,0.143301105,-0.000703332,,-4.524191767,-1.100558173,-1.450120109,-1.422408835,-0.114827202
