,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
0,QLD1,Cell 1375,2022,6.970867661750721,38967975.39286052,60,1.0,5242.078116373181,37.673091826836135,33.773680766710804,38.137556588152066,41.81316826855598,0.0,-90316443.46006691,0.0,73336.95208957433,AA,0,0,0.0,0.0,16930.55927734148,120000.0,Lined Rock,135.20962596339757,17230.0,10397983.402577791,1576800.0,22127.86719095867,0,0.0,0,1
1,QLD1,Cell 1375,2022,6.549137256551654,45159830.4238811,60,0.9732808497936655,5242.078116373212,33.29130799293794,30.42464569784526,33.981333448575306,37.208509488847284,2413135.122836054,-82783515.61874616,6.488624748612892e-09,64807.079559585836,AA,0,0,1949.0659467661565,1916.2810228680498,16930.55927734148,120000.00000000015,Lined Rock,135.20962596339754,17230.0,8674747.117053153,1576800.0,21985.755193214514,0,0.1,0,1
2,QLD1,Cell 1375,2022,6.127486965042819,51351685.45490165,60,0.9458607029962578,5242.078116373213,28.903572794631593,27.085448454300362,29.825282161347765,32.604024190965845,4889512.777318787,-75314205.02980494,8.180851551742307e-09,56265.621706882834,AA,0,0,3898.131893532313,3832.5620457360997,16930.55927734148,120000.00000000015,Lined Rock,135.20962596339754,17230.0,6951691.293338178,1576800.0,21794.131695987835,0,0.2,0,1
3,QLD1,Cell 1375,2022,5.705937237565804,57543540.48592222,60,0.918160756143345,5242.078116373236,24.51337578310651,23.73226041838119,25.669166427125298,27.999507158770225,7391085.486508619,-67870020.94945315,8.882160784651205e-09,47719.371524447335,AA,0,0,5847.1978402984705,5748.84306860415,16930.55927734148,120000.00000000015,Lined Rock,135.20962596339754,17230.0,5228861.997288018,1576800.0,21756.3309549443,0,0.30000000000000004,0,1
4,QLD1,Cell 1375,2022,5.2845070152858895,63735395.51694277,60,0.890310414134345,5242.078116373229,20.121901420829094,20.387897750408612,21.510047608441983,23.395021210951473,9906174.661868878,-60439420.47752402,8.034724885419564e-09,39170.634765880626,AA,0,0,7796.263787064626,7665.124091472199,16930.55927734148,120000.00000000015,Lined Rock,135.20962596339754,17230.0,3506301.895230416,1576800.0,21708.41972115278,0,0.4,0,1
5,QLD1,Cell 1375,2022,4.863248064110639,69927250.5479633,60,0.8611717632230187,5242.078116373221,15.719104256939758,17.058134944453453,17.35089632789634,18.79042825335314,12537508.698288247,-53124833.72553075,7.86428344667911e-09,30599.856286842725,AA,0,0,9745.329733830782,9581.405114340248,16930.55927734148,120000.0,Lined Rock,135.20962596339757,17230.0,1784127.59356972,1576800.0,21704.92233252428,0,0.5,0,1
6,QLD1,Cell 1375,2022,4.443531138349268,76119105.57898389,60,0.8295320222298387,5242.078116373221,11.339813397529593,13.724226779942482,13.23130360916474,14.236232715449896,15395619.878143648,-46145882.543515496,-103020.10029481884,22074.836747190937,AA,0,0,11694.395680596941,11497.6861372083,16930.55927734148,120000.00000000004,Lined Rock,135.20962596339757,18360.0,65426.81429845486,1576800.0,21530.67054600291,0,0.6000000000000001,0,1
7,QLD1,Cell 1375,2022,4.02732915427582,82310960.61000443,60,0.7907668322965152,5242.07811637321,6.968785824355593,10.395014642501112,9.174509827317172,9.760166361759786,18897063.371305738,-39979022.71270684,-377193.1191942706,13565.90307141222,AA,0,0,13643.461627363096,13413.967160076349,16930.55927734148,120000.0,Lined Rock,135.20962596339757,21420.0,-1645356.3077534947,1576800.0,20912.339001986347,0,0.7000000000000001,0,1
8,QLD1,Cell 1375,2022,3.6142971322373834,88502815.641025,60,0.7441110914994774,5242.0781163732045,2.5567284588992085,7.072023824595576,5.140395123827137,5.314956600223234,23111226.66811884,-34591532.92460094,-718364.2550169834,4977.098066657126,AA,0,0,15592.527574129252,15330.248182944399,16930.55927734148,120000.00000000015,Lined Rock,135.20962596339754,24480.0,-3348998.8638957264,1576800.0,20653.89904252117,0,0.8,0,1
9,QLD1,Cell 1375,2022,3.2043091987070356,94694670.67204556,60,0.6905528431324554,5242.078116373219,-1.8941719755788538,3.752911610944195,1.1289291306662328,0.893480462521265,27949014.354355887,-29878932.15340195,-1110650.5013584788,-3687.321445793502,AA,0,0,17541.593520895407,17246.529205812447,16930.55927734148,120000.0,Lined Rock,135.20962596339757,27540.0,-5045784.393238592,1576800.0,21026.49172627475,0,0.9,0,1
