,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,RE factor,EI_market,EI_MEF,EI_AEF,EI_L,EI_MEF-EI_market,EI_AEF-EI_L,,,,,
12,QLD1,Cell 1375,2021,3.765807114,100407196.8,60,0.497500211,5232.84377,-15.60342191,-8.985820312,-11.34400905,-12.46732529,45255160.32,-18325737.69,-3068179.428,-30374.66131,AA,0,0,23430.24211,24438.45515,16960.43646,1694.764127,Pipeline,998.5648287,39512,-4690434.304,1576800,0,0,1.2,0,1,2.82237414,-0.396025937,-0.228066505,-0.287919011,-0.316429576,0.167959431,0.028510565,,,,,
13,QLD1,Cell 1375,2021,3.795573716,106738666.7,60,0.416615753,5232.84377,-20.1149822,-12.716728,-15.31350152,-16.69387254,52539619.25,-16480854.57,-3943642.397,-39157.16534,AA,0,0,25382.76229,26474.99308,16960.43646,1698.585719,Pipeline,998.5615925,42804,-5414374.35,1576800,0,0,1.3,0,1,3.057571985,-0.510532543,-0.322759594,-0.388667551,-0.423702349,0.187772949,0.035034798,,,,,
14,QLD1,Cell 1375,2021,3.826791001,113078941.3,60,0.332369121,5232.84377,-24.64106027,-16.42660046,-19.26786935,-20.90407657,60126875.92,-14974070.52,-4854406.71,-47967.93066,AA,0,0,27335.28246,28511.53101,16960.43646,1711.237674,Pipeline,998.5508785,46097,-6136030.588,1576800,0,0,1.4,0,1,3.292769829,-0.625407621,-0.416918793,-0.489032217,-0.530560319,0.208488828,0.041528102,,,,,
15,QLD1,Cell 1375,2021,3.859063065,119409869.7,60,0.245653486,5232.84377,-29.17797862,-20.12134959,-23.21029115,-25.10247792,67936491.02,-13715138.72,-5790664.835,-56799.79838,AA,0,0,29287.80264,30548.06894,16960.43646,1714.516336,Pipeline,998.548102,49389,-6854266.394,1576800,0,0,1.5,0,1,3.527967675,-0.740557833,-0.510694152,-0.589093684,-0.637118729,0.229863681,0.048025045,,,,,
16,SA1,Cell 266,2021,3.10738372,24643144.41,60,1,5393.155055,37.5661476,28.84068738,13.54592601,14.27892857,0,-90060058.29,0,73128.76733,AA,0,0,0,0,16456.28827,2542.888189,Pipeline,997.8466147,16699,3321384.507,1576800,0,0,0,0,1,0,0.953455523,0.731997142,0.343805229,0.362409355,-0.221458381,-0.018604126,,12.89729944,14.27892857,28.84068738,0.327342625
17,SA1,Cell 266,2021,3.190597789,29910728.53,60,0.979608377,5393.155055,33.40459585,26.01335354,12.17059945,12.76453265,1836470.771,-82344931.07,0,65027.61326,AA,0,0,1894.233448,1175.588413,16456.28827,2526.360971,Pipeline,997.8606104,16699,2852823.846,1576800,0,0,0.1,0,1,0.186544001,0.847832382,0.660237399,0.308898463,0.32397291,-0.187594982,-0.015074447,,11.33820731,12.76453265,26.01335354,0.287771759
18,SA1,Cell 266,2021,3.274266544,35199566.86,60,0.957992295,5393.155055,29.23239428,23.17874122,10.79343084,11.25013672,3783216.319,-74740078.64,0,56905.72754,AA,0,0,3788.466895,2351.176826,16456.28827,2531.179543,Pipeline,997.8565299,16699,2382912.189,1576800,0,0,0.2,0,1,0.373088003,0.741938941,0.588292924,0.273944945,0.285536465,-0.153646017,-0.01159152,,9.767632416,11.25013672,23.17874122,0.247909452
19,SA1,Cell 266,2021,3.358363333,40481001.59,60,0.934928735,5393.155055,25.04760314,20.34594533,9.412765435,9.735740794,5860321.952,-67265586.29,0,48759.33411,AA,0,0,5682.700343,3526.765239,16456.28827,2528.56267,Pipeline,997.858746,16699,1914792.079,1576800,0,0,0.3,0,1,0.559632004,0.635725968,0.516394552,0.238902676,0.24710002,-0.119331416,-0.008197344,,8.183483307,9.735740794,20.34594533,0.207702622
20,SA1,Cell 266,2021,3.442967386,45776663.7,60,0.909789855,5393.155055,20.84476174,17.57435432,8.012675301,8.221344868,8124330.933,-59977997.29,0,40577.80286,AA,0,0,7576.93379,4702.353652,16456.28827,2540.234492,Pipeline,997.848862,16699,1446224.674,1576800,0,0,0.4,0,1,0.746176005,0.529054866,0.446049602,0.203367393,0.208663575,-0.083005264,-0.005296182,,6.579872212,8.221344868,17.57435432,0.167001833
21,SA1,Cell 266,2021,3.528095113,51080890.82,60,0.882881492,5393.155055,16.62653013,14.76290189,6.622460229,6.706948942,10547699.65,-52849768.02,0,32366.31198,AA,0,0,9471.167238,5877.942066,16456.28827,2560.508793,Pipeline,997.8316931,16699,977879.7193,1576800,0,0,0.5,0,1,0.932720007,0.421993151,0.374692941,0.168082747,0.170227131,-0.047300209,-0.002144384,,4.959667208,6.706948942,14.76290189,0.125879878
22,SA1,Cell 266,2021,3.613741473,56366017.89,60,0.853708951,5393.155055,12.38860563,11.95446171,5.24470322,5.192553017,13174980.42,-45925450.81,0,24116.48563,AA,0,0,11365.40069,7053.530479,16456.28827,2561.600199,Pipeline,997.8307689,16699,512837.5009,1576800,0,0,0.6,0,1,1.119264008,0.314431615,0.303412734,0.133114295,0.131790686,-0.011018881,0.001323609,,3.318229125,5.192553017,11.95446171,0.084219013
23,SA1,Cell 266,2021,3.701400776,61678388.98,60,0.820758536,5393.155055,8.218647849,9.089700666,3.87167875,3.716480795,16142496.7,-39583084.37,-241715.2703,15998.96781,AA,0,0,13259.63413,8229.118892,16456.28827,2590.055036,Pipeline,997.8066726,18052,49284.99336,1576800,0,0,0.7,0,1,1.305808009,0.208595123,0.230703063,0.098265958,0.094326924,0.02210794,0.003939034,,1.675978291,3.716480795,9.089700666,0.04253752
24,SA1,Cell 266,2021,3.792921464,67017073.85,60,0.784152848,5393.155055,4.26460148,6.340184635,2.517508883,2.334560892,19439207.05,-34163749.51,-1077268.037,8301.757548,AA,0,0,15153.86758,9404.707305,16456.28827,2644.942842,Pipeline,997.7601921,20631,-408510.0976,1576800,0,0,0.8,0,1,1.49235201,0.108238616,0.160918392,0.063896165,0.059252815,0.052679776,0.00464335,,0.084491075,2.334560892,6.340184635,0.002144444
25,SA1,Cell 266,2021,3.887362093,72323045.45,60,0.743586619,5393.155055,0.425432099,3.606297274,1.212896975,1.00939923,23092604.07,-29459086.89,-2270806.386,828.1744868,AA,0,0,17048.10103,10580.29572,16456.28827,2666.97314,Pipeline,997.7415363,23210,-856072.0236,1576800,0,0,0.9,0,1,1.678896012,0.010797769,0.091530388,0.030784187,0.02561927,0.080732619,0.005164917,,-1.492871117,1.00939923,3.606297274,-0.03789013
26,SA1,Cell 266,2021,3.98422266,77621390.28,60,0.698268014,5393.155055,-3.347069979,0.955115592,-0.071658577,-0.274710972,27174000.21,-25441343.17,-3723264.502,-6515.62956,AA,0,0,18942.33448,11755.88413,16456.28827,2681.342659,Pipeline,997.7293678,25789,-1297330.556,1576800,0,0,1,0,1,1.865440013,-0.084951015,0.024241512,-0.001818746,-0.00697236,0.109192527,0.005153614,,-3.077720942,-0.274710972,0.955115592,-0.078114745
27,SA1,Cell 266,2021,4.087043515,82907352.82,60,0.644057571,5393.155055,-6.998685528,-1.600777373,-1.312974502,-1.483476035,32056195.89,-22699615.84,-5650939.479,-13624.10783,AA,0,0,20836.56792,12931.47254,16456.28827,2683.27358,Pipeline,997.7277327,28367,-1723779.365,1576800,0,0,1.1,0,1,2.051984014,-0.177631612,-0.040628867,-0.033324226,-0.037651676,0.137002745,0.00432745,,-4.677902172,-1.483476035,-1.600777373,-0.118728482
28,SA1,Cell 266,2021,4.191426328,88206660.4,60,0.587605022,5393.155055,-10.61818614,-4.11590145,-2.543409759,-2.67262187,37140315.78,-20283555.13,-7702356.856,-20670.06902,AA,0,0,22730.80137,14107.06096,16456.28827,2698.610669,Pipeline,997.7147448,30946,-2148201.092,1576800,0,0,1.2,0,1,2.238528016,-0.26949711,-0.104464504,-0.064553547,-0.067833042,0.165032606,0.003279495,,-6.281388616,-2.67262187,-4.11590145,-0.159426107
29,SA1,Cell 266,2021,4.297085265,93482142.35,60,0.529450991,5393.155055,-14.20585309,-6.608326066,-3.751108327,-3.844042669,42377671.22,-18132525.3,-9865569.575,-27654.06068,AA,0,0,24625.03482,15282.64937,16456.28827,2690.012988,Pipeline,997.7220256,33525,-2567085.686,1576800,0,0,1.3,0,1,2.425072017,-0.360554647,-0.167724012,-0.095205795,-0.097564535,0.192830635,0.00235874,,-7.884821308,-3.844042669,-6.608326066,-0.200122368
