,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Capacity factor,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum
0,QLD1,Cell 1375,2022,5.726378455172686,99652533.3941699,60,1.0,5242.078116373394,-0.0,0.0,0.0,-0.0,0.0,0.0,-9223397.129426649,-0.0,AA,0,0,19490.659467661564,19162.810228680497,16930.55927734148,92695.28067654918,Lined Rock,161.72520000259394,0,0.0,1576800.0,32808.27281998741,0,1,0,1,0.29368889552557664,2.272636344337368,1.1601445850725356,0.7437274660837476,1.5498700596790342,0.216315665071079,0.14462039682984393,0.4215746556142639,0.0,5.726378455172686
1,SA1,Cell 266,2022,5.306365907523694,92496158.06288238,60,1.0,5446.041427475403,-0.0,0.0,0.0,-0.0,0.0,0.0,-5674133.34150147,-0.0,AA,0,0,18757.57522733252,13623.94032195215,16296.48166794362,118579.51078374674,Lined Rock,136.29792871598178,0,0.0,1576800.0,76982.57587293258,0,1,0,1,0.3381732958018775,2.1871577646722224,0.8248132921656819,0.8018209697235982,1.4925738809621922,0.20817958300248549,0.10281893063878146,0.4065350167307784,0.0,5.306365907523695
2,TAS1,Cell 20,2022,4.590032538853382,79389888.40753888,60,1.0,5129.950458701237,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,AA,0,0,19918.50041692322,0.0,17300.61820288683,66441.86471594778,Lined Rock,207.56920426500025,0,0.0,1576800.0,50244.55489217721,0,1,0,1,0.5172733283105023,2.3225231576851204,0.0,0.6842002565868351,1.5833091245814268,0.22106402669720723,0.0,0.43035205529424625,0.0,4.590032538853382
3,NSW1,Cell 2127,2022,6.52049014339818,113313979.45282006,60,1.0,4595.774129746547,-0.0,0.0,0.0,-0.0,0.0,0.0,-7946669.72089981,-0.0,AA,0,0,22243.37243673458,23048.976476156284,19311.50482597996,102763.12607429612,Lined Rock,150.3376076076332,0,0.0,1576800.0,61382.38634612997,0,1,0,1,0.24749126957555095,2.593606270953952,1.3954187789354435,0.7664493172046077,1.7650157763041763,0.24686644954518971,0.17394902338042856,0.47804812309211725,0.0,6.52049014339818
4,VIC1,Cell 36,2022,5.215978473633457,90623250.88062324,60,1.0,5277.199704443125,-0.0,0.0,0.0,-0.0,0.0,0.0,-4528162.985831837,-0.0,AA,0,0,19360.386776236643,11433.93664131296,16817.880553390914,85146.2920997591,Lined Rock,172.01291957021533,0,0.0,1576800.0,71425.51731710185,0,1,0,1,0.35144158586589397,2.257446378410451,0.6922272632345052,0.7266165863482708,1.539688245640232,0.21486984308989174,0.08629112508347553,0.4189020374789575,0.0,5.215978473633459
