,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Supply_ratio,wind_capex,pv_capex,hydrogen_storage_capex,electrolyser_capex,grid_connection_cost,wind_OM,pv_OM,electrolyser_OM,grid_intercation_cost,LCOH_sum
0,VIC1,2021,2.506348173951773,29209280.65439191,60,0.7009396379770947,7009.24474076293,9.140991005137604,9.406738144866749,12.749785207871996,11.49397941422258,3593925.763848633,-22180708.93051858,-177960.11108299153,14416.809887732454,11114.072943775438,0.0,10581.453885988964,45397.364063278656,10065.699739265136,324935.1615309243,1277500.0,0.0,0,0,1,24,-1,0.99021713749663,0.0,0.04909254402734183,0.6913595483010488,0.09553661984261798,0.1622524151870152,0.0,0.38478189850175126,0.17070629324310763,2.543946456599513
1,VIC1,2021,2.865321735109714,41429118.286772445,60,1.000000000000029,5483.827036711748,-5.071632531293133,-2.219508004432286,-4.734838079547739,-4.946407036693298,7998778.4675641665,0.0,-4366785.735849868,-7998.778467564167,17248.108694294173,0.0,13524.861288198526,45662.33228877526,11656.34418985982,-750565.1271026615,1277499.9999999995,33445.69403268118,1,0,1,24,-1,1.5367339142811918,0.0,0.04937907970060047,0.8836727062076457,0.11063391045505673,0.2518021347542751,0.0,0.4709528862454991,-0.39431309951675847,2.9088615321275104
2,VIC1,2021,2.793326510146106,40291743.26338602,60,0.9296852557534002,5646.185838351415,-4.524854655184678,-0.8761161030941993,-3.47762617623509,-3.806830640395506,11371086.410904886,-5215103.951277945,-3775175.543111092,-7136.422002467195,16762.876135785187,0.0,13135.947367552728,43017.51642704574,11978.864941895596,-719879.793820451,1277500.0000000002,30656.50478243081,24,0,1,24,-1,1.4935017349048594,0.0,0.046518985467922415,0.8582622706094053,0.11369505307571331,0.24471830914473086,0.0,0.4595670697036962,-0.37819240800139264,2.838071014904935
3,VIC1,2021,2.7006244083613624,38377005.17702271,60,0.8776370637958264,6141.960376103592,-3.966968023417346,-0.0321159485785538,-2.039498703081843,-2.813925808386624,13625781.619753564,-9075414.25239425,-3530067.65990519,-6256.545246809433,16393.98492764114,0.0,12075.62332843394,28572.60652628464,12068.880687358016,-603819.6979491746,1277499.999999995,19665.885722132007,720,0,1,24,-1,1.4606350803468122,0.0,0.030898312552075594,0.788983969476464,0.11454941991327662,0.23933293064619054,0.0,0.4285250978343883,-0.31721966295810394,2.745705147811103
4,VIC1,2021,2.621830939091468,36870017.08020618,60,0.8485581835663896,6211.030379507586,-1.3388882721946085,2.2373405755171825,0.87272753332869,-2.5148685395520862e-14,11232136.641243396,-11232136.6412433,-2976295.6628622604,-2111.641688553836,15376.613791267955,0.0,11941.335892465371,36655.63264266391,11790.427065758538,-542395.3449265088,1277499.9999999965,16260.454525311978,8760,0,1,24,-1,1.3699915926238542,0.0,0.039639267532179445,0.7802100427482402,0.11190653183995396,0.22448050662007682,0.0,0.4245937083195351,-0.2849500754811649,2.665871574202675
