,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,h2_storage_p,h2_storage_level,price,CO2,Mean_CO2,Load,Time
6129,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-296.50309590995573,-6252.461069666691,0.0,0.0,6252.461069666691,296.50309590995573,-7995.493389247997,7995.493389247997,-137.71765188173222,137.71765188172867,72249.33079858331,0.005833211666666666,990.5471898145149,886.7148438203888,0.0,2021-09-13 09:00:00
6130,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-1515.5645654403284,-5856.455468832825,0.0,0.0,5856.455468832825,1515.5645654403284,-8818.549257944502,8818.549257944502,-151.89430316341415,151.89430316341168,72401.22510174672,0.0,559.519325619635,863.2971115621948,0.0,2021-09-13 10:00:00
6131,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-2346.093012060999,-2185.7479542048964,0.0,0.0,2185.7479542048964,2346.093012060999,-5978.3701899372445,5978.3701899372445,-102.97389598809231,102.97389598809241,72504.19899773481,0.0,377.09539822176185,880.6714363890121,0.0,2021-09-13 11:00:00
6132,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-1668.3159734134028,-1457.3784749023232,0.0,0.0,1457.3784749023232,1668.3159734134028,-4572.223671987074,4572.223671987074,-78.7538526178876,78.75385261791234,72582.95285035273,0.026056984166666665,1004.7459890572483,924.4481860519068,0.0,2021-09-13 12:00:00
6133,0.0,0.0,0.0,0.0,0.0,-1899.297316815342,-1614.532135019312,0.0,0.0,1614.532135019312,1899.297316815342,-3513.829451834654,3513.829451834654,-60.52363721171894,60.52363721172151,72643.47648756445,0.11016054833333334,0.0,0.0,0.0,2021-09-13 13:00:00
6134,0.0,0.0,0.0,0.0,0.0,-3097.8714008459847,-3344.2243793527346,0.0,0.0,3344.2243793527346,3097.8714008459847,-6442.095780198719,6442.095780198719,-110.96129542665116,110.96129542664858,72754.4377829911,0.1330374325,0.0,0.0,0.0,2021-09-13 14:00:00
6135,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-2058.013676932775,-5327.271257740642,0.0,0.0,5327.271257740642,2058.013676932775,-8831.814158344765,8831.814158344765,-152.1227832392061,152.12278323920327,72906.5605662303,0.04674790166666667,646.157509831958,975.0095883573523,0.0,2021-09-13 15:00:00
6136,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-785.0653657901182,-8121.410185526107,0.0,0.0,8121.410185526107,785.0653657901182,-10353.004774987574,10353.004774987574,-178.32439326996314,178.32439326996973,73084.88495950027,0.038695754166666665,628.9493960347047,937.7031985080968,0.0,2021-09-13 16:00:00
6137,0.0,0.0,0.0,0.0,0.0,-495.5801288886548,-13116.789245294052,0.0,0.0,13116.789245294052,495.5801288886548,-13612.369374182706,13612.369374182706,-234.4650236694856,234.46502366948698,73319.34998316976,0.11431355666666668,0.0,0.0,0.0,2021-09-13 17:00:00
6138,1446.5292236713487,-1446.5292236713487,0.0,0.0,1446.5292236713487,-112.45828565802302,-7889.880806228943,0.0,0.0,7889.880806228943,112.45828565802302,-6555.809868215617,6555.809868215617,-112.91995343875324,112.91995343875897,73432.26993660851,0.21181423833333335,-587.2093515628285,-1012.1007798621638,0.0,2021-09-13 18:00:00
6139,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-6433.700580643509,0.0,0.0,6433.700580643509,0.0,-7880.229804314858,7880.229804314858,-135.73230470030512,135.73230470030103,73568.00224130882,0.09274756916666667,787.995246808698,1027.2235671254118,0.0,2021-09-13 19:00:00
6140,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-6239.089462894018,0.0,0.0,6239.089462894018,0.0,-7685.618686565365,7685.618686565365,-132.38024312489557,132.38024312489142,73700.3824844337,0.06977546083333333,910.7458205707245,1045.3140967781887,0.0,2021-09-13 20:00:00
6141,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-7592.78097658736,0.0,0.0,7592.78097658736,0.0,-9039.31020025871,9039.31020025871,-155.69678002414116,155.69678002414003,73856.07926445785,0.044509547499999996,792.2207220083001,1039.0301334656212,0.0,2021-09-13 21:00:00
6142,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-9700.985479101826,0.0,0.0,9700.985479101826,0.0,-11147.514702773175,11147.514702773175,-192.00935757729386,192.00935757729167,74048.08862203514,0.07722895916666667,995.1358516156857,1036.0369636237667,0.0,2021-09-13 22:00:00
6143,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-8940.989722519964,0.0,0.0,8940.989722519964,0.0,-10387.518946191312,10387.518946191312,-178.91887948656296,178.91887948656222,74227.0075015217,0.05358842666666666,1060.5448821543646,1044.3363245108,0.0,2021-09-13 23:00:00
6144,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-7365.604295065245,0.0,0.0,7365.604295065245,0.0,-8812.133518736595,8812.133518736595,-151.78379584438034,-3348.2162041556294,70878.79129736607,0.06055073416666666,1078.4208671733622,1059.3490887612957,3500.0,2021-09-14 00:00:00
6145,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-8170.339924000964,0.0,0.0,8170.339924000964,0.0,-9616.869147672312,9616.869147672312,-165.6448918152219,165.6448918152164,71044.43618918129,0.056938267499999994,997.7447190250849,1058.799153910966,0.0,2021-09-14 01:00:00
6146,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-7872.305286337381,0.0,0.0,7872.305286337381,0.0,-9318.83451000873,9318.83451000873,-160.511421186174,160.5114211861801,71204.94761036747,0.04916258166666666,1042.3696415804557,1064.7359623848067,0.0,2021-09-14 02:00:00
6147,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-9384.658827496549,0.0,0.0,9384.658827496549,0.0,-10831.188051167897,10831.188051167897,-186.56081781047067,186.56081781047396,71391.50842817794,0.04940098416666667,1069.6515247225145,1063.0507126844411,0.0,2021-09-14 03:00:00
6148,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-12252.747385602052,0.0,0.0,12252.747385602052,0.0,-13699.2766092734,13699.2766092734,-235.96194947075247,235.96194947075855,71627.4703776487,0.06125288416666667,1099.3052450118835,1068.033931484278,0.0,2021-09-14 04:00:00
6149,0.0,0.0,0.0,-0.0,0.0,0.0,-14465.292236713487,0.0,0.0,14465.292236713487,0.0,-14465.292236713487,14465.292236713487,-249.15611628197442,249.15611628197075,71876.62649393067,0.06349618,0.0,0.0,0.0,2021-09-14 05:00:00
6150,0.0,0.0,0.0,-0.0,0.0,0.0,-14465.292236713487,0.0,0.0,14465.292236713487,0.0,-14465.292236713487,14465.292236713487,-249.15611628197442,249.15611628197075,72125.78261021264,0.06746961833333333,0.0,0.0,0.0,2021-09-14 06:00:00
6151,0.0,0.0,0.0,0.0,0.0,-149.66715300877877,-14315.625083704708,-149.66715300877877,0.0,14315.625083704708,149.66715300877877,-14465.292236713487,14465.292236713487,-249.15611628197442,249.15611628197075,72374.93872649461,0.0038074549999999995,0.0,0.0,0.0,2021-09-14 07:00:00
6152,0.0,0.0,0.0,0.0,0.0,-4426.839621990172,-10038.452614723315,-2676.344477416733,0.0,10038.452614723315,4426.839621990172,-14465.292236713487,14465.292236713487,-249.15611628197442,249.15611628197075,72624.09484277658,0.0,0.0,0.0,0.0,2021-09-14 08:00:00
6153,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-5555.05688301175,-3958.4040363878535,0.0,0.0,3958.4040363878535,5555.05688301175,-10959.990143070952,10959.990143070952,-188.77935777927328,188.77935777927632,72812.87420055586,0.0,118.99419641742726,897.582364132497,0.0,2021-09-14 09:00:00
6154,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-4394.189556706755,-5446.496019044548,0.0,0.0,5446.496019044548,4394.189556706755,-11287.21479942265,11287.21479942265,-194.415609242024,194.41560924203077,73007.28980979789,0.0,112.26796463008873,922.1613118286532,0.0,2021-09-14 10:00:00
6155,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-3589.3988551082884,-7313.308365107679,0.0,0.0,7313.308365107679,3589.3988551082884,-12349.236443887316,12349.236443887316,-212.70830488979135,212.70830488980573,73219.9981146877,0.0,0.0,942.5763824818591,0.0,2021-09-14 11:00:00
6156,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-2072.7764578718006,-7752.145814169448,0.0,0.0,7752.145814169448,2072.7764578718006,-11271.451495712598,11271.451495712598,-194.14409564465595,194.1440956446604,73414.14221033236,0.0,0.0,967.5043638171155,0.0,2021-09-14 12:00:00
6157,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-1983.0380286115499,-8846.141222379454,0.0,0.0,8846.141222379454,1983.0380286115499,-12275.708474662353,12275.708474662353,-211.44182904192044,211.44182904191257,73625.58403937427,0.0,105.80113036979989,936.0917580819131,0.0,2021-09-14 13:00:00
6158,-185.67415161235294,0.0,185.67415161235294,-185.67415161235294,0.0,-3642.9023144692273,-10636.715770631907,0.0,0.0,10636.715770631907,3642.9023144692273,-14465.292236713487,14465.292236713487,-249.15611628197442,249.15611628197075,73874.74015565624,0.0,25.717107825988297,113.1901728195148,0.0,2021-09-14 14:00:00
6159,-230.93655500744353,0.0,230.93655500744353,-230.93655500744353,0.0,-5205.105557303188,-9029.250124402855,0.0,0.0,9029.250124402855,5205.105557303188,-14465.292236713487,14465.292236713487,-249.15611628197442,249.15611628197075,74123.89627193821,0.015322265,87.89285246475151,141.86376223663362,0.0,2021-09-14 15:00:00
6160,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-5242.505509936612,-7660.43002978196,0.0,0.0,7660.43002978196,5242.505509936612,-14349.464763389922,14349.464763389922,-247.1610564560272,247.1610564560251,74371.05732839424,0.0,909.7013867793487,934.5450164477725,0.0,2021-09-14 16:00:00
6161,0.0,0.0,0.0,0.0,0.0,-3736.9721280005656,-5870.053085511775,0.0,0.0,5870.053085511775,3736.9721280005656,-9607.025213512341,9607.025213512341,-165.47533586266334,165.47533586266218,74536.5326642569,0.11527841999999999,0.0,0.0,0.0,2021-09-14 17:00:00
