,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,comp_pin,h2_storage_pin,h2_storage_pout,h2_storage_level,price,MEF_CO2,AEF_CO2,Load,Time
0,0.0,0.0,0.0,0.0,0.0,0.0,-1889.5675955872782,0.0,0.0,1889.5675955872782,0.0,-1862.1085832305034,1862.1085832305034,-33.083147417800824,27.459012356774682,0.0,-95.62843992750868,3158.0803442239708,0.03794262454545455,0.0,0.0,128.7115873453095,2021-01-01 00:00:00
1,0.0,0.0,0.0,0.0,0.0,0.0,-2217.426824985868,0.0,0.0,2217.426824985868,0.0,-2185.203394223336,2185.203394223336,-38.823410557267394,32.22343076253193,0.0,0.0,3158.0803442239708,0.034325,0.0,0.0,38.823410557267394,2021-01-01 01:00:00
2,0.0,0.0,0.0,0.0,0.0,0.0,-1589.6983870471306,0.0,0.0,1589.6983870471306,0.0,-1566.5970448377216,1566.5970448377216,-27.83294242097475,23.10134220940904,0.0,0.0,3158.0803442239708,0.02883583333333334,0.0,0.0,27.83294242097475,2021-01-01 02:00:00
3,0.0,0.0,0.0,0.0,0.0,0.0,-654.7804449638343,0.0,0.0,654.7804449638343,0.0,-645.2652392780338,645.2652392780338,-11.464103235904155,9.515205685800447,0.0,0.0,3158.0803442239708,0.026915833333333337,0.0,0.0,11.464103235904155,2021-01-01 03:00:00
4,0.0,0.0,0.0,0.0,0.0,0.0,-153.01434208751317,0.0,0.0,153.01434208751317,0.0,-150.7907525636682,150.7907525636682,-2.679023522704765,2.223589523844955,0.0,0.0,3158.0803442239708,0.03052790333333334,0.0,0.0,2.679023522704765,2021-01-01 04:00:00
5,0.0,0.0,0.0,0.0,0.0,0.0,-1888.306512856462,0.0,0.0,1888.306512856462,0.0,-1860.8658264311698,1860.8658264311698,-33.06106798227967,27.44068642529212,0.0,0.0,3158.0803442239708,0.02849319416666667,0.0,0.0,33.06106798227967,2021-01-01 05:00:00
6,-11265.293253516194,0.0,11265.293253516194,-11265.293253516194,0.0,-0.0,-2287.442539251828,0.0,0.0,2287.442539251828,0.0,-13355.788755535381,13355.788755535381,-237.28558702727835,196.94703723264104,0.0,0.0,3158.0803442239708,0.015691041666666666,9848.32547766187,8171.221040771156,237.28558702727835,2021-01-01 06:00:00
7,-9906.976810837485,0.0,9906.976810837485,-9906.976810837485,0.0,-0.0,-2262.2621037706986,0.0,0.0,2262.2621037706986,0.0,-11992.396719330742,11992.396719330742,-213.0628858764345,176.84219527744062,0.0,0.0,3158.0803442239708,0.017331826666666668,7004.422107565703,6842.18565097422,213.0628858764345,2021-01-01 07:00:00
8,0.0,0.0,0.0,0.0,0.0,-0.0,-4106.471940183788,0.0,0.0,4106.471940183788,0.0,-4046.7970896986385,4046.7970896986385,-71.89741022307226,59.67485048514997,0.0,0.0,3158.0803442239708,0.02182701833333333,0.0,0.0,71.89741022307226,2021-01-01 08:00:00
9,0.0,0.0,0.0,0.0,0.0,-0.0,-7031.602351661895,0.0,0.0,7031.602351661895,0.0,-6929.419790787591,6929.419790787591,-123.11151912566787,102.18256087430433,0.0,0.0,3158.0803442239708,0.0316309,0.0,0.0,123.11151912566787,2021-01-01 09:00:00
10,0.0,0.0,0.0,0.0,0.0,-0.0,-3979.9514757502247,0.0,0.0,3979.9514757502247,0.0,-3922.1152083379325,3922.1152083379325,-69.68224989432875,57.836267412292855,0.0,0.0,3158.0803442239708,0.027059839999999998,0.0,0.0,69.68224989432875,2021-01-01 10:00:00
11,0.0,0.0,0.0,0.0,0.0,-0.0,-8943.367008566764,0.0,0.0,8943.367008566764,0.0,-8813.402869801419,8813.402869801419,-156.5832997172841,129.96413876534578,0.0,0.0,3158.0803442239708,0.027918585000000003,0.0,0.0,156.5832997172841,2021-01-01 11:00:00
12,0.0,0.0,0.0,0.0,0.0,-0.0,-12624.681393709954,0.0,0.0,12624.681393709954,0.0,-12441.220752661819,12441.220752661819,-221.0369169254638,183.46064104813493,0.0,0.0,3158.0803442239708,0.031453682499999996,0.0,0.0,221.0369169254638,2021-01-01 12:00:00
13,1546.5285841302903,-1546.5285841302903,0.0,0.0,1546.5285841302903,-0.0,-15099.264376898313,0.0,0.0,15099.264376898313,0.0,-13355.788755535381,13355.788755535381,-237.28558702727835,196.94703723264104,0.0,0.0,3158.0803442239708,0.030285335833333336,-976.9940774304195,-1052.688972851422,237.28558702727835,2021-01-01 13:00:00
14,2101.881790820855,-2101.881790820855,0.0,0.0,2101.881790820855,-0.0,-15654.617583588877,0.0,0.0,15654.617583588877,0.0,-13355.788755535381,13355.788755535381,-237.28558702727835,196.94703723264104,0.0,0.0,3158.0803442239708,0.03088958166666667,-1548.6838793832571,-1396.0294310698544,237.28558702727835,2021-01-01 14:00:00
15,5873.575257046776,-5873.575257046776,0.0,0.0,5873.575257046776,-0.0,-19426.311049814798,0.0,0.0,19426.311049814798,0.0,-13355.788755535381,13355.788755535381,-237.28558702727835,196.94703723264104,0.0,0.0,3158.0803442239708,0.032161335,-3380.3912284516086,-3959.178481001317,237.28558702727835,2021-01-01 15:00:00
16,5603.3715715091985,-5603.3715715091985,0.0,0.0,5603.3715715091985,-0.0,-19156.10736427722,0.0,0.0,19156.10736427722,0.0,-13355.788755535381,13355.788755535381,-237.28558702727835,196.94703723264104,0.0,0.0,3158.0803442239708,0.035358960833333335,-4454.165753485298,-3746.835403131008,237.28558702727835,2021-01-01 16:00:00
