,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,comp_pin,h2_storage_pin,h2_storage_pout,h2_storage_level,price,MEF_CO2,AEF_CO2,Load,Time
0,1729.5551533742273,-1729.5551533742273,0.0,0.0,1729.5551533742273,0.0,-14933.200483220422,0.0,0.0,14933.200483220422,0.0,-13011.771241238092,13011.771241238092,-231.17360073265644,191.87408860810484,0.0,-263.56958974280997,1625.8231483899858,0.03558988545454545,-1432.4692717551206,-148.2290228542572,494.7431904754664,2021-01-01 00:00:00
1,-2319.8798735301734,0.0,2319.8798735301734,-2319.8798735301734,0.0,0.0,-10883.765456316021,0.0,0.0,10883.765456316021,0.0,-13011.771241238092,13011.771241238092,-231.17360073265644,191.87408860810484,0.0,0.0,1625.8231483899858,0.021278479166666666,1763.6742440051778,219.12333845500575,231.17360073265644,2021-01-01 01:00:00
2,-3482.8880109569745,0.0,3482.8880109569745,-3482.8880109569745,0.0,0.0,-9720.75731888922,0.0,0.0,9720.75731888922,0.0,-13011.771241238092,13011.771241238092,-231.17360073265644,191.87408860810484,0.0,0.0,1625.8231483899858,0.008468474166666667,3805.7182418947014,330.3960348427991,231.17360073265644,2021-01-01 02:00:00
3,-6668.817192076067,0.0,6668.817192076067,-6668.817192076067,0.0,0.0,-6534.828137770128,0.0,0.0,6534.828137770128,0.0,-13011.771241238092,13011.771241238092,-231.17360073265644,191.87408860810484,0.0,0.0,1625.8231483899858,0.008363678333333333,6235.468806480679,658.2338349274023,231.17360073265644,2021-01-01 03:00:00
4,-9154.009971318525,0.0,9154.009971318525,-9154.009971318525,0.0,0.0,-4049.63535852767,0.0,0.0,4049.63535852767,0.0,-13011.771241238092,13011.771241238092,-231.17360073265644,191.87408860810484,0.0,0.0,1625.8231483899858,0.008770794166666667,9704.11635509789,973.1381200771555,231.17360073265644,2021-01-01 04:00:00
5,-9157.203061947997,0.0,9157.203061947997,-9157.203061947997,0.0,-0.0,-4046.442267898197,0.0,0.0,4046.442267898197,0.0,-13011.771241238092,13011.771241238092,-231.17360073265644,191.87408860810484,0.0,0.0,1625.8231483899858,0.009432235833333334,9070.665278495648,1054.5702413575714,231.17360073265644,2021-01-01 05:00:00
6,-9137.447595082303,0.0,9137.447595082303,-9137.447595082303,0.0,-0.0,-4066.1977347638913,0.0,0.0,4066.1977347638913,0.0,-13011.771241238092,13011.771241238092,-231.17360073265644,191.87408860810484,0.0,0.0,1625.8231483899858,0.0077974583333333325,8062.351651584643,1205.1114532955698,231.17360073265644,2021-01-01 06:00:00
7,-9269.549199150293,0.0,9269.549199150293,-9269.549199150293,0.0,-0.0,-3934.0961306959007,0.0,0.0,3934.0961306959007,0.0,-13011.771241238092,13011.771241238092,-231.17360073265644,191.87408860810484,0.0,0.0,1625.8231483899858,0.004245763333333334,8615.661992624473,1416.399901110973,231.17360073265644,2021-01-01 07:00:00
8,-11304.05201660753,0.0,11304.05201660753,-11304.05201660753,0.0,-0.0,-1899.5933132386658,0.0,0.0,1899.5933132386658,0.0,-13011.771241238092,13011.771241238092,-231.17360073265644,191.87408860810484,0.0,0.0,1625.8231483899858,0.004408863333333334,11697.845161217943,1866.7505433717756,231.17360073265644,2021-01-01 08:00:00
9,0.0,0.0,0.0,0.0,0.0,-0.0,-13298.426506146583,-4770.849086464872,0.0,13298.426506146583,0.0,-13011.771241238092,13011.771241238092,-231.17360073265644,286.65526490849396,231.17360073265644,0.0,1856.9967491226423,0.009353645,0.0,0.0,0.0,2021-01-01 09:00:00
10,0.0,0.0,0.0,0.0,0.0,-0.0,-13298.426506146583,-6126.443505420228,0.0,13298.426506146583,0.0,-13011.771241238092,13011.771241238092,-231.17360073265644,286.65526490849396,231.17360073265644,0.0,2088.170349855299,0.0013717166666666668,0.0,0.0,0.0,2021-01-01 10:00:00
11,0.0,0.0,0.0,0.0,0.0,-0.0,-13298.426506146583,-9738.087158267075,0.0,13298.426506146583,0.0,-13011.771241238092,13011.771241238092,-231.17360073265644,286.65526490849396,231.17360073265644,0.0,2319.343950587955,0.0,0.0,0.0,0.0,2021-01-01 11:00:00
