,Interval,Hourly,Daily,Monthly,Yearly
0,"(-inf, 0.45)",790261.4007585855,650764.273045443,399732.7329511133,0.0
1,"(0.45, 1.5)",13260.974054964972,31072.722045299757,0.0,0.0
2,"(1.5, 2.5)",12597.46026550796,19927.770718141644,0.0,0.0
3,"(2.5, 4)",13924.022757713223,25395.981141901422,225123.55368154988,1277499.999999997
4,"(4, inf)",447456.1421632253,550339.253049211,652643.7133673336,0.0
