,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,comp_pin,h2_storage_pin,h2_storage_pout,H2CP_h2_storage,h2_storage_level,price,MEF_CO2,AEF_CO2,Load,Direct_pipeline_supply,Time
0,-10280.82857142857,0.0,10280.82857142857,-10280.82857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10131.42857142857,10131.42857142857,-180.0,149.4,180.0,-180.0,-180.0,360.0,0.06065464545454545,870.9388820813921,4101.556174392343,180.0,180.0,2021-01-01 00:00:00
1,-4133.137353142915,0.0,4133.137353142915,-4133.137353142915,0.0,0.0,-3238.6359398836557,0.0,0.0,3238.6359398836557,0.0,-7264.64740114672,7264.64740114672,-129.06733961428182,107.12589187985391,129.06733961428182,-180.0,-129.06733961428182,309.0673396142818,0.06574730833333334,0.0,1660.283370258147,180.0,129.06733961428182,2021-01-01 01:00:00
2,0.0,0.0,0.0,0.0,0.0,0.0,-2909.0552784019983,0.0,0.0,2909.0552784019983,0.0,-2866.781170281852,2866.781170281852,-50.93266038571819,42.274108120146096,50.93266038571819,-180.0,-50.93266038571819,180.0,0.06624202583333333,0.0,0.0,180.0,50.93266038571818,2021-01-01 02:00:00
3,4066.6336111404853,-4066.6336111404853,0.0,0.0,4066.6336111404853,0.0,-4066.6336111404853,0.0,0.0,4066.6336111404853,0.0,0.0,0.0,0.0,0.0,0.0,-180.0,0.0,0.0,0.07242161916666667,0.0,-1536.1322664552495,180.0,0.0,2021-01-01 03:00:00
4,-7111.709144860159,0.0,7111.709144860159,-7111.709144860159,0.0,0.0,-3169.119426568412,0.0,0.0,3169.119426568412,0.0,-10131.42857142857,10131.42857142857,-180.0,149.4,180.0,-180.0,-180.0,0.0,0.06098,0.0,2637.188236025228,180.0,180.0,2021-01-01 04:00:00
5,-7454.529192441842,0.0,7454.529192441842,-7454.529192441842,0.0,0.0,-3430.8058124424374,0.0,0.0,3430.8058124424374,0.0,-10727.150376239728,10727.150376239728,-190.58388993319315,158.18462864455032,190.58388993319315,-180.0,-190.58388993319315,10.583889933193149,0.05080506333333333,34.76945916535163,2837.945741548477,180.0,180.0,2021-01-01 05:00:00
6,-7903.380578748382,0.0,7903.380578748382,-7903.380578748382,0.0,0.0,-1772.9415592244804,0.0,0.0,1772.9415592244804,0.0,-9535.706766617413,9535.706766617413,-169.41611006680685,140.61537135544967,169.41611006680685,-180.0,-169.41611006680685,0.0,0.05467333333333334,0.0,2908.037550502717,180.0,169.41611006680685,2021-01-01 06:00:00
7,-10885.335004884279,0.0,10885.335004884279,-10885.335004884279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10727.150376239728,10727.150376239728,-190.58388993319315,158.18462864455032,190.58388993319315,-180.0,-190.58388993319315,10.583889933193149,0.03566999999999999,0.0,3653.044799233191,180.0,180.0,2021-01-01 07:00:00
8,-10885.335004884279,0.0,10885.335004884279,-10885.335004884279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10727.150376239728,10727.150376239728,-190.58388993319315,158.18462864455032,190.58388993319315,-180.0,-190.58388993319315,21.167779866386297,0.03436,0.0,3605.1139152169294,180.0,180.0,2021-01-01 08:00:00
9,-5072.0017785172595,0.0,5072.0017785172595,-5072.0017785172595,0.0,0.0,-5813.333226367019,0.0,0.0,5813.333226367019,0.0,-10727.150376239728,10727.150376239728,-190.58388993319315,158.18462864455032,190.58388993319315,-180.0,-190.58388993319315,31.751669799579446,0.034341666666666666,0.0,1678.9409367912056,180.0,180.0,2021-01-01 09:00:00
10,-2357.7148550414768,0.0,2357.7148550414768,-2357.7148550414768,0.0,0.0,-8527.620149842802,0.0,0.0,8527.620149842802,0.0,-10727.150376239728,10727.150376239728,-190.58388993319315,158.18462864455032,190.58388993319315,-180.0,-190.58388993319315,42.335559732772595,0.03434333333333334,0.0,762.5288611938659,180.0,180.0,2021-01-01 10:00:00
11,3033.1081564973847,-3033.1081564973847,0.0,0.0,3033.1081564973847,0.0,-13918.443161381663,0.0,0.0,13918.443161381663,0.0,-10727.150376239728,10727.150376239728,-190.58388993319315,158.18462864455032,190.58388993319315,-180.0,-190.58388993319315,52.91944966596574,0.034341666666666666,0.0,-999.2954111755604,180.0,180.0,2021-01-01 11:00:00
