,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,comp_pin,h2_storage_pin,h2_storage_pout,H2CP_h2_storage,h2_storage_level,price,MEF_CO2,AEF_CO2,Load,Direct_pipeline_supply,Time
5031,-11994.85184159212,0.0,11994.85184159212,-11994.85184159212,0.0,0.0,-1141.7624441221635,0.0,0.0,1141.7624441221635,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,539.9999999999997,0.04529648583333333,6463.310991166849,7638.413005517488,180.0,180.0,2021-07-29 15:00:00
5032,-11962.4293344724,0.0,11962.4293344724,-11962.4293344724,0.0,0.0,-1174.184951241884,0.0,0.0,1174.184951241884,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,589.9999999999997,0.058592501666666665,4297.073929179809,8120.954212076255,180.0,180.0,2021-07-29 16:00:00
5033,2877.187160776819,-2877.187160776819,0.0,0.0,2877.187160776819,0.0,-2877.187160776819,0.0,0.0,2877.187160776819,0.0,0.0,0.0,0.0,0.0,0.0,-180.0,0.0,409.99999999999966,0.12172700666666667,-1290.6829042604259,-2040.8950501171018,180.0,0.0,2021-07-29 17:00:00
5034,2596.5581919998494,-2596.5581919998494,0.0,0.0,2596.5581919998494,0.0,-2596.5581919998494,0.0,0.0,2596.5581919998494,0.0,0.0,0.0,0.0,0.0,0.0,-180.0,0.0,229.99999999999966,0.2156741825,-901.0278313118524,-1822.1323198057996,180.0,0.0,2021-07-29 18:00:00
5035,2419.120862602725,-2419.120862602725,0.0,0.0,2419.120862602725,0.0,-2419.120862602725,0.0,0.0,2419.120862602725,0.0,0.0,0.0,0.0,0.0,0.0,-180.0,0.0,49.99999999999966,0.09889792916666666,-1676.3108864329402,-1718.7739086654683,180.0,0.0,2021-07-29 19:00:00
5036,-11664.51184489197,0.0,11664.51184489197,-11664.51184489197,0.0,0.0,-1472.1024408223143,0.0,0.0,1472.1024408223143,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,99.99999999999963,0.07520295166666667,4624.947032395257,8422.128140580013,180.0,180.0,2021-07-29 20:00:00
5037,-12026.884783435558,0.0,12026.884783435558,-12026.884783435558,0.0,0.0,-1109.7295022787264,0.0,0.0,1109.7295022787264,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,149.9999999999996,0.06995610833333334,5579.446137634354,8665.18108708375,180.0,180.0,2021-07-29 21:00:00
5038,-11961.376486043493,0.0,11961.376486043493,-11961.376486043493,0.0,0.0,-1175.23779967079,0.0,0.0,1175.23779967079,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,199.99999999999957,0.073433125,7138.61624630327,8685.790926603378,180.0,180.0,2021-07-29 22:00:00
5039,-13132.218899069336,0.0,13132.218899069336,-13132.218899069336,0.0,0.0,-4.39538664494758,0.0,0.0,4.39538664494758,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,249.99999999999955,0.06515802000000001,8629.810744889943,9703.493959322126,180.0,180.0,2021-07-29 23:00:00
5040,-13136.614285714284,0.0,13136.614285714284,-13136.614285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,299.99999999999955,0.07442803916666667,10713.351390074424,9952.753483438199,180.0,180.0,2021-07-30 00:00:00
5041,-13136.614285714284,0.0,13136.614285714284,-13136.614285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,349.99999999999955,0.06811711416666667,10470.902775751834,9944.316978967927,180.0,180.0,2021-07-30 01:00:00
5042,-13136.614285714284,0.0,13136.614285714284,-13136.614285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,399.99999999999955,0.05417428333333334,11328.961349666328,9954.500390405914,180.0,180.0,2021-07-30 02:00:00
5043,-13136.614285714284,0.0,13136.614285714284,-13136.614285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,449.99999999999955,0.05549752583333333,11353.800519739256,9981.043747176898,180.0,180.0,2021-07-30 03:00:00
5044,-13136.614285714284,0.0,13136.614285714284,-13136.614285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,499.99999999999955,0.054174565,11629.518135204988,9878.07353898377,180.0,180.0,2021-07-30 04:00:00
5045,-13136.614285714284,0.0,13136.614285714284,-13136.614285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,549.9999999999995,0.05512750500000001,11936.803698198313,9694.965819341056,180.0,180.0,2021-07-30 05:00:00
5046,-13136.614285714284,0.0,13136.614285714284,-13136.614285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,599.9999999999995,0.07280856250000001,8225.301826155006,9507.694830762299,180.0,180.0,2021-07-30 06:00:00
5047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180.0,0.0,419.99999999999955,0.16579211166666666,0.0,0.0,180.0,0.0,2021-07-30 07:00:00
5048,-12236.996758411105,0.0,12236.996758411105,-12236.996758411105,0.0,0.0,-899.6175273031793,0.0,0.0,899.6175273031793,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,469.99999999999955,0.06400819833333334,4464.705126160277,7739.458987799967,180.0,180.0,2021-07-30 08:00:00
5049,-13136.614285714284,0.0,13136.614285714284,-13136.614285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,519.9999999999995,0.04075647083333333,9528.469925378939,8120.925463821556,180.0,180.0,2021-07-30 09:00:00
5050,-13136.614285714284,0.0,13136.614285714284,-13136.614285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,569.9999999999995,0.032028078333333335,10642.164333424116,8120.9438288083265,180.0,180.0,2021-07-30 10:00:00
5051,-13136.614285714284,0.0,13136.614285714284,-13136.614285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,619.9999999999995,0.020582993333333334,9913.658171631616,8115.072511009628,180.0,180.0,2021-07-30 11:00:00
5052,-13136.614285714284,0.0,13136.614285714284,-13136.614285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,669.9999999999995,0.016929815,9099.528944932355,8110.9034750999135,180.0,180.0,2021-07-30 12:00:00
5053,-10720.95408024519,0.0,10720.95408024519,-10720.95408024519,0.0,0.0,-2415.6602054690934,0.0,0.0,2415.6602054690934,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,719.9999999999995,0.004435685,6337.115157348767,6660.493531483541,180.0,180.0,2021-07-30 13:00:00
5054,-9803.59032133289,0.0,9803.59032133289,-9803.59032133289,0.0,0.0,-3333.0239643813957,0.0,0.0,3333.0239643813957,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,769.9999999999995,0.018326005833333332,7999.889451711923,6274.105968997641,180.0,180.0,2021-07-30 14:00:00
5055,-7836.620724954158,0.0,7836.620724954158,-7836.620724954158,0.0,0.0,-5299.9935607601265,0.0,0.0,5299.9935607601265,0.0,-12945.714285714284,12945.714285714284,-229.99999999999997,190.89999999999998,229.99999999999997,-180.0,-229.99999999999997,819.9999999999995,0.021675083333333334,7482.219843457221,5054.7589347230905,180.0,180.0,2021-07-30 15:00:00
