,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,,EI_market,EI_MEF,EI_AEF,EI_L,LGCs,Ratio,Location
13,QLD1,2021,3.278430949,101187126.9,60,0.793405355,5384.710679,-21.03654076,-13.00771048,-16.18089163,-17.33945308,56059144.4,-18605925.75,-28999.07494,-40951.13269,24154.71649,24397.61348,16482.09525,1620,Pipeline,998.628141,40121,-5867303.493,1576800,0,0,1.3,0,1,,-0.533922354,-0.330144936,-0.410682529,-0.440087642,-0.659163401,2.945762006,QLD1
14,QLD1,2021,3.272041447,107143200.1,60,0.807533736,5384.710679,-25.90743038,-16.81691545,-20.42643903,-21.84001335,64507951.77,-17333522.94,-118733.2035,-50433.13114,26012.7716,26274.35298,16482.09525,1620,Pipeline,998.628141,43207,-6625658.044,1576800,0,0,1.4,0,1,,-0.657548994,-0.426825265,-0.518437539,-0.55431506,-0.811788882,3.172359083,QLD1
15,QLD1,2021,3.266753464,113099273.2,60,0.818754011,5384.710679,-30.89180834,-20.63709595,-24.74541631,-26.42005786,73390349.34,-16323024.36,-36781.35706,-60136.05356,27870.82671,28151.09247,16482.09525,1620,Pipeline,998.628141,46293,-7381531.348,1576800,0,0,1.5,0,1,,-0.784056049,-0.523784161,-0.628056252,-0.670559844,-0.967970431,3.39895616,QLD1
16,TAS1,2021,2.998329327,24387346.76,60,0,5154.425214,37.5661476,14.50057719,6.754632944,6.853885714,0,-90060058.29,0,73128.76733,0,0,17218.46968,1259.118979,Pipeline,998.9337446,17473,3063595.449,1576800,1259.118979,0,0,0,1,,0.953455523,0.368034954,0.171437384,0.17395649,1.177105584,0,TAS1
17,TAS1,2021,3.056371479,28563396.21,60,0.085212642,5154.425214,33.67059358,13.10307922,6.159023917,6.166967511,1351849.698,-82385802.79,0,65545.42217,1982.3525,0,17218.46968,1219.414265,Pipeline,998.9673676,17473,2678096.953,1576800,1219.414265,0,0.1,0,1,,0.854583593,0.332565462,0.156320404,0.156522018,1.055041473,0.115129424,TAS1
18,TAS1,2021,3.115064071,32754251.01,60,0.168519806,5154.425214,29.75846652,11.69341776,5.57196643,5.480049308,2875306.817,-74883154.72,0,57929.81482,3964.705,0,17218.46968,1194.547404,Pipeline,998.9884255,17473,2292409.086,1576800,1194.547404,0,0.2,0,1,,0.755291028,0.296787253,0.141420468,0.139087546,0.93245806,0.230258848,TAS1
19,TAS1,2021,3.174559034,36947524.06,60,0.249642882,5154.425214,25.82734316,10.30730181,4.974540322,4.793131105,4595463.096,-67577205.81,0,50277.22802,5947.0575,0,17218.46968,1172.104653,Pipeline,999.0074306,17473,1908258.371,1576800,1172.104653,0,0.3,0,1,,0.655516324,0.261606645,0.126257369,0.121653074,0.809279412,0.345388273,TAS1
20,TAS1,2021,3.234806675,41143488.38,60,0.329078406,5154.425214,21.8815422,8.92502199,4.377880348,4.106212902,6467600.3,-60423237.83,0,42596.06882,7929.41,0,17218.46968,1152.359276,Pipeline,999.0241516,17473,1525502.36,1576800,1152.359276,0,0.4,0,1,,0.555369091,0.226523401,0.111113714,0.104218602,0.685640854,0.460517697,TAS1
21,TAS1,2021,3.296012323,45340044.08,60,0.40352923,5154.425214,17.89238639,7.512298124,3.790533361,3.419294698,8788659.985,-53718192.32,0,34830.51218,9911.7625,0,17218.46968,1133.207081,Pipeline,999.0403701,17473,1144838.242,1576800,1133.207081,0,0.5,0,1,,0.454121482,0.190667465,0.09620643,0.086784129,0.560643805,0.575647121,TAS1
22,TAS1,2021,3.358585399,49555714.91,60,0.473468828,5154.425214,13.86399384,6.130641332,3.201428206,2.732376495,11516000.88,-47419428.03,0,26988.57468,11894.115,0,17218.46968,1133.207081,Pipeline,999.0403701,17473,765118.1899,1576800,1133.207081,0,0.6,0,1,,0.351878016,0.155600034,0.081254523,0.069349657,0.434417304,0.690776545,TAS1
