,SETTLEMENTDATE,Others,Battery storage,Fossil,Hydro,Biomass and Waste,Solar,Wind,MEF,EF,Prices,Black coal,Brown coal,Coal seam methane,Hydro,Natural Gas (Pipeline),Solar,
7475,8/11/2021 11:00,143.37999,0.12,64900.20244,576.38,0,12582.60092,1843.41536,0.645627971,0.640529879,0.066985818,7,0,1,0,0,3,11
7476,8/11/2021 12:00,480.14998,0.12,60786.47959,406.4825,0,10802.58503,2414.90424,0,0.646656514,0,1,1,0,1,0,9,12
7477,8/11/2021 13:00,2377.99998,0.12,64879.63676,967.065,0,12977.94893,1646.3245,0.890397829,0.640698427,0.124359128,10,0,0,0,0,0,13
7478,8/11/2021 14:00,0,0.12,71226.55224,1058.1825,0,11490.60695,1451.8125,0.784605198,0.661295045,0.145040838,5,0,7,0,0,0,14
7479,8/11/2021 15:00,0,0.11829,72593.83176,1305.53,0,9849.299662,1617.65684,0.772075751,0.671499724,0.137450011,8,0,3,1,0,0,15
7480,8/11/2021 16:00,0,0.12121,82172.87264,2606.75249,0,5660.44346,1328.27703,0.681209567,0.709161511,0.15240087,5,0,5,2,0,0,16
7481,8/11/2021 17:00,0,0.12,86310.74744,3883.78245,0,2611.27634,786.49678,0.681209567,0.7244132,0.110585052,5,0,5,2,0,0,17
7482,8/11/2021 18:00,0,0.12,87989.07205,5565.3099,0,72.72033,862.49614,0.528046209,0.731041849,0.264719082,6,0,0,5,1,0,18
7483,8/11/2021 19:00,0,0.12,87777.53401,4623.72244,0,0,1049.12129,0.773087589,0.737881513,0.158718371,8,0,2,1,1,0,19
7484,8/11/2021 20:00,0,0.12,87033.26425,2587.83248,0,0,951.30663,0.40872574,0.753147708,0.204477638,3,0,3,6,0,0,20
7485,8/11/2021 21:00,0,0.12,82049.49531,1334.685,0,0,966.91355,0.77626772,0.759301766,0.166896682,5,0,6,0,1,0,21
7486,8/11/2021 22:00,0,0.12,78030.44739,1505.6425,0,0,1056.33653,0.76218968,0.765396989,0.244103348,6,0,5,1,0,0,22
7487,8/11/2021 23:00,0,0.12,74357.84799,1393.2325,0,0,529.2841,0.908928437,0.774360112,0.111376973,11,0,0,0,1,0,23
