,Black coal,Brown coal,Coal seam methane,Hydro,Natural Gas (Pipeline),Solar
0,9.0,0.0,0.0,2.0,1.0,0.0
1,8.0,0.0,0.0,3.0,1.0,0.0
2,11.0,0.0,0.0,1.0,0.0,0.0
3,9.0,0.0,0.0,3.0,0.0,0.0
4,10.0,0.0,0.0,1.0,1.0,0.0
5,6.0,0.0,0.0,1.0,5.0,0.0
6,3.0,0.0,0.0,3.0,0.0,6.0
7,2.0,0.0,0.0,0.0,0.0,10.0
8,0.0,0.0,0.0,0.0,0.0,12.0
9,7.0,0.0,0.0,0.0,0.0,5.0
10,12.0,0.0,0.0,0.0,0.0,0.0
11,9.0,0.0,0.0,0.0,0.0,3.0
12,9.0,0.0,0.0,0.0,0.0,3.0
13,12.0,0.0,0.0,0.0,0.0,0.0
14,9.0,0.0,0.0,0.0,0.0,3.0
15,11.0,0.0,0.0,0.0,1.0,0.0
16,5.0,1.0,2.0,3.0,1.0,0.0
17,4.0,1.0,3.0,2.0,1.0,1.0
18,3.0,0.0,3.0,3.0,3.0,0.0
19,1.0,0.0,4.0,2.0,5.0,0.0
20,6.0,0.0,2.0,2.0,2.0,0.0
21,4.0,0.0,6.0,2.0,0.0,0.0
22,8.0,0.0,3.0,1.0,0.0,0.0
23,8.0,0.0,0.0,0.0,4.0,0.0
