,Interval,Hourly,Daily,Monthly,Yearly
0,"(-inf, 0.45)",915536.7363396203,1005744.8920610796,1576799.9999999998,1576800.0
1,"(0.45, 1.5)",23881.687593547333,26344.810193858317,0.0,0.0
2,"(1.5, 2.5)",20576.23509089217,16263.614606081526,0.0,0.0
3,"(2.5, 4)",36950.91659471621,46387.20246435084,0.0,0.0
4,"(4, inf)",579854.4243812241,482059.4806746298,0.0,0.0
