,Interval,Hourly,Daily,Monthly,Yearly
0,"(-inf, 0.45)",661840.0105,654166.325,527391.1807,0
1,"(0.45, 1.5)",16041.07626,27666.80228,132946.3465,0
2,"(1.5, 2.5)",14415.795,34988.83109,0,0
3,"(2.5, 4)",24743.9961,28312.55702,386203.9073,0
4,"(4, inf)",859759.1222,831665.4846,530258.5655,1576800
