,Interval,Hourly,Daily,Monthly,Yearly
0,"(-inf, 0.45)",781027.3165484121,854564.6126728421,1182463.7311471733,1576799.999999999
1,"(0.45, 1.5)",13175.397262439084,22870.560842003066,0.0,0.0
2,"(1.5, 2.5)",15229.925597693682,9194.647607841147,130816.26885296064,0.0
3,"(2.5, 4)",22980.481578904968,27389.64346093362,0.0,0.0
4,"(4, inf)",744386.8790125493,662780.5354163793,263519.9999998653,0.0
