,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
25,NSW1,2021,7.20736262,125026111.9,60,1,4468.918121,0,0,0,0,0,0,-27405926.93,0,22796.98711,27245.99933,19859.68682,40252.52571,Pipeline,0,0,1576800,2524.493053,0,0,1,24
26,NSW1,2021,6.920694268,119591279.1,60,1,4514.096901,0,0,0,0,0,0,-24651065.14,0,22568.82628,25948.27132,19660.9236,33864.04908,Pipeline,0,0,1576800,0,0,0,1,720
27,NSW1,2021,5.22860304,87762241.85,60,1,4805.646919,0,0,0,0,0,0,-5922898.679,0,21199.61589,16735.1053,18468.13047,0,Pipeline,0,0,1576800,0,0,0,1,8760
28,NSW1,2021,5.997281695,103261357.3,60,1,4826.115628,0,0,0,0,0,0,-6044462.412,0,21177.75321,16980.45188,18389.80272,107302.0836,Lined Rock,0,0,1576800,69623.7914,0,0,1,1
29,NSW1,2021,5.984198723,103012490.9,60,1,4839.902853,0,0,0,0,0,0,-6080380.972,0,21056.10476,17226.40648,18337.41647,106029.2547,Lined Rock,0,0,1576800,69065.70353,0,0,1,24
30,NSW1,2021,5.988779645,103084966.6,60,1,4805.646919,0,0,0,0,0,0,-5810651.425,0,21199.61589,16735.1053,18468.13047,100000,Lined Rock,0,0,1576800,54097.24899,0,0,1,720
31,NSW1,2021,5.988779645,103084966.6,60,1,4805.646919,0,0,0,0,0,0,-5922898.679,0,21199.61589,16735.1053,18468.13047,100000,Lined Rock,0,0,1576800,0,0,0,1,8760
32,VIC1,2021,6.247780949,106945071.5,60,1,4437.348049,0,0,0,0,0,0,-18219298.91,0,23023.43605,18179.17701,20000.98106,22680.4611,Pipeline,0,0,1576800,2478.771036,0,0,1,1
33,VIC1,2021,6.224876591,106537306.9,60,1,4477.045863,0,0,0,0,0,0,-19219611.62,0,23498.70677,17683.21679,19823.63304,21419.77852,Pipeline,0,0,1576800,1884.239294,0,0,1,24
34,VIC1,2021,6.067998361,102870900.8,60,1,4530.539362,0,0,0,0,0,0,-23443532.54,0,22486.91836,23221.50312,19589.56919,7628.331715,Pipeline,0,0,1576800,0,0,0,1,720
35,VIC1,2021,4.981805656,82943006.57,60,1,4190.963864,0,0,0,0,0,0,-783872.5911,0,24308.93515,2627.922853,21176.82642,0,Pipeline,0,0,1576800,0,0,0,1,8760
36,VIC1,2021,5.790958765,99660141.38,60,1,4899.968654,0,0,0,0,0,0,-5281808.553,0,20857.30081,14657.38625,18112.62899,100000,Lined Rock,0,0,1576800,85959.35324,0,0,1,1
37,VIC1,2021,5.784792922,99534388.44,60,1,4880.483916,0,0,0,0,0,0,-5047304.11,0,20874.54247,14414.42174,18184.94146,100000,Lined Rock,0,0,1576800,85953.07956,0,0,1,24
38,VIC1,2021,5.759596121,98935662.71,60,1,4650.697535,0,0,0,0,0,0,-3431415.566,0,21905.93304,10670.95942,19083.44149,100000,Lined Rock,0,0,1576800,84549.81582,0,0,1,720
39,VIC1,2021,5.741982261,98265731.31,60,1,4190.963864,0,0,0,0,0,0,-783872.5911,0,24308.93515,2627.922853,21176.82642,100000,Lined Rock,0,0,1576800,0,0,0,1,8760
