,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Ratio,EI_market,EI_MEF,EI_AEF,EI_L,LGCs (per REC/MWh),EI_MEF-EI_Market
13,QLD1,2021,3.210421396,100732506.3,60,0.799324651,5409.543008,-21.03300461,-12.99779872,-16.23702926,-17.38266493,55619389.85,-18072833.61,-5.06E-10,-40944.24896,24189.49433,24370.53315,16406.43473,2040.816327,Pipeline,597.6825665,40131,-5966061.541,1576800,0,0,1.3,1,24,2.959815967,-0.63162176,-0.390324286,-0.487598476,-0.52200195,0.77977995,0.241297474
14,QLD1,2021,3.203955488,106692043.3,60,0.813325194,5409.543008,-25.95319546,-16.81159242,-20.52505219,-21.92665511,64173518.95,-16811943.9,-874.6267585,-50522.2205,26050.22466,26245.18954,16406.43473,2040.816327,Pipeline,597.6825665,43217,-6725006.776,1576800,0,0,1.4,1,24,3.187494118,-0.779375239,-0.504852625,-0.616367934,-0.658458111,0.962191653,0.274522614
15,QLD1,2021,3.198621929,112651580.4,60,0.82471549,5409.543008,-30.89589548,-20.62769193,-24.81021253,-26.47047075,72962350,-15786133.17,-2126.269183,-60144.00986,27910.955,28119.84594,16406.43473,2040.816327,Pipeline,597.6825665,46304,-7481401.312,1576800,0,0,1.5,1,24,3.41517227,-0.927804669,-0.619450208,-0.745051427,-0.794909032,1.145437863,0.308354461
16,TAS1,2021,2.933365507,23113503.77,60,0,5158.008136,37.5661476,14.66555301,6.783105038,6.853885714,0,-90060058.29,0,73128.76733,0,0,17206.50917,0,Pipeline,1000,17461,3060253.919,1576800,0,0,0,1,24,0,1.128112541,0.440406997,0.203696848,0.205822394,-1.392731532,-0.687705544
17,TAS1,2021,2.992611076,27330000.37,60,0.082818874,5158.008136,33.65083647,13.22746009,6.189753949,6.167124975,1565363.514,-82601385.68,-3.60E-11,65506.96166,1980.441605,4.577315754,17206.50917,0,Pipeline,1000,17461,2672916.094,1576800,0,0,0.1,1,24,0.115364418,1.01053563,0.397221024,0.185878497,0.185198948,-1.247574851,-0.613314606
18,TAS1,2021,3.052488183,31546496.98,60,0.163903516,5158.008136,29.72044172,11.84252412,5.596783683,5.480364235,3286912.039,-75298898.08,-7.20E-11,57855.79321,3960.88321,9.154631508,17206.50917,0,Pipeline,1000,17461,2287000.854,1576800,0,0,0.2,1,24,0.230728837,0.892505757,0.355631355,0.168071582,0.164575503,-1.10185896,-0.536874402
19,TAS1,2021,3.113022762,35762993.59,60,0.243062456,5158.008136,25.77329802,10.44696009,5.006454022,4.793603495,5181889.365,-68169839.29,-1.34E-10,50172.02014,5941.324815,13.73194726,17206.50917,0,Pipeline,1000,17461,1902566.617,1576800,0,0,0.3,1,24,0.346093255,0.773972914,0.313722525,0.150343965,0.143952057,-0.955522115,-0.460250389
20,TAS1,2021,3.174461052,39979490.19,60,0.31847265,5158.008136,21.79354929,9.073743333,4.417235858,4.106842755,7414479.029,-61378392.83,-1.44E-10,42424.77595,7921.76642,18.30926302,17206.50917,0,Pipeline,1000,17461,1520168.055,1576800,0,0,0.4,1,24,0.461457673,0.65446094,0.272484785,0.132649725,0.123328611,-0.807976469,-0.381976155
21,TAS1,2021,3.236798147,44195986.8,60,0.391039423,5158.008136,17.78906968,7.696836774,3.818466638,3.420082016,9903147.36,-54843025.04,-2.35E-10,34629.38898,9902.208025,22.88657877,17206.50917,0,Pipeline,1000,17461,1139794.114,1576800,0,0,0.5,1,24,0.576822091,0.534206297,0.231136239,0.114668668,0.102705166,-0.659513947,-0.303070058
22,TAS1,2021,3.300035221,48412483.4,60,0.459525223,5158.008136,13.74909548,6.349055696,3.225366755,2.733321276,12759348.31,-48675189.88,-2.68E-10,26764.90587,11882.64963,27.46389452,17206.50917,0,Pipeline,1000,17461,761447.4392,1576800,0,0,0.6,1,24,0.69218651,0.41288575,0.190662333,0.096857861,0.08208172,-0.509735494,-0.222223417
23,TAS1,2021,3.3646227,52628980.01,60,0.522324855,5158.008136,9.659665369,4.96498939,2.647888685,2.046560536,16127645.94,-43019451.38,-2.62E-10,18804.14858,13863.09124,32.04121028,17206.50917,0,Pipeline,1000,17461,386142.6487,1576800,0,0,0.7,1,24,0.807550928,0.290080041,0.14909878,0.079516177,0.061458274,-0.358123507,-0.140981261
24,TAS1,2021,3.430842679,56845476.62,60,0.578130572,5158.008136,5.509405118,3.56634388,2.075516504,1.359799796,20125815.93,-37993585.25,-2.88E-10,10724.9753,15843.53284,36.61852603,17206.50917,0,Pipeline,1000,17461,14515.18253,1576800,0,0,0.8,1,24,0.922915346,0.165447601,0.107097414,0.062327823,0.040834829,-0.204256298,-0.058350187
25,TAS1,2021,3.498470369,61061973.22,60,0.628892727,5158.008136,1.315278075,2.153049613,1.511875425,0.673039057,24578209.44,-33421942.65,-3.03E-10,2560.407986,17823.97445,41.19584179,17206.50917,0,Pipeline,1000,17461,-353941.3152,1576800,0,0,0.9,1,24,1.038279765,0.03949784,0.064656145,0.045401664,0.020211383,-0.048762766,0.025158305
26,TAS1,2021,3.567760223,65278469.83,60,0.673069265,5158.008136,-2.936103827,0.753844959,0.958587619,-0.013718116,29623657.12,-29443401.07,-46.86844717,-5715.61545,19804.41605,45.77315754,17206.50917,0,Pipeline,1000,17543,-718653.6697,1576800,0,0,1,1,24,1.153644183,-0.088171286,0.022637987,0.028786415,-0.000411955,0.10885344,0.110809273
27,TAS1,2021,3.649194998,69494966.43,60,0.691382611,5158.008136,-7.411557673,-0.658278438,0.38111674,-0.700345621,36996641.53,-27794100.07,-1797.579259,-14427.83227,21784.85766,50.35047329,17206.50917,0,Pipeline,1000,19297,-1056008.722,1576800,0,0,1.1,1,24,1.269008601,-0.222569299,-0.019768121,0.011444947,-0.0210314,0.274776913,0.202801178
28,TAS1,2021,3.731605467,73711463.04,60,0.706831698,5158.008136,-11.91192364,-2.082358943,-0.192105588,-1.386973125,44627581.27,-26402754.4,-3548.290071,-23188.54469,23765.29926,54.92778905,17206.50917,0,Pipeline,1000,21051,-1391165.954,1576800,0,0,1.2,1,24,1.384373019,-0.357715425,-0.062533302,-0.005768937,-0.041650845,0.441623981,0.295182123
29,TAS1,2021,3.814737445,77927959.64,60,0.720693209,5158.008136,-16.42609768,-3.491752396,-0.762167506,-2.07360063,52401498.14,-25154385.87,-5299.000883,-31976.13682,25745.74087,59.5051048,17206.50917,0,Pipeline,1000,22806,-1724697.937,1576800,0,0,1.3,1,24,1.499737438,-0.493276207,-0.104857429,-0.022887913,-0.062270289,0.608982971,0.388418778
30,TAS1,2021,3.898450958,82144456.25,60,0.733109571,5158.008136,-20.95284102,-4.904507969,-1.332155659,-2.760228134,60305565.27,-24036167.58,-7049.711695,-40788.19719,27726.18247,64.08242056,17206.50917,0,Pipeline,1000,24560,-2056919.969,1576800,0,0,1.4,1,24,1.615101856,-0.629214445,-0.147282522,-0.040004674,-0.082889734,0.776807957,0.481931923
31,TAS1,2021,3.982694562,86360952.86,60,0.744322902,5158.008136,-25.48966981,-6.305507868,-1.899701438,-3.446799637,68317241.55,-23026294.32,-9536.283502,-49619.89057,29706.62408,68.65973631,17206.50917,0,Pipeline,1000,26314,-2387947.934,1576800,0,0,1.5,1,24,1.730466274,-0.76545555,-0.189354591,-0.057048091,-0.103507497,0.945006852,0.576100959
