,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum
19,SA1,2021,3.888808622,85603661,60,0.762471887,5466.86499,-4.987432862,-2.248355693,-2.749430744,-0.900727209,27105548.84,-21424482.19,-1298344.629,-9708.869305,21868.14609,3891.720083,16234.40755,51918.36735,Lined Rock,253.0687589,22326,-2455787,1576800,7367.186436,24,0,1,24,2.549854389,0.235610431,0.651835579,1.541723152,0.242702027,0.029370541,0.460062686,-1.090214929,3.888808622
20,SA1,2021,3.185010019,85603661,60,0.634284734,6311.578124,-9.575554924,-4.17960289,-5.828289448,-1.972692369,45411571.02,-32969405.71,-2515245.995,-18640.41359,25607.63911,0,14061.66771,28653.06122,Lined Rock,427.9345874,22638,-3952385.322,1576800,287.1655693,720,0,1,24,2.985884158,0,0.608312747,1.345423544,0.284204518,0,0.408527633,-1.75461043,3.185010019
21,SA1,2021,3.174601753,85603661,60,0.627262896,6104.732381,-8.434126769,-3.380576629,-5.720327697,-1.601384193,43707607.08,-33607356.7,-3527713.225,-16418.43344,25286.96487,0,14538.11711,30204.08184,Lined Rock,407.3525656,22354,-3993269.84,1576800,1049.385844,8760,0,1,24,2.948493123,0,0.610400097,1.388469117,0.280645539,0,0.419828501,-1.772760583,3.174601753
22,SA1,2021,2.730279787,85603661,60,0.669332618,6378.038893,-21.8619322,-12.04351894,-9.723104526,-5.859365187,66752499.73,-29796311.62,0,-42557.89469,30957.28934,0,13915.14159,2096.616917,Pipeline,516,27367,-5102610.224,1576800,0,0,0,1,24,3.60966036,0,0.053671939,1.332185411,0.343577222,0,0.405052192,-2.265237923,2.730279787
23,SA1,2021,2.730279787,85603661,60,0.669359265,6378.038893,-18.97292616,-10.76509824,-9.202283043,-4.967696654,61128567.95,-29796311.62,-5616669.565,-36933.96292,30957.28934,0,13915.14159,2096.616917,Pipeline,516,27367,-5102610.224,1576800,0,720,0,1,24,3.60966036,0,0.053671939,1.332185411,0.343577222,0,0.405052192,-2.265237923,2.730279787
24,SA1,2021,2.730279787,85603661,60,0.669359265,6378.038893,-19.0069482,-10.76991631,-9.207845574,-4.978197283,61194797.52,-29796311.62,-5550439.997,-37000.19249,30957.28934,0,13915.14159,2096.616917,Pipeline,516,27367,-5102610.224,1576800,0,8760,0,1,24,3.60966036,0,0.053671939,1.332185411,0.343577222,0,0.405052192,-2.265237923,2.730279787
25,NSW1,2021,4.080971781,29262819.63,60,0,7163.125,37.58699895,36.37194514,40.16437787,38.86024339,0,-90110046.74,0,73169.35795,0,0,12390.0273,39510.2043,Lined Rock,319.4874134,12663,5091564.198,1576800,0,0,0,1,24,0,0,0.626241044,1.194396555,0,0,0.368878121,2.260334182,4.080971781
26,NSW1,2021,5.061284707,103389093.8,60,0.793957819,5560.566412,-7.526741043,-3.083317734,-4.913149418,-4.812186759,29740760.89,-18582149,-942019.8972,-14652.0559,25329.1808,11950.87452,15960.84063,100000,Lined Rock,153.2272474,30970,-2011181.839,1576800,52224.78994,24,0,1,24,2.953415555,0.723523439,0.760176605,1.517007316,0.281114069,0.090192419,0.453573972,-0.892838209,5.061284707
27,NSW1,2021,4.467321429,98126868.45,60,0.646832482,6966.276039,-10.02941946,-3.70722159,-5.973419996,-5.839174518,45369383.77,-31829368.5,-1056529.944,-19523.93654,31624.78386,0,12740.13746,65877.55102,Lined Rock,208.9269906,27957,-2543207.594,1576800,0,720,0,1,24,3.687491093,0,0.6828267,1.226027809,0.350985361,0,0.377182357,-1.129024173,4.467321429
28,NSW1,2021,4.309092316,87045734.49,60,0.607135639,7200.342351,-3.418839174,1.790757745,0.23099209,9.23E-15,35400746.06,-35400746.06,0,-6655.340259,27211.94546,0,12325.98534,39510.20408,Lined Rock,319.4874148,24056,-1528837.537,1576800,0,8760,0,1,24,3.172948373,0,0.626241044,1.188610583,0.302009795,0,0.367359115,-0.678707684,4.309092316
