,Interval,Hourly,Daily,Monthly,Yearly
0,"(-inf, 0.45)",935326.5657220357,1020657.1749997942,1576800.0000000002,1576800.0
1,"(0.45, 1.5)",19621.593785094712,18118.100701641775,0.0,0.0
2,"(1.5, 2.5)",18966.152489132877,23864.65253318664,0.0,0.0
3,"(2.5, 4)",30700.68147589243,13817.395681276847,0.0,0.0
4,"(4, inf)",572185.0065278445,500342.676084101,0.0,0.0
