,Interval,Hourly,Daily,Monthly,Yearly
0,"(-inf, 0.45)",662241.1330956216,649646.7426105172,526675.2132926306,0.0
1,"(0.45, 1.5)",15342.179454874346,26599.904017993034,133585.87698677403,0.0
2,"(1.5, 2.5)",14496.298220534178,44985.19999362603,134855.06122631,0.0
3,"(2.5, 4)",25196.555178244565,18300.876048862545,250422.36669545824,1576799.999999999
4,"(4, inf)",859523.8340507243,837267.277329,531261.481798826,0.0
