,Interval,Hourly,Daily,Monthly,Yearly
0,"(-inf, 0.45)",781160.0752714768,837706.670766812,1183410.910729952,1576800.0
1,"(0.45, 1.5)",14651.637905227832,21601.754321775636,0.0,0.0
2,"(1.5, 2.5)",14150.94846864204,20824.544832879703,130068.68826700508,0.0
3,"(2.5, 4)",20851.41474406897,21183.899498136,0.0,0.0
4,"(4, inf)",745985.9236105845,675483.1305803965,263320.40100304293,0.0
