,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,comp_pin,h2_storage_pin,h2_storage_pout,h2_storage_level,Direct_pipeline_pout,price,MEF_CO2,AEF_CO2,Load,Time
6979,19077.408826384948,-19077.408826384948,0.0,0.0,19077.408826384948,0.0,-32507.683725796236,0.0,0.0,32507.683725796236,0.0,-13235.1074519598,13235.1074519598,-235.1415029536005,195.1674474514884,0.0,0.0,0.0,-235.1415029536005,0.08331865083333334,-10435.865531859577,-13757.724865073928,235.1415029536005,2021-10-18 19:00:00
6980,32507.683725796236,-32507.683725796236,0.0,0.0,32507.683725796236,0.0,-32507.683725796236,0.0,0.0,32507.683725796236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11631628583333332,-20963.96474563076,-23997.246243901674,0.0,2021-10-18 20:00:00
6981,19077.408826384948,-19077.408826384948,0.0,0.0,19077.408826384948,0.0,-32507.683725796236,0.0,0.0,32507.683725796236,0.0,-13235.1074519598,13235.1074519598,-235.1415029536005,195.1674474514884,0.0,0.0,0.0,-235.1415029536005,0.07741072583333333,-16198.853965369415,-14162.217326732667,235.1415029536005,2021-10-18 21:00:00
6982,32507.683725796236,-32507.683725796236,0.0,0.0,32507.683725796236,0.0,-32507.683725796236,0.0,0.0,32507.683725796236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15880343583333334,-23401.236072510037,-24274.47004780803,0.0,2021-10-18 22:00:00
6983,9386.909547586689,-9386.909547586689,0.0,0.0,9386.909547586689,0.0,-22817.184446997977,0.0,0.0,22817.184446997977,0.0,-13235.1074519598,13235.1074519598,-235.1415029536005,195.1674474514884,0.0,0.0,0.0,-235.1415029536005,0.07709746833333334,-8080.638098283904,-7046.719232659684,235.1415029536005,2021-10-18 23:00:00
6984,24817.845260253467,-24817.845260253467,0.0,0.0,24817.845260253467,0.0,-24817.845260253467,0.0,0.0,24817.845260253467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1385982025,-15026.025007657818,-18867.2034443846,0.0,2021-10-19 00:00:00
6985,32507.683725796236,-32507.683725796236,0.0,0.0,32507.683725796236,0.0,-32507.683725796236,0.0,0.0,32507.683725796236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18102500000000002,-22689.810609982433,-25004.659850179356,0.0,2021-10-19 01:00:00
6986,32507.683725796236,-32507.683725796236,0.0,0.0,32507.683725796236,0.0,-32507.683725796236,0.0,0.0,32507.683725796236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09768448083333334,-25305.90001929036,-25185.623266359602,0.0,2021-10-19 02:00:00
6987,31223.203045727783,-31223.203045727783,0.0,0.0,31223.203045727783,0.0,-31223.203045727783,0.0,0.0,31223.203045727783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09545723250000002,-19716.958650014032,-24251.422839513587,0.0,2021-10-19 03:00:00
6988,27646.548557028298,-27646.548557028298,0.0,0.0,27646.548557028298,0.0,-27646.548557028298,0.0,0.0,27646.548557028298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19608583666666665,-18480.045462806367,-21210.88501400367,0.0,2021-10-19 04:00:00
