,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,comp_pin,h2_storage_pin,h2_storage_pout,H2CP_h2_storage,h2_storage_level,price,MEF_CO2,AEF_CO2,Load,Direct_pipeline_supply,Time
0,-11936.213302004848,0.0,11936.213302004848,-11936.213302004848,0.0,0.0,-1934.6301211131104,0.0,0.0,1934.6301211131104,0.0,-13669.273676767654,13669.273676767654,-242.85511608470452,201.56974635030474,0.0,0.0,0.0,0.0,0.03794262454545455,10526.750370710171,9015.889018775622,242.85511608470452,242.85511608470452,2021-01-01 00:00:00
1,-11600.535265315024,0.0,11600.535265315024,-11600.535265315024,0.0,0.0,-2270.3081578029323,0.0,0.0,2270.3081578029323,0.0,-13669.273676767652,13669.273676767652,-242.8551160847045,201.5697463503047,0.0,0.0,0.0,0.0,0.034325,10114.293224778217,8876.291235592986,242.8551160847045,242.8551160847045,2021-01-01 01:00:00
2,-12243.233810078182,0.0,12243.233810078182,-12243.233810078182,0.0,0.0,-1627.6096130397743,0.0,0.0,1627.6096130397743,0.0,-13669.273676767652,13669.273676767652,-242.8551160847045,201.5697463503047,0.0,0.0,0.0,0.0,0.02883583333333334,11083.480927901175,9278.83249841401,242.8551160847045,242.8551160847045,2021-01-01 02:00:00
3,-13200.447733383888,0.0,13200.447733383888,-13200.447733383888,0.0,0.0,-670.3956897340686,0.0,0.0,670.3956897340686,0.0,-13669.273676767652,13669.273676767652,-242.8551160847045,201.5697463503047,0.0,0.0,0.0,0.0,0.026915833333333337,11975.065909627709,10004.696467347754,242.8551160847045,242.8551160847045,2021-01-01 03:00:00
4,-13714.17998548486,0.0,13714.17998548486,-13714.17998548486,0.0,0.0,-156.66343763309695,0.0,0.0,156.66343763309695,0.0,-13669.273676767652,13669.273676767652,-242.8551160847045,201.5697463503047,0.0,0.0,0.0,0.0,0.03052790333333334,12357.439934348884,10457.600493068276,242.8551160847045,242.8551160847045,2021-01-01 04:00:00
5,-11937.504459115049,0.0,11937.504459115049,-11937.504459115049,0.0,0.0,-1933.338964002907,0.0,0.0,1933.338964002907,0.0,-13669.273676767652,13669.273676767652,-242.8551160847045,201.5697463503047,0.0,0.0,0.0,0.0,0.02849319416666667,10685.285789603007,8994.903903816059,242.8551160847045,242.8551160847045,2021-01-01 05:00:00
6,-11528.849811941192,0.0,11528.849811941192,-11528.849811941192,0.0,0.0,-2341.993611176764,0.0,0.0,2341.993611176764,0.0,-13669.273676767652,13669.273676767652,-242.8551160847045,201.5697463503047,0.0,0.0,0.0,0.0,0.015691041666666666,10078.731443199575,8317.210690140608,242.8551160847045,242.8551160847045,2021-01-01 06:00:00
7,-11554.630752013567,0.0,11554.630752013567,-11554.630752013567,0.0,0.0,-2316.2126711043884,0.0,0.0,2316.2126711043884,0.0,-13669.273676767652,13669.273676767652,-242.8551160847045,201.5697463503047,0.0,0.0,0.0,0.0,0.017331826666666668,8169.34496057639,7946.435090461675,242.8551160847045,242.8551160847045,2021-01-01 07:00:00
8,-9666.440084736088,0.0,9666.440084736088,-9666.440084736088,0.0,0.0,-4204.403338381869,0.0,0.0,4204.403338381869,0.0,-13669.273676767652,13669.273676767652,-242.8551160847045,201.5697463503047,0.0,0.0,0.0,0.0,0.02182701833333333,7316.147843781575,6476.3450464202115,242.8551160847045,242.8551160847045,2021-01-01 08:00:00
9,-6671.550981300389,0.0,6671.550981300389,-6671.550981300389,0.0,0.0,-7199.292441817567,0.0,0.0,7199.292441817567,0.0,-13669.273676767652,13669.273676767652,-242.8551160847045,201.5697463503047,0.0,0.0,0.0,0.0,0.0316309,4948.7675829406135,4538.837445319674,242.8551160847045,242.8551160847045,2021-01-01 09:00:00
10,-9795.977817073373,0.0,9795.977817073373,-9795.977817073373,0.0,0.0,-4074.8656060445833,0.0,0.0,4074.8656060445833,0.0,-13669.273676767652,13669.273676767652,-242.8551160847045,201.5697463503047,0.0,0.0,0.0,0.0,0.027059839999999998,8843.41545086685,6528.218109809502,242.8551160847045,242.8551160847045,2021-01-01 10:00:00
11,-4714.194441971022,0.0,4714.194441971022,-4714.194441971022,0.0,0.0,-9156.648981146935,0.0,0.0,9156.648981146935,0.0,-13669.273676767652,13669.273676767652,-242.8551160847045,201.5697463503047,0.0,0.0,0.0,0.0,0.027918585000000003,3515.4325254029277,3084.3237147448417,242.8551160847045,242.8551160847045,2021-01-01 11:00:00
