,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Supply_ratio
0,SA1,2021,2.6798707197632745,18079175.19507874,60,0.0,4643.044948040571,38.18534399999984,30.03541784936491,9.058065810618325,14.514285714285652,0.0,-74168000.00000009,0.0,60224.41600000008,0.0,0.0,15974,58602.33267716543,15974.0,1960870.099554002,1277500.000000007,14471.91437007938,0,0.0,0,24,-1
1,SA1,2021,2.6290161906379588,20647205.421552625,60,0.08385805309378186,4643.044948040497,34.22401994012185,26.93514427246398,7.828859642714456,13.062832560102645,1197341.5360179788,-67948415.91814208,0.0,53976.772189513395,1807.0,0.0,15974,55139.43496900485,15974.0,1514531.9756742949,1277500.0000000056,19956.678271466513,0,0.1,0,24,-1
2,SA1,2021,2.5807032060938364,23204264.014895566,60,0.1662020303598874,4643.044948040462,30.24931002409951,23.89164886887291,6.634682942291576,11.611379405919159,2506979.048023146,-61841127.81226977,0.0,47708.0167355399,3614.0,0.0,15974,51055.26698162891,15974.0,1074310.4478976084,1277500.0000000065,27905.998433126482,0,0.2,0,24,-1
3,SA1,2021,2.5353782486913405,25791498.426949855,60,0.24594442379274792,4643.044948040616,26.251599657041957,20.832136539562672,5.407694734640436,10.15992625173524,4009570.829771277,-55926793.976138726,0.0,41402.98587885337,5421.000000000001,0.0,15974,48679.80900055798,15974.0,636259.3277363562,1277500.000000005,31667.09990860338,0,0.30000000000000004,0,24,-1
4,SA1,2021,2.4935987882719735,28400942.75701619,60,0.32251159667786333,4643.044948040577,22.22581735019251,17.78707752823456,4.196419960826373,8.708473097551787,5747662.369106171,-50247959.897596255,0.0,35053.68106774199,7228.0,0.0,15974,47561.990771018616,15974.0,202368.2330383533,1277500.0000000037,31382.69371830258,0,0.4,0,24,-1
5,SA1,2021,2.45584029370943,31013501.441017516,60,0.3949568236693167,4643.044948040577,18.163593159948494,14.787892025977564,2.9631830101804413,7.257019943368682,7791470.391479608,-44874842.30209332,0.0,28646.90155782017,9035.0,0.0,15974,46620.52327392503,15974.0,-224232.05594995784,1277500.0000000075,26662.668720733778,0,0.5,0,24,-1
6,SA1,2021,2.42311278508704,33617094.57385473,60,0.4620393190682311,4643.044948040565,14.053957372264442,11.669313014631255,1.70485944823223,5.805566789184937,10233021.490611445,-39899467.78334729,0.0,22165.346349466556,10842.000000000002,0.0,15974,45171.38017297433,15974.0,-640210.9839655284,1277500.000000006,21619.987391923787,0,0.6000000000000001,0,24,-1
7,SA1,2021,2.395294951299542,36251222.74327281,60,0.5248642605347398,4643.044948040676,9.906680798418657,8.680204258085041,0.4566114262238177,4.354113635001686,12990346.849803431,-35239867.52466196,0.0,15624.42558022208,12649.000000000002,0.0,15974,45451.28784104258,15974.0,-1050403.5656709464,1277500.0000000051,13354.262022368295,0,0.7000000000000001,0,24,-1
8,SA1,2021,2.372175727219524,38869641.71917767,60,0.5805830116867685,4643.044948040607,5.696578810192724,5.655339856546829,-0.8511433252876673,2.9026604808182164,16274724.132235363,-31107319.189217057,0.0,8984.41904940889,14456.0,0.0,15974,44841.660202586245,15974.0,-1449821.4320685787,1277499.9999999993,8449.135620801551,0,0.8,0,24,-1
9,SA1,2021,2.3539613777442483,41529201.428761914,60,0.6347587257034075,4643.044948040602,1.4728349205888498,2.6496661404612456,-2.1830478436154577,1.4512073266347583,19673545.392926745,-27089214.83203023,0.0,2322.897050681803,16263.0,0.0,15974,46561.63243272458,15974.0,-1844698.2661028446,1277500.0000000037,8061.411756962979,0,0.9,0,24,-1
10,SA1,2021,2.340325583365616,44219636.716338664,60,0.6815006037142081,4643.044948040532,-2.8166310798550374,-0.39085692097091357,-3.5708568769333042,-0.0002458275485995618,23623719.402496107,-23622463.223722905,0.0,-4442.279264833108,18070.0,0.0,15974,50029.938637523606,15974.0,-2234458.724731942,1277500.0000000026,6785.370039936801,0,1.0,0,24,-1
11,SA1,2021,2.355632248854738,46871689.53353426,60,0.6987622854830218,4643.044948040571,-6.231937368599526,-2.5620227141969583,-4.753682636736368,-1.101454411237829,27970630.851718023,-22342198.810292646,-1789749.7552254729,-9828.765417760394,19877.0,0.0,15974,51324.83202345734,17572.0,-2564654.157869136,1277500.0000000042,7010.20160762259,0,1.1,0,24,-1
12,SA1,2021,2.3736155343894425,49512187.282323375,60,0.7124521659235952,4643.044948040575,-9.601846263607715,-4.66312991983879,-5.928402078520333,-2.178905130391752,32461052.974081334,-21326847.757779874,-3700902.198225946,-15143.652594764077,21684.000000000004,0.0,15974,51965.41802510615,19169.0,-2888407.878195673,1277500.000000005,6291.966658176382,0,1.2000000000000002,0,24,-1
13,SA1,2021,2.3937024553529285,52138509.91969173,60,0.7249053296988722,4643.044948040573,-12.91707058471632,-6.723516430846067,-7.069892951298098,-3.2361032835409973,36939709.28578793,-20403221.5068921,-5715545.253510481,-20372.293422191546,23491.0,0.0,15974,51803.33633588466,20767.0,-3206505.161128822,1277500.0000000042,5942.893484715424,0,1.3,0,24,-1
