,Time,Prices,Solar,Carbon intensity,Wind,AEF
111,15:00,38.015,627.48,0,6083.48,0.316189308
112,16:00,38.09388833,682.95,0.157939649,9729.32,0.294218247
113,17:00,44.90833333,518.88,0,8063.5,0.284014582
114,18:00,36.575,105.33,0,0,0.284963837
115,19:00,35.81660667,0,0,0,0.252447837
116,20:00,35.5838325,0,0,0,0.21038473
117,21:00,35.31,0,0,0,0.252145338
118,22:00,35.38833333,0,0,0,0.319795905
119,23:00,35.82154333,0,0.2334684,7679.06,0.31584813
120,0:00,35.28321167,0,0.142743284,10046.25,0.252380626
121,1:00,34.185565,0,0.14801214,23378.33,0.358058097
122,2:00,35.565,0,0,6218.52,0.369322223
123,3:00,35.32,0,0,15051.56,0.370894424
124,4:00,36.135,13.55,0,40636.11,0.368235214
125,5:00,35.48561917,384.66,0.070643901,38078.06,0.351492362
126,6:00,38.25849333,704.32,0.230784079,26188.46,0.336458135
127,7:00,35.34,713.2,0,22946.03,0.325910168
128,8:00,42.61958333,519.49,0,33709.64,0.32691303
129,9:00,35.34,722.85,0,38057.67,0.318942624
130,10:00,35.50333333,769.23,0,37299.54,0.320805956
131,11:00,35.34,769.23,0,39299.48,0.326353686
132,12:00,35.325,769.23,0,41331.59,0.323103704
133,13:00,40.32666667,769.23,0,46134.56,0.309483102
134,14:00,35.32,769.23,0,39788.73,0.33287836
135,15:00,29.53333333,769.23,0,24777.93,0.325257763
136,16:00,35.325,695.92,0,12600.97,0.300173826
137,17:00,21.81,499.23,0,1707.61,0.290983098
138,18:00,31.45,103.03,0,14294.7,0.297495157
139,19:00,35.33833333,0,0,63095.45,0.30760087
140,20:00,36.0931625,0,0.218089055,145580.39,0.295002795
141,21:00,35.33333333,0,0,211628.07,0.303599247
142,22:00,35.33833333,0,0,273500.98,0.343293194
143,23:00,36.038305,0,0.294513049,282880.07,0.337654822
144,0:00,35.33833333,0,0,282880.07,0.352899607
145,1:00,35.33,0,0,282880.07,0.372038663
146,2:00,35.34,0,0,282880.07,0.377677949
147,3:00,35.93666667,0,0,282880.07,0.387830517
148,4:00,37.4420775,9.69,-0.000180751,282880.07,0.390198637
149,5:00,36.20416667,107.42,0,282880.07,0.360969116
150,6:00,35.45219583,63.9,0.074395625,282880.07,0.332611474
151,7:00,30.39286833,80.9,0.100111312,282880.07,0.313560728
152,8:00,35.34,147.3,0,265209.85,0.350577209
153,9:00,47.02166667,290.8,0,229488.53,0.357876173
154,10:00,38.7254925,684.67,0.05869876,274330.69,0.371162992
