,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Supply_ratio,wind_capex,pv_capex,hydrogen_storage_capex,electrolyser_capex,grid_connection_cost,wind_OM,pv_OM,electrolyser_OM,grid_intercation_cost,LCOH_sum
0,TAS1,2021,2.551247555243324,12572578.711576188,60,0.0,7644.999999999682,38.18534399999852,14.746082068875266,0.0412117213333233,6.966857142856585,0.0,-74167999.99999687,0.0,60224.415999997465,0.0,0.0,9701.504251144534,37323.41399607587,9701.504251144534,2707417.046972652,1277499.999999996,325.0490516677579,0,0,1,24,-1,0.0,0.0,0.04036140385373589,0.6338663542061205,0.09207992961757139,0.0,0.0,0.3590205549845845,1.422354928209018,2.5476831708710304
1,TAS1,2021,3.1935712488071437,40160693.707962885,60,1.0,5150.710434178105,-0.0,0.0,0.0,-0.0,0.0,0.0,-3.085176558670355e-11,-0.0,16289.098911559591,0.0,14399.567001059066,62045.11899850826,0.0,0.0,1277500.000000001,15891.131210849411,1,0,1,24,-1,1.451290177615547,0.0,0.06709536553422403,0.9408232786200378,0.0,0.23780171796523378,0.0,0.4965607090721007,0.0,3.1935712488071433
2,TAS1,2021,3.1819364919100503,40487902.21456492,60,0.9642243875129344,5401.084304946102,-0.9995753602157176,-0.1570090802637644,-0.0034358949335062,-0.1012274452480442,3731056.137814108,-2653405.626944366,-827936.2910483252,-1576.4907687352827,16707.61217740209,0.0,13732.057455958531,56395.378217162746,3293.657215043682,-34717.39484868229,1277499.9999999995,16026.889902127274,24,0,1,24,-1,1.4885779487327089,0.0,0.06098575644624566,0.8972102645144435,0.031261103092321815,0.2439115202415257,0.0,0.47701874665585065,-0.018238954989523007,3.1807263846935734
3,TAS1,2021,3.06650194929633,38448746.49959673,60,0.8211500911901827,6615.299693930171,-1.6733255911373877,-0.0359832697079207,-0.0080971916533104,-0.0136479958140535,13410234.325372254,-13264940.036601454,-1265543.7919538897,-2639.1030156518723,16598.95331029058,0.0,11211.585783188597,44766.873890890914,9589.592605891716,126710.63517186532,1277500.0000000023,13581.785832438529,720,0,1,24,-1,1.4788969008487212,0.0,0.04841073425302076,0.7325304222198827,0.09101774213081594,0.24232522836549414,0.0,0.4032295955313133,0.06656805850975983,3.0629786818590077
4,TAS1,2021,2.970499283290823,37329540.25838673,60,0.7950887708690891,6819.081723163756,-1.8116082333500536,0.4088470047191775,-0.0138199882552505,-2.1087604669631586e-13,15197856.042180955,-15197856.04217884,0.0,-2857.1969359317345,16289.09891156013,0.0,10876.537781921972,22763.63844220362,10072.233999171913,101705.4629372668,1277500.0000000063,7018.933551400551,8760,0,1,24,-1,1.4512901776155887,0.0,0.02461651563929277,0.7106394195929563,0.09559863849217363,0.23780171796524063,0.0,0.3934207538503951,0.05343146767741436,2.9667986908330612
