,Unnamed: 0,Field1,lon,lat,locid,V1,V2,Shape_Length,Shape_Area,Location,State
329,30,62154,146.25,-36.5,62155,523,108,2.250000001,0.3125,Cell 82,VIC1
330,31,62155,146.875,-36.5,62156,524,108,2.249999999,0.3125,Cell 83,VIC1
331,32,62156,147.5,-36.5,62157,525,108,2.249999999,0.3125,Cell 84,VIC1
332,33,62157,148.125,-36.5,62158,526,108,2.250000001,0.3125,Cell 85,VIC1
333,34,62726,143.75,-36,62727,519,109,2.249999999,0.3125,Cell 97,VIC1
334,35,62727,144.375,-36,62728,520,109,2.249999999,0.3125,Cell 98,VIC1
335,36,62728,145,-36,62729,521,109,2.250000001,0.3125,Cell 99,VIC1
336,37,62729,145.625,-36,62730,522,109,2.249999999,0.3125,Cell 100,VIC1
337,38,63301,143.125,-35.5,63302,518,110,2.250000003,0.312500001,Cell 115,VIC1
338,39,63302,143.75,-35.5,63303,519,110,2.250000001,0.3125,Cell 116,VIC1
339,40,63876,142.5,-35,63877,517,111,2.249999999,0.3125,Cell 136,VIC1
340,41,63877,143.125,-35,63878,518,111,2.250000001,0.3125,Cell 137,VIC1
116,0,0,151.749997,-32.916663,0,0,0,2.250000001,0.3125,Cell 2127,NSW1
