,Interval,Hourly,Daily,Monthly,Yearly
0,"(-inf, 0.45)",821843.25674184,641745.5615000499,514003.32250071806,1277499.9999999958
1,"(0.45, 1.5)",13369.123435414487,40017.62439434207,106497.66735222007,0.0
2,"(1.5, 2.5)",12115.76811334438,22026.463966071984,216847.24837703537,0.0
3,"(2.5, 4)",24858.2138877238,64559.20209860768,210748.52055297157,0.0
4,"(4, inf)",405313.63782167295,509151.1480409242,229403.2412170506,0.0
