,TimeBeginning,TimeEnding,Region,Energy,Total_Emissions,Energy_SO,SETTLEMENTDATE,METEREDMWFLOW,MWFLOW,New_Energy,New_Emissions,New_Intensity_Index,Total_Energy,Sum_Emissions,Rooftop_PV
0,2023-01-01 00:00:00,2023-01-01 01:00:00,QLD1,5255.032,4026.454,4888.338,2023-01-01 00:00:00,8.38333333,-6.186666670000001,8.38333333,5.148953429375038,0.82332701393234,4896.72133333,4031.6029534293752,0.0
1,2023-01-01 01:00:00,2023-01-01 02:00:00,QLD1,5528.439,4321.85,5135.709,2023-01-01 01:00:00,83.44166666,72.26666667,83.44166666,51.975544579332485,0.8380339683464947,5219.15066666,4373.825544579333,0.0
2,2023-01-01 02:00:00,2023-01-01 03:00:00,QLD1,5457.677,4272.855,5069.416,2023-01-01 02:00:00,13.43333334,18.70083333,13.43333334,8.353678795757265,0.8422851825872486,5082.84933334,4281.208678795757,0.0
3,2023-01-01 03:00:00,2023-01-01 04:00:00,QLD1,5457.412,4247.801,5070.804,2023-01-01 03:00:00,-66.44166667,-61.36,-66.44166667,-55.658033345894005,0.8376977299852252,5004.36233333,4192.142966654106,0.0
4,2023-01-01 04:00:00,2023-01-01 05:00:00,QLD1,5563.423,4527.236,5156.126,2023-01-01 04:00:00,-215.91666667,-212.48083337,-215.91666667,-189.58142340750092,0.8780305213642957,4940.20933333,4337.654576592499,0.0
5,2023-01-01 05:00:00,2023-01-01 06:00:00,QLD1,5667.161,4599.349,5254.517,2023-01-01 05:00:00,-463.10833333,-471.4283333,-463.10833333,-405.3649174211449,0.875313373236779,4791.40866667,4193.984082578855,17.683
6,2023-01-01 06:00:00,2023-01-01 07:00:00,QLD1,5485.71,3871.692,5133.396,2023-01-01 06:00:00,-593.68333337,-568.6325,-593.68333337,-447.76576993903495,0.7542165069673176,4539.71266663,3423.9262300609653,324.201
7,2023-01-01 07:00:00,2023-01-01 08:00:00,QLD1,5392.69,3462.788,5075.946,2023-01-01 07:00:00,-545.525,-521.6691667,-545.525,-372.1547517841994,0.682195594673387,4530.421,3090.6332482158004,934.4955
8,2023-01-01 08:00:00,2023-01-01 09:00:00,QLD1,5475.9,3310.167,5171.358,2023-01-01 08:00:00,-611.6249999700001,-637.065,-611.6249999700001,-391.4988850657207,0.6400962764519494,4559.73300003,2918.6681149342794,1602.9625
9,2023-01-01 09:00:00,2023-01-01 10:00:00,QLD1,5727.17,3307.757,5420.485,2023-01-01 09:00:00,-813.78333333,-813.1925,-813.78333333,-496.5971711582342,0.6102326636823089,4606.70166667,2811.159828841766,2124.0335
10,2023-01-01 10:00:00,2023-01-01 11:00:00,QLD1,5769.212,3345.027,5458.868,2023-01-01 10:00:00,-732.94166667,-733.94333333,-732.94166667,-449.12418919749484,0.6127693507152031,4725.9263333300005,2895.902810802505,2415.555
11,2023-01-01 11:00:00,2023-01-01 12:00:00,QLD1,5974.869,3474.11,5650.98,2023-01-01 11:00:00,-853.7833333,-870.0266667,-853.7833333,-524.8889955460581,0.6147800912408113,4797.1966667,2949.221004453942,2530.098
12,2023-01-01 12:00:00,2023-01-01 13:00:00,QLD1,6121.218,3635.636,5780.116,2023-01-01 12:00:00,-949.175,-929.5875,-949.175,-597.0217207232519,0.6289901448344636,4830.941,3038.614279276748,2587.42
13,2023-01-01 13:00:00,2023-01-01 14:00:00,QLD1,6054.238,3679.015,5708.934,2023-01-01 13:00:00,-877.53333333,-878.30249997,-877.53333333,-565.5098300875558,0.6444311670094626,4831.400666670001,3113.505169912444,2607.141
14,2023-01-01 14:00:00,2023-01-01 15:00:00,QLD1,6345.604,3944.446,5975.431,2023-01-01 14:00:00,-1116.6916663,-1104.4149997,-1116.6916663,-737.1401286987282,0.6601107100056883,4858.739333699999,3207.3058713012715,2519.3695
15,2023-01-01 15:00:00,2023-01-01 16:00:00,QLD1,6591.608,4215.566,6198.988,2023-01-01 15:00:00,-1032.8833333,-1006.92250003,-1032.8833333,-702.4030151092642,0.6800410002406844,5166.1046667,3513.1629848907355,2070.132
16,2023-01-01 16:00:00,2023-01-01 17:00:00,QLD1,7121.939,4783.372,6683.466,2023-01-01 16:00:00,-1007.41666667,-993.74833333,-1007.41666667,-721.0104271769485,0.7157023017697703,5676.04933333,4062.3615728230516,1554.429
17,2023-01-01 17:00:00,2023-01-01 18:00:00,QLD1,7262.793,5148.39,6796.803,2023-01-01 17:00:00,-610.675,-619.5808333,-610.675,-462.5693967075403,0.7574722998445005,6186.128,4685.82060329246,891.876
18,2023-01-01 18:00:00,2023-01-01 19:00:00,QLD1,7271.877,5438.996,6792.526,2023-01-01 18:00:00,-303.225,-262.28,-303.225,-242.80209779101324,0.8007324521098631,6489.3009999999995,5196.193902208986,228.6105
19,2023-01-01 19:00:00,2023-01-01 20:00:00,QLD1,7206.255,5380.825,6732.44,2023-01-01 19:00:00,-158.32500003,-172.76166667,-158.32500003,-126.5394297292549,0.7992384633208762,6574.114999969999,5254.285570270745,3.6635
20,2023-01-01 20:00:00,2023-01-01 21:00:00,QLD1,6958.765,5279.558,6490.536,2023-01-01 20:00:00,-113.31666666,-124.13166667000002,-113.31666666,-92.17450053402926,0.8134240377065931,6377.21933334,5187.383499465971,0.0
21,2023-01-01 21:00:00,2023-01-01 22:00:00,QLD1,6701.292,5180.355,6241.413,2023-01-01 21:00:00,-195.75833337,-208.0366667,-195.75833337,-162.47885872396947,0.8299971496838938,6045.654666629999,5017.8761412760305,0.0
22,2023-01-01 22:00:00,2023-01-01 23:00:00,QLD1,6510.2,5107.904,6051.282,2023-01-01 22:00:00,-280.125,-263.02416667,-280.125,-236.45429315639234,0.8441027868144305,5771.157,4871.4497068436085,0.0
23,2023-01-01 23:00:00,2023-01-02 00:00:00,QLD1,6324.471,4991.174,5872.275,2023-01-01 23:00:00,-390.775,-438.14416663,-390.775,-332.14146473896403,0.8499557667173285,5481.5,4659.032535261036,0.0
24,2023-01-02 00:00:00,2023-01-02 01:00:00,QLD1,5936.6,4690.066,5509.159,2023-02-01 00:00:00,-347.45000003,-350.79749997,-347.45000003,-295.7916865061803,0.8513215901011388,5161.708999969999,4394.274313493819,0.0
25,2023-01-02 01:00:00,2023-01-02 02:00:00,QLD1,5795.764,4619.175,5375.245,2023-02-01 01:00:00,-370.25833337,-385.7933333,-370.25833337,-318.17862014556914,0.8593422253311246,5004.9866666299995,4300.996379854431,0.0
26,2023-01-02 02:00:00,2023-01-02 03:00:00,QLD1,5735.76,4594.569,5318.04,2023-02-01 02:00:00,-434.7833333,-432.7608333,-434.7833333,-375.6350130681318,0.863959090191123,4883.2566667,4218.933986931868,0.0
27,2023-01-02 03:00:00,2023-01-02 04:00:00,QLD1,5550.344,4653.869,5129.372,2023-02-01 03:00:00,-317.08333333,-304.1833333,-317.08333333,-287.6890768306829,0.9072980084111659,4812.288666670001,4366.179923169317,0.0
28,2023-01-02 04:00:00,2023-01-02 05:00:00,QLD1,5650.135,4662.22,5227.397,2023-02-01 04:00:00,-375.9916667,-378.89249997,-375.9916667,-335.34010681072704,0.8918817530024983,4851.4053333,4326.879893189273,0.0
29,2023-01-02 05:00:00,2023-01-02 06:00:00,QLD1,5705.14,4670.756,5281.638,2023-02-01 05:00:00,-494.71666667,-498.74916667,-494.71666667,-437.49701118268666,0.8843385328566631,4786.9213333299995,4233.258988817313,21.301
30,2023-01-02 06:00:00,2023-01-02 07:00:00,QLD1,5790.065,4180.366,5408.786,2023-02-01 06:00:00,-756.45833333,-737.05249997,-756.45833333,-584.6547999993712,0.7728843404046675,4652.32766667,3595.7112000006287,360.865
31,2023-01-02 07:00:00,2023-01-02 08:00:00,QLD1,5941.869,3674.56,5601.246,2023-02-01 07:00:00,-868.5083333700001,-855.43583337,-868.5083333700001,-569.7635814367138,0.6560254629059321,4732.73766663,3104.7964185632864,1150.183
32,2023-01-02 08:00:00,2023-01-02 09:00:00,QLD1,6116.948,3627.015,5777.096,2023-02-01 08:00:00,-965.25833337,-956.6733333,-965.25833337,-606.0149344944225,0.6278266797020511,4811.837666629999,3021.0000655055774,1801.101
