,TimeBeginning,TimeEnding,Region,Energy,Total_Emissions,Energy_SO,INTERCONNECTORID,SETTLEMENTDATE,METEREDMWFLOW,MWFLOW,MWLOSSES,New_Energy,New_Emissions,New_Intensity_Index
0,2023-01-01 00:00:00,2023-01-01 01:00:00,TAS1,1268.969,0.0,1256.28,T-V-MNSP1,2023-01-01 00:00:00,194.35,179.4441667,3.325,-194.35,-0.0,0.0
1,2023-01-01 01:00:00,2023-01-01 02:00:00,TAS1,1282.464,0.0,1269.639,T-V-MNSP1,2023-01-01 01:00:00,55.81666667,45.38333333,0.699166667,-55.81666667,-0.0,0.0
2,2023-01-01 02:00:00,2023-01-01 03:00:00,TAS1,975.441,0.0,965.687,T-V-MNSP1,2023-01-01 02:00:00,-225.65,-229.15,6.553333333,225.65,249.59112259173784,0.20950505406256822
3,2023-01-01 03:00:00,2023-01-01 04:00:00,TAS1,809.176,0.0,801.084,T-V-MNSP1,2023-01-01 03:00:00,-406.5916667,-401.385,18.455,406.5916667,437.04784553578855,0.3618917376467734
4,2023-01-01 04:00:00,2023-01-01 05:00:00,TAS1,799.507,0.0,791.512,T-V-MNSP1,2023-01-01 04:00:00,-442.9583333,-438.1608333,21.67583333,442.9583333,460.2515751058064,0.3728332408567946
5,2023-01-01 05:00:00,2023-01-01 06:00:00,TAS1,820.841,0.0,812.632,T-V-MNSP1,2023-01-01 05:00:00,-431.5666667,-426.4491667,20.5875,431.5666667,439.0272291964706,0.35285942747463855
6,2023-01-01 06:00:00,2023-01-01 07:00:00,TAS1,811.769,0.0,803.651,T-V-MNSP1,2023-01-01 06:00:00,-424.0333333,-423.6875,20.34583333,424.0333333,388.10325058727335,0.3161262549828723
7,2023-01-01 07:00:00,2023-01-01 08:00:00,TAS1,862.255,0.0,853.633,T-V-MNSP1,2023-01-01 07:00:00,-409.7083333,-399.6183333,18.35916667,409.7083333,384.44559050019774,0.30430856678771007
8,2023-01-01 08:00:00,2023-01-01 09:00:00,TAS1,836.375,0.0,828.011,T-V-MNSP1,2023-01-01 08:00:00,-425.725,-442.5591667,22.10666667,425.725,397.8620896659156,0.31734120234715735
9,2023-01-01 09:00:00,2023-01-01 10:00:00,TAS1,841.004,0.0,832.594,T-V-MNSP1,2023-01-01 09:00:00,-445.7,-444.7725,22.31083333,445.7,415.72660596506915,0.32521986801554975
10,2023-01-01 10:00:00,2023-01-01 11:00:00,TAS1,840.999,0.0,832.589,T-V-MNSP1,2023-01-01 10:00:00,-447.5416667,-445.4541667,22.37333333,447.5416667,397.861923393287,0.31079790035725025
11,2023-01-01 11:00:00,2023-01-01 12:00:00,TAS1,847.005,0.0,838.535,T-V-MNSP1,2023-01-01 11:00:00,-440.675,-446.115,22.43583333,440.675,383.383918573233,0.29970365973783275
