,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum,RE factor,EI_market,EI_MEF,EI_AEF,EI_L,EI_MEF-EI_market,EI_AEF-EI_L
11,QLD1,Cell 1375,2023,3.913866514,93623353.85,60,0.57322931,5119.291196,-9.826883091,-2.750276652,-6.574923215,-6.611609346,38434993.18,-23751633.16,-4676775.901,-19129.66575,AA,0,0,21956.16287,20431.71655,17336.64113,1820.715494,Pipeline,998.4581698,33426,-3513942.366,1576800,1197.127812,0,1.1,0,1,2.56011726,1.236966031,0.090188354,1.586564209,0.243678875,0.154196745,0.43120648,-1.55996934,3.913866514,2.444987994,-0.249413276,-0.069803976,-0.166876224,-0.167807344,0.1796093,0.00093112
12,QLD1,Cell 1375,2023,3.916087854,99858760.26,60,0.50613698,5119.291196,-13.93907838,-5.473256409,-10.16872804,-10.41967353,44477332.34,-21336851.75,-6166945.714,-27134.73924,AA,0,0,23952.17767,22289.14532,17336.64113,1827.311781,Pipeline,998.4525838,36465,-4287237.27,1576800,1233.578728,0,1.2,0,1,2.792855193,1.349417489,0.090514592,1.586564209,0.2658315,0.16821463,0.43120648,-1.903263628,3.916087854,2.66725963,-0.353783715,-0.138915137,-0.258089544,-0.264458719,0.214868578,0.006369175
13,QLD1,Cell 1375,2023,3.92048857,106094611.9,60,0.436068062,5119.291196,-17.9849651,-8.191624104,-13.69831515,-14.12842831,50787743.2,-19410692.83,-7877666.324,-35010.73207,AA,0,0,25948.19248,24146.5741,17336.64113,1834.354785,Pipeline,998.4466196,39504,-5055672.733,1576800,1270.476362,0,1.3,0,1,3.025593125,1.461868946,0.09086292,1.586564209,0.287984125,0.182232516,0.43120648,-2.24440063,3.92048857,2.889531266,-0.456471195,-0.207909241,-0.347672973,-0.358589551,0.248561954,0.010916578
14,QLD1,Cell 1375,2023,3.926381831,112319681.6,60,0.363348564,5119.291196,-22.00371821,-10.91165836,-17.19303409,-17.78316574,57336865.46,-17843209.5,-9708351.108,-42833.90478,AA,0,0,27944.20728,26004.00288,17336.64113,1830.582241,Pipeline,998.4498143,42542,-5819541.217,1576800,1296.558448,0,1.4,0,1,3.258331058,1.574320403,0.090676341,1.586564209,0.31013675,0.196250402,0.43120648,-2.58351018,3.926381831,3.111802902,-0.558470005,-0.276945644,-0.436371424,-0.451349384,0.281524362,0.014977961
15,QLD1,Cell 1375,2023,3.933406162,118559241.8,60,0.288356438,5119.291196,-26.01882041,-13.62010292,-20.66889069,-21.41274012,64090660.67,-16536282.34,-11594919.12,-50649.97039,AA,0,0,29940.22209,27861.43166,17336.64113,1841.345406,Pipeline,998.4406998,45581,-6582481.236,1576800,1303.530651,0,1.5,0,1,3.491068991,1.686771861,0.091208652,1.586564209,0.332289375,0.210268288,0.43120648,-2.92220755,3.933406162,3.334074537,-0.660376152,-0.345687891,-0.524591134,-0.543470561,0.314688261,0.018879427
16,SA1,Cell 266,2023,3.533873362,26467115.62,60,1,5393.242935,37.60315858,22.55296284,8.15748391,13.13661429,0,-90060058.29,0,73200.81537,AA,0,0,0,0,16456.02013,4377.974626,Pipeline,996.2926148,16699,4078263.956,1576800,3760.317364,0,0,0,1,0,0,0.216390729,1.506990009,0,0,0.410319097,1.810492624,3.533873362,0,0.954394888,0.572410224,0.207042739,0.333416606,-0.381984664,-0.126373867
17,SA1,Cell 266,2023,3.54314946,31855674.26,60,0.975904568,5393.242935,33.3873466,20.35467195,7.257639667,11.73672803,2170035.967,-82632960.98,0,64994.03472,AA,0,0,1894.202446,1298.353511,16456.02013,4351.223376,Pipeline,996.3152685,16699,3427547.302,1576800,3738.673282,0,0.1,0,1,0.220866479,0.078604222,0.215073382,1.506990009,0.021022668,0.009798584,0.410319097,1.521615368,3.54314946,0.194005351,0.847394584,0.516616039,0.184204052,0.297886498,-0.330778545,-0.113682446
18,SA1,Cell 266,2023,3.552686616,37274153.94,60,0.950605039,5393.242935,29.16110644,18.16519123,6.351826414,10.33684177,4448513.087,-75314304.83,4.65E-06,56766.95388,AA,0,0,3788.404892,2596.707022,16456.02013,4354.615923,Pipeline,996.3123956,16699,2774074.953,1576800,3760.455825,0,0.2,0,1,0.441732957,0.157208445,0.215240449,1.506990009,0.042045336,0.019597167,0.410319097,1.231514756,3.552686616,0.388010702,0.740129605,0.461045463,0.161213868,0.26235639,-0.279084142,-0.101142522
19,SA1,Cell 266,2023,3.56245396,42658135.16,60,0.924364891,5393.242935,24.92672,15.98008327,5.455681912,8.93695551,6811702.318,-68080360.79,0,48524.01493,AA,0,0,5682.607338,3895.060533,16456.02013,4323.254536,Pipeline,996.3389532,16699,2124976.406,1576800,3991.030923,0,0.3,0,1,0.662599436,0.235812667,0.213696011,1.506990009,0.063068004,0.029395751,0.410319097,0.943355837,3.56245396,0.582016052,0.632657868,0.40558587,0.138469084,0.226826282,-0.227071998,-0.088357198
20,SA1,Cell 266,2023,3.572501669,48088508.26,60,0.89695337,5393.242935,20.68218879,13.76971788,4.546774563,7.537069251,9280385.534,-60951910.73,0,40261.32751,AA,0,0,7576.809785,5193.414044,16456.02013,4338.628265,Pipeline,996.3259343,16699,1471324.993,1576800,4100.374662,0,0.4,0,1,0.883465914,0.314416889,0.214453123,1.506990009,0.084090672,0.039194335,0.410319097,0.653175733,3.572501669,0.776021403,0.524928649,0.349485225,0.11540037,0.191296174,-0.175443424,-0.075895804
21,SA1,Cell 266,2023,3.582825548,53474970.22,60,0.868056512,5393.242935,16.42479372,11.58874092,3.639666236,6.137182993,11882838.25,-53957230.18,0,31973.59844,AA,0,0,9471.012231,6491.767554,16456.02013,4309.766702,Pipeline,996.3503751,16699,823202.8533,1576800,4148.71367,0,0.5,0,1,1.104332393,0.393021112,0.213031757,1.506990009,0.10511334,0.048992919,0.410319097,0.365450277,3.582825548,0.970026754,0.416872937,0.29413048,0.092377316,0.155766066,-0.122742457,-0.06338875
22,SA1,Cell 266,2023,3.593477308,58856900.29,60,0.838671663,5393.242935,12.16317237,9.383012411,2.734909157,4.737296734,14529239.47,-47006498.13,0,23677.6422,AA,0,0,11365.21468,7790.121065,16456.02013,4276.341602,Pipeline,996.3786803,16699,176325.7364,1576800,4155.077963,0,0.6,0,1,1.325198872,0.471625334,0.21138556,1.506990009,0.126136008,0.058791502,0.410319097,0.078277534,3.593477308,1.164032105,0.308709959,0.238147523,0.069413938,0.120235958,-0.070562435,-0.05082202
23,SA1,Cell 266,2023,3.606505681,64291006.93,60,0.806247513,5393.242935,8.037687957,7.205838688,1.828324524,3.394165321,17449360.27,-40718577.13,-389091.4796,15646.69922,AA,0,0,13259.41712,9088.474576,16456.02013,4295.474982,Pipeline,996.3624777,18713,-471028.7501,1576800,4086.831847,0,0.7,0,1,1.54606535,0.550229556,0.212327897,1.506990009,0.147158676,0.068590086,0.410319097,-0.209107132,3.606505681,1.358037455,0.204002232,0.182889307,0.046404176,0.086146328,-0.021112926,-0.039742152
24,SA1,Cell 266,2023,3.622946712,69798776.14,60,0.770827686,5393.242935,4.128153644,5.040660406,0.914856592,2.135539389,20639271.93,-35279787.19,-1357523.145,8036.139094,AA,0,0,15153.61957,10386.82809,16456.02013,4388.818506,Pipeline,996.2834319,21386,-1118927.951,1576800,4034.106605,0,0.8,0,1,1.766931829,0.628833778,0.216924712,1.506990009,0.168181344,0.07838867,0.410319097,-0.496733616,3.622946712,1.552042806,0.104775473,0.127935543,0.02321971,0.054201507,0.02316007,-0.030981797
25,SA1,Cell 266,2023,3.641907079,75232186.71,60,0.73392501,5393.242935,0.360970627,2.911894614,0.030334021,0.931130144,23962729.08,-30346233.47,-2697645.555,702.689488,AA,0,0,17047.82202,11685.1816,16456.02013,4407.254261,Pipeline,996.26782,24059,-1752842.41,1576800,4061.292389,0,0.9,0,1,1.987798308,0.707438001,0.217832516,1.506990009,0.189204011,0.088187253,0.410319097,-0.778151755,3.641907079,1.746048157,0.009161691,0.073905955,0.000769899,0.023632745,0.064744264,-0.022862846
26,SA1,Cell 266,2023,3.663035989,80631352.88,60,0.695180468,5393.242935,-3.291832981,0.809881436,-0.837725342,-0.227748129,27452064.83,-25890702.87,-4349912.475,-6408.101536,AA,0,0,18942.02446,12983.53511,16456.02013,4391.188582,Pipeline,996.2814249,26733,-2378045.174,1576800,4029.763872,0,1,0,1,2.208664786,0.786042223,0.21704142,1.506990009,0.210226679,0.097985837,0.410319097,-1.055702449,3.663035989,1.940053508,-0.08354906,0.020555366,-0.021262065,-0.005780409,0.104104427,-0.015481655
27,SA1,Cell 266,2023,3.690960695,86086468.11,60,0.646038148,5393.242935,-6.784443172,-1.223186834,-1.690266959,-1.299203955,31877825,-22970934.58,-6601517.284,-13207.04937,AA,0,0,20836.22691,14281.88862,16456.02013,4431.492797,Pipeline,996.2472942,29406,-2994192.366,1576800,3998.235355,0,1.1,0,1,2.429531265,0.864646445,0.219026015,1.506990009,0.231249347,0.107784421,0.410319097,-1.329233039,3.690960695,2.134058859,-0.172193989,-0.031045351,-0.042900177,-0.03297472,0.141148638,-0.009925457
28,SA1,Cell 266,2023,3.72040265,91474389.39,60,0.594951993,5393.242935,-10.22114436,-3.228621834,-2.525052749,-2.345246853,36478647.16,-20400450.47,-9027344.289,-19897.16102,AA,0,0,22730.42935,15580.24213,16456.02013,4404.096951,Pipeline,996.2704937,32079,-3599412.759,1576800,3966.706838,0,1.2,0,1,2.650397743,0.943250668,0.217677048,1.506990009,0.252272015,0.117583004,0.410319097,-1.597912818,3.72040265,2.328064209,-0.259419908,-0.081944717,-0.064087633,-0.059524032,0.177475191,-0.004563601
29,SA1,Cell 266,2023,3.751276595,96895113.16,60,0.541769273,5393.242935,-13.61339361,-5.209394871,-3.356988909,-3.369417248,41268285.98,-18168733.3,-11603121.57,-26500.73955,AA,0,0,24624.6318,16878.59564,16456.02013,4409.750781,Pipeline,996.2657059,34752,-4205073.25,1576800,3988.361152,0,1.3,0,1,2.871264222,1.02185489,0.217955447,1.506990009,0.273294683,0.127381588,0.410319097,-1.866787972,3.751276595,2.52206956,-0.345517604,-0.132218144,-0.085202764,-0.085518204,0.21329946,0.00031544
30,SA1,Cell 266,2023,3.783438065,102323737.2,60,0.486776331,5393.242935,-16.96640683,-7.180207237,-4.185528796,-4.374403653,46220953.52,-16231563.6,-14310417.6,-33027.93862,AA,0,0,26518.83425,18176.94915,16456.02013,4423.36454,Pipeline,996.2541774,37425,-4808716.377,1576800,4053.032014,0,1.4,0,1,3.092130701,1.100459112,0.218625788,1.506990009,0.294317351,0.137180172,0.410319097,-2.134767544,3.783438065,2.716074911,-0.430619463,-0.182238762,-0.106231695,-0.111025473,0.2483807,0.004793778
31,SA1,Cell 266,2023,3.816776768,107745524.3,60,0.430221012,5393.242935,-20.27713667,-9.147729017,-5.005743175,-5.359891352,51314328.9,-14568778.1,-17151390,-39472.82606,AA,0,0,28413.03669,19475.30266,16456.02013,4430.089927,Pipeline,996.2484822,40099,-5408943.656,1576800,4021.355704,0,1.5,0,1,3.312997179,1.179063335,0.21895694,1.506990009,0.315340019,0.146978756,0.410319097,-2.401230695,3.816776768,2.910080262,-0.514648139,-0.232175863,-0.127049319,-0.136037852,0.282472276,0.008988532
32,TAS1,Cell 20,2023,3.586387484,24485829.29,60,1,5351.379652,37.60315858,10.05707619,8.940965848,8.567357143,0,-90060058.29,0,73200.81537,AA,0,0,0,0,16584.75385,2211.671692,Pipeline,998.1270977,16830,4411091.318,1576800,1851.671692,0,0,0,1,0,0,0.109517874,1.518622576,0,0,0.413372523,1.958247034,3.586387484,0,0.954394888,0.255255741,0.226928067,0.217445613,-0.699139147,0.009482454
33,TAS1,Cell 20,2023,3.581927408,28533234.46,60,0.982263777,5351.379652,33.68158081,8.951445349,8.229406353,7.708877089,1597325.292,-82633041.25,0,65566.81064,AA,0,0,1909.085902,0,16584.75385,2199.168072,Pipeline,998.1376861,16830,3901010.069,1576800,1851.845399,0,0.1,0,1,0.222601909,0,0.108899873,1.518622576,0.021187851,0,0.413372523,1.731803049,3.581927408,0.115110898,0.854862457,0.227194044,0.208868182,0.195656779,-0.627668413,0.013211403
34,TAS1,Cell 20,2023,3.577952663,32583599.2,60,0.963104998,5351.379652,29.74768288,7.832109177,7.526902557,6.850397035,3322766.038,-75334139.67,0,57908.82268,AA,0,0,3818.171805,0,16584.75385,2189.63531,Pipeline,998.1457587,16830,3391691.322,1576800,1854.989964,0,0.2,0,1,0.445203818,0,0.108428701,1.518622576,0.042375702,0,0.413372523,1.505697568,3.577952663,0.230221795,0.755017332,0.198784497,0.191038136,0.173867945,-0.556232835,0.017170191
