,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum
0,QLD1,Cell 1375,2023,3.131456939040942,99931942.07460468,60,0.36683409322140376,5879.327380574586,-15.318833371405653,-6.888430390241148,-13.75749275254411,-10.606578026535466,57022958.469012976,-33467391.94473012,-4092375.8101455704,-29820.662296336333,AA,0,0,36779.80315880243,0.0,15095.487721768544,1440.0,Pipeline,998.780569752609,32514.0,-5884886.239202247,1576800.0,1020.5029484742579,0,1,0,1,4.288573074449045,0.0,0.07135280930014667,1.3840503141968576,0.4081979675793015,0.0,0.37804873211196316,-2.612519258905107,3.131456939040942
1,SA1,Cell 266,2023,3.381819370514816,79570944.37325352,60,0.5829727074192789,4982.7398477347215,-3.0523487569739136,-0.10950482144527814,-1.560634143426616,0.19540654837422133,37557502.27655193,-38897141.60471135,-1364289.7606040312,-5941.905580242552,AA,0,0,23909.2732428299,0.0,17811.749559043692,4818.62328872573,Pipeline,995.9194618131565,21136.0,-2868898.2500286917,1576800.0,4458.62328872573,0,1,0,1,2.7878524802356215,0.0,0.2380815241938372,1.6294957003193022,0.26535532835459363,0.0,0.44247554129137123,-1.2736103342339449,3.3818193705148163
2,TAS1,Cell 20,2023,3.4682006117353437,53533091.61181291,60,0.8263080275026241,6991.004161234228,3.5937601388143174,-1.091232859753009e-14,2.1330429771051653,1.161515662155724,15642709.16687269,-27852561.80745312,-603292.0832370798,6995.853070225204,AA,0,0,16596.71819288715,0.0,12695.073874772383,1186.4099332543165,Pipeline,998.995316556656,14672.0,691666.1726641057,1576800.0,936.6208052484975,0,1,0,1,1.935199012863667,0.0,0.05879991876535708,1.1671454137029242,0.1841974685283645,0.0,0.3211134975370923,0.30705626640339545,3.4682006117353437
3,NSW1,Cell 2127,2023,4.633113861884675,78682272.38627268,60,0.46935593088227173,5713.043478260516,-6.642091455299731,2.1823143100950493e-14,4.644922002618622,-2.0514841164089797,47789835.79371467,-42888653.74105708,-4143009.848021238,-12929.938032983475,AA,0,0,0.0,52608.61374077755,15534.85714285714,1620.0,Pipeline,998.6281409716852,40469.0,-125920.24760253046,1576800.0,1620.0,0,1,0,1,0.0,3.1850024934332555,0.08025965977435086,1.4237523766893554,0.0,0.3970335511892776,0.3884701021961295,-0.05590066801228521,4.633113861884677
4,VIC1,Cell 36,2023,3.638515000547556,71382044.21597861,60,0.6552333156618948,5465.4455050433535,-3.2238743671893726,3.015037230534913e-14,1.1068523930099052,-0.27835305356385265,31049707.68646173,-30479698.47235862,-1208761.5965719018,-6275.808768128644,AA,0,0,21738.23535692473,0.0,16238.623951847634,3349.6709959115487,Pipeline,997.1634096310953,19217.0,-1237217.5140271662,1576800.0,3349.6709959115487,0,1,0,1,2.5347066278529566,0.0,0.16570933956598471,1.4873457732472204,0.24126022244176992,0.0,0.40516269393651794,-0.549246740118605,3.6385150005475566
