,Wind
0,172224.01
1,139495.01
2,105466.58
3,65392.51
4,33456.27
5,10890.99
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,6964.99
17,14106.77
18,36638.96
19,146054.85
20,282880.07
21,282880.07
22,282880.07
23,282880.07
24,215237.92
25,140869.42
26,128910.21
27,134440.53
28,109074.95
29,116394.37
30,101019.92
31,116771.46
32,135171.38
33,161092.32
34,152775.55
35,136972.16
36,141426.45
37,174799.36
38,246073.23
39,282880.07
40,282880.07
41,282880.07
42,282880.07
43,282880.07
44,282880.07
45,282880.07
46,282880.07
47,282880.07
48,263917.99
49,216779.9
50,227378.25
51,214789.37
52,182571.73
53,153645.16
54,185996.21
55,70646.27
56,24154.44
57,16168.79
58,23610.34
59,23666.42
60,20218.88
61,14615.31
62,16605.11
63,28183.81
64,66635.35
65,116532.77
66,160927.8
67,168398.31
68,203667.1
69,215598.74
70,218503.45
71,226610.65
72,270150.01
73,272928.04
74,270505.19
75,243102.6
76,221600.03
77,192923.05
78,184808.02
79,197518.57
80,188513.44
81,177607.26
82,170871.99
83,162188.53
84,150966.01
85,142705.32
86,167459.1
87,226163.69
88,282880.07
89,282880.07
90,282880.07
91,282880.07
92,282880.07
93,282880.07
94,282880.07
95,282880.07
96,282880.07
97,282880.07
98,282880.07
99,282880.07
100,281238.78
101,260984.96
102,235573.94
103,249474.9
104,185694.7
105,138032.25
106,134054.41
107,110256.64
108,142695.55
109,192580.7
110,277397.1
111,282880.07
112,282880.07
113,282880.07
114,282880.07
115,282880.07
116,282880.07
117,282880.07
118,282880.07
119,282880.07
120,282880.07
121,282880.07
122,282880.07
123,282880.07
124,282880.07
125,282880.07
126,282880.07
127,282880.07
128,282880.07
129,228033.95
130,193934.28
131,167542.22
132,172958.41
133,188897.0
134,220574.21
135,282880.07
136,282880.07
137,282880.07
138,282880.07
139,282880.07
140,282880.07
141,282880.07
142,282880.07
143,282880.07
144,282880.07
145,282880.07
146,282880.07
147,275676.06
148,268349.68
149,271427.88
150,235036.21
151,222703.64
152,118733.17
153,72287.72
154,62922.3
155,67506.3
156,73350.11
157,84584.47
158,96975.04
159,112444.36
160,131373.14
161,153388.87
162,215231.6
163,282880.07
164,282880.07
165,282880.07
166,281778.43
167,247028.53
168,196146.96
169,157805.83
170,115840.02
171,118374.49
172,94983.74
173,98009.9
174,56965.47
175,30142.57
176,22118.41
177,15981.49
178,13915.66
179,23059.78
180,41650.35
181,58842.98
182,72927.99
183,91799.71
184,117731.02
185,166444.01
186,282737.03
187,282880.07
188,282880.07
189,282880.07
190,282880.07
191,282880.07
192,217878.44
193,165331.65
194,83245.99
195,33862.02
196,10583.57
197,0.0
198,0.0
199,0.0
200,11395.93
201,6166.33
202,0.0
203,0.0
204,0.0
205,12310.77
206,24104.7
207,37770.9
208,51700.46
209,78563.28
210,113307.54
211,205490.44
212,282880.07
213,262490.06
214,159301.17
215,83921.11
216,86943.32
217,172805.53
218,243236.81
219,279813.28
220,282880.07
221,280410.18
222,209942.08
223,113929.11
224,110108.98
225,85541.13
226,49810.17
227,33598.21
228,21981.26
229,14663.13
230,10754.29
231,8141.16
232,8656.14
233,10706.43
234,15662.71
235,35263.31
236,54621.01
237,70553.87
238,84156.31
239,126820.93
240,254549.21
241,282880.07
242,282880.07
243,282880.07
244,282880.07
245,282880.07
246,282880.07
247,282880.07
248,282880.07
249,282880.07
250,282880.07
251,282880.07
252,282880.07
253,282880.07
254,270421.2
255,203248.19
256,174288.55
257,282880.07
258,282880.07
259,282880.07
260,282880.07
261,282880.07
262,282880.07
263,282880.07
264,282880.07
265,282880.07
266,282880.07
267,282880.07
268,282880.07
269,282880.07
270,282880.07
271,261133.44
272,178852.51
273,111613.72
274,67475.15
275,44544.92
276,37934.75
277,42461.56
278,45768.01
279,45985.27
280,42583.99
281,41155.58
282,40737.76
283,69901.04
284,112183.64
285,127213.51
286,124504.48
287,109733.94
288,86090.37
289,62655.1
290,38738.31
291,30123.47
292,27977.69
293,32046.03
294,41875.94
295,25753.51
296,2909.81
297,29971.02
298,70077.06
299,104932.12
300,170516.3
301,282520.62
302,282880.07
303,242800.34
304,274907.0
305,282880.07
306,282880.07
307,282880.07
308,282880.07
309,282880.07
310,282880.07
311,282880.07
312,282880.07
313,262112.35
314,260744.59
315,255682.2
316,256563.33
317,237580.54
318,237287.22
319,172091.08
320,143120.62
321,101484.5
322,76149.39
323,67266.27
324,74184.89
325,106656.36
