,Wind
0,55006.59
1,58509.56
2,67411.71
3,73122.75
4,82544.77
5,75945.73
6,76479.44
7,137855.3
8,134236.41
9,167459.05
10,185360.31
11,180152.73
12,216031.04
13,220053.46
14,229939.16
15,223432.74
16,203127.03
17,156044.21
18,102547.88
19,74295.35
20,71035.3
21,51682.98
22,54172.01
23,44254.12
24,45338.31
25,42526.47
26,44349.96
27,47974.08
28,43557.36
29,53224.33
30,43367.66
31,26551.97
32,30355.95
33,40026.62
34,31054.76
35,23732.1
36,22258.14
37,22545.46
38,26614.35
39,32519.8
40,36055.64
41,41517.64
42,40882.37
43,27362.85
44,32040.59
45,41040.66
46,48890.53
47,47925.14
48,36663.64
49,34027.28
50,41974.64
51,49178.89
52,60875.52
53,64227.45
54,70038.42
55,50910.75
56,55111.39
57,71345.09
58,86079.32
59,94916.62
60,72095.77
61,50861.92
62,70955.73
63,89429.99
64,98686.84
65,98711.83
66,92483.67
67,85284.29
68,115033.34
69,119636.59
70,115859.63
71,103803.97
72,105368.65
73,89179.91
74,71217.14
75,68511.76
76,62879.61
77,48372.16
78,35918.61
79,12420.28
80,0.0
81,0.0
82,0.0
83,998.79
84,0.0
85,0.0
86,5668.31
87,0.0
88,10538.29
89,89036.53
90,102050.04
91,36143.05
92,56505.76
93,68069.5
94,56233.92
95,58973.65
96,79363.8
97,122310.41
98,77453.47
99,49548.74
100,37094.91
101,19546.4
102,8973.32
103,0.0
104,2381.12
105,12361.26
106,15643.69
107,9217.18
108,6714.82
109,3683.89
110,3076.43
111,6255.1
112,7403.53
113,10928.9
114,13511.14
115,17041.83
116,21414.6
117,28418.44
118,31529.48
119,25084.03
120,12884.05
121,5854.36
122,14758.8
123,47261.65
124,57145.76
125,60406.23
126,90051.75
127,123228.52
128,155908.1
129,128793.63
130,117534.6
131,105946.29
132,120812.74
133,136914.63
134,137636.87
135,143658.17
136,161124.34
137,132872.41
138,92612.46
139,106016.69
140,129782.59
141,141026.55
142,148471.35
143,156977.03
144,171314.96
145,169698.59
146,183926.46
147,204476.99
148,237502.96
149,259337.32
150,240076.67
151,199905.62
152,241497.33
153,265421.98
154,267717.81
155,281046.55
156,274935.34
157,277561.12
158,278594.67
159,282877.59
160,282880.07
161,243409.37
162,195234.9
163,180099.6
164,199081.59
165,214548.26
166,214032.04
167,216715.78
168,211433.55
169,204727.56
170,157721.77
171,174180.43
172,147534.95
173,173054.94
174,159060.99
175,123116.56
176,124886.31
177,158579.55
178,184077.39
179,197806.79
180,211493.78
181,226062.05
182,230683.57
183,252515.75
184,235200.92
185,207369.12
186,192377.74
187,169684.85
188,176138.57
189,165196.14
190,135881.1
191,113450.17
192,81435.65
193,85501.26
194,79334.31
195,78328.68
196,87248.28
197,92322.23
198,78843.78
199,57904.44
200,44616.31
201,75241.49
202,79118.6
203,91477.89
204,94271.45
205,99160.88
206,99794.2
207,88030.29
208,73875.08
209,64688.7
210,44817.15
211,37846.11
212,38230.67
213,35418.4
214,26660.33
215,15961.03
216,6995.28
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,7971.99
228,18412.48
229,30915.06
230,41104.94
231,43162.68
232,50857.59
233,52532.02
234,51999.32
235,39545.21
236,45613.73
237,55320.26
238,53597.36
239,48897.07
240,39188.62
241,25140.0
242,16219.63
243,9520.26
244,5199.61
245,3025.47
246,4597.01
247,0.0
248,9224.27
249,8313.39
250,8551.73
251,14548.64
252,28178.55
253,43690.86
254,68910.21
255,97220.0
256,120657.0
257,138745.81
258,121015.15
259,105675.59
260,132770.2
261,133289.06
262,125783.17
263,121926.8
264,116832.13
265,103943.78
266,83437.06
267,64970.71
268,55342.63
269,56179.67
270,50126.65
271,36137.63
272,28894.28
273,16501.53
274,1282.26
275,0.0
276,0.0
277,14509.49
278,35834.69
279,65357.41
280,93406.99
281,111981.45
282,88439.83
283,84496.94
284,95381.43
285,99558.3
286,84836.22
287,67623.12
288,52600.06
289,43956.29
290,37981.41
291,30903.62
292,25728.88
293,23020.2
294,27510.35
295,24263.74
296,40729.75
297,40267.8
298,39776.45
299,44200.87
300,53765.66
301,79264.12
302,111578.96
303,112984.69
304,126181.38
305,161049.19
306,152120.61
307,125010.4
308,138008.92
309,136884.39
310,122992.07
311,117003.42
312,105626.23
313,86293.65
314,65744.02
315,50702.02
316,50825.69
317,46815.74
318,39573.77
319,26253.44
320,30811.15
321,32354.17
322,30971.78
323,28480.36
324,24586.89
325,23347.38
326,26469.3
327,31656.52
328,43528.2
329,62636.72
330,95591.09
331,150566.17
332,143272.47
333,106843.2
334,55468.57
335,14179.66
336,6654.5
337,23173.0
338,26990.4
339,24248.51
340,14285.94
341,14895.1
342,17277.92
343,21812.56
344,32428.55
345,27596.21
346,22968.07
347,13997.13
348,3075.0
