,Wind
461,98736.56
462,77143.77
463,46403.74
464,30957.26
465,20814.37
466,15523.87
467,14776.5
468,16667.35
469,18896.37
470,20859.95
471,22232.45
472,22023.71
473,23556.2
474,33951.75
475,58532.98
476,106214.94
477,117106.29
478,101473.16
479,78951.36
480,62524.57
481,49917.25
482,37597.74
483,24844.18
484,14902.08
485,7472.07
486,2274.6
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,2352.08
499,45460.88
500,62948.73
501,38930.14
502,20773.14
503,15103.13
504,16784.25
505,27410.35
506,54655.98
507,90032.48
508,120318.94
509,118047.62
510,114399.42
511,75893.42
512,44211.48
513,53181.0
514,58198.41
515,46818.74
516,46152.45
517,41546.96
518,41380.93
519,47561.54
520,48827.17
521,54155.74
522,80615.91
523,70693.1
524,76814.01
525,86059.66
526,52803.84
527,24095.82
528,9490.29
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,3661.79
545,12644.24
546,36187.91
547,95198.49
548,95583.73
549,44647.98
550,14292.15
551,0.0
552,0.0
553,0.0
554,7283.53
555,6829.16
556,2014.79
557,3418.6
558,8996.48
559,10459.18
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,20539.29
571,97080.39
572,231352.25
573,282880.07
574,282880.07
575,282880.07
576,282880.07
577,282880.07
578,282880.07
579,282880.07
580,282880.07
581,282880.07
582,282880.07
583,282880.07
584,282880.07
585,282880.07
586,282880.07
587,282880.07
588,282880.07
589,282880.07
590,258130.26
591,103601.14
592,76867.71
593,0.0
594,0.0
595,29144.21
596,82995.85
597,51691.11
598,23117.83
599,6047.45
600,7574.75
601,7277.92
602,0.0
603,11820.61
604,112541.68
605,173523.06
606,187880.01
607,208786.55
608,208272.3
609,153183.7
610,122182.86
611,120878.8
612,127292.9
613,131051.91
614,151755.53
615,182361.62
616,206025.04
617,233505.4
618,259918.23
619,282880.07
620,282880.07
621,282880.07
622,282880.07
623,282880.07
624,282880.07
625,282880.07
626,282880.07
627,282880.07
628,282880.07
629,282880.07
630,282880.07
631,282880.07
632,282880.07
633,282806.14
634,260389.89
635,247242.71
636,238821.57
637,204675.43
638,230899.48
639,211619.46
640,262562.56
641,265356.96
642,279345.32
643,282880.07
644,282880.07
645,282880.07
646,282880.07
647,282880.07
648,282880.07
649,282880.07
650,282880.07
651,282880.07
652,282880.07
653,282880.07
654,282880.07
655,282880.07
656,267166.39
657,173761.76
658,121725.72
659,99001.98
660,113145.34
661,153246.44
662,168520.77
663,164389.1
