,Solar
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,336.02
536,769.23
537,769.23
538,769.23
539,769.23
540,769.23
541,769.23
542,680.98
543,637.38
544,446.66
545,216.37
546,42.03
547,-0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,622.08
560,769.23
561,769.23
562,769.23
563,769.23
564,769.23
565,750.28
566,667.05
567,702.03
568,555.97
569,242.09
570,38.06
571,-0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,769.23
584,215.69
585,225.3
586,350.2
587,331.68
588,528.3
589,630.71
590,523.09
591,516.58
592,394.81
593,224.4
594,25.27
595,-0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,238.05
608,762.04
609,769.23
610,769.23
611,769.23
612,769.23
613,769.23
614,720.95
615,455.9
616,382.5
617,214.35
618,44.25
619,-0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,232.04
632,710.71
633,769.23
634,769.23
635,769.23
636,769.23
637,769.23
638,769.23
639,718.69
640,501.28
641,312.14
642,44.2
643,-0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,245.38
656,769.23
657,769.23
658,769.23
659,759.42
660,731.03
661,633.52
662,540.77
663,636.01
664,553.13
665,294.8
666,30.33
667,-0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,189.08
680,769.23
681,769.23
682,769.23
683,769.23
684,755.82
685,769.23
686,769.23
687,769.23
688,687.56
689,383.69
690,44.3
691,-0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,227.0
704,695.7
705,738.75
706,769.23
707,769.23
708,769.23
709,643.99
710,588.67
711,568.5
712,428.11
713,294.31
714,33.45
715,-0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,208.8
728,719.24
729,769.23
730,769.23
731,769.23
732,769.23
733,769.23
734,769.23
735,691.37
736,581.27
737,360.73
