,Wind
0,282880.07
1,282880.07
2,282880.07
3,282880.07
4,282880.07
5,282880.07
6,282880.07
7,282880.07
8,282880.07
9,282880.07
10,282880.07
11,282880.07
12,282880.07
13,282880.07
14,282880.07
15,282880.07
16,282880.07
17,282880.07
18,282880.07
19,282880.07
20,282880.07
21,282880.07
22,282880.07
23,282880.07
24,282880.07
25,282880.07
26,282880.07
27,282880.07
28,282880.07
29,282880.07
30,282880.07
31,282880.07
32,282880.07
33,282880.07
34,282880.07
35,282880.07
36,282880.07
37,282880.07
38,282880.07
39,282880.07
40,215144.02
41,158717.49
42,123038.95
43,95146.52
44,77333.23
45,72196.78
46,81583.93
47,82512.08
48,65580.52
49,74718.04
50,102096.85
51,94717.17
52,84082.98
53,86504.68
54,144507.49
55,121990.87
56,156859.54
57,199792.92
58,221334.54
59,263572.41
60,260090.64
61,229951.36
62,268077.7
63,221045.89
64,174997.7
65,108957.64
66,67767.24
67,53780.79
68,80302.63
69,111998.94
70,123974.45
71,127232.88
72,126651.29
73,108087.96
74,96715.36
75,94952.87
76,102039.74
77,98203.12
78,86915.57
79,73692.86
80,87818.94
81,124037.2
82,138348.3
83,120421.46
84,93512.24
85,85110.46
86,92836.48
87,122823.9
88,173727.08
89,196268.31
90,173549.04
91,120021.29
92,85544.43
93,68659.54
94,46617.87
95,27653.63
96,8333.2
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,19.97
103,5159.1
104,0.0
105,0.0
106,0.0
107,2712.35
108,18805.55
109,44843.1
110,93514.34
111,159131.11
112,215550.36
113,251294.18
114,267785.05
115,282880.07
116,282880.07
117,282880.07
118,282880.07
119,282880.07
120,282880.07
121,282880.07
122,282880.07
123,282880.07
124,282880.07
125,282880.07
126,282880.07
127,282880.07
128,282880.07
129,282880.07
130,282880.07
131,271479.98
132,266526.03
133,282880.07
134,282880.07
135,282880.07
136,282880.07
137,282880.07
138,282880.07
139,282880.07
140,282880.07
141,269692.36
142,192082.22
143,109765.0
144,72349.26
145,36918.83
146,30362.48
147,44945.85
148,74579.0
149,83547.48
150,62162.12
151,50332.77
152,28391.95
153,10305.58
154,0.0
155,0.0
156,0.0
157,0.0
158,13717.49
159,34868.91
160,58652.04
161,72484.18
162,79327.45
163,75469.21
164,65604.95
165,56364.84
166,44257.12
167,28707.75
168,17928.7
169,9815.54
170,1511.56
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,4577.42
180,22269.81
181,44136.3
182,59007.94
183,66906.34
184,67047.32
185,62538.1
186,69934.61
187,71351.24
188,90458.59
189,102123.22
190,99602.13
191,83896.08
192,59617.0
193,55019.09
194,39519.11
195,24913.71
196,17985.64
197,12517.06
198,7210.91
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,12047.26
205,33939.79
206,54101.47
207,76881.04
208,113958.37
209,151117.85
210,145502.05
211,135011.93
212,120647.98
213,116981.12
214,118513.15
215,102764.96
216,90667.13
217,83221.28
218,74612.74
219,75388.71
220,76854.79
221,80328.23
222,67341.84
223,37779.93
224,29457.63
225,20739.72
226,13622.26
227,14629.0
228,17052.15
229,22640.71
230,29942.18
231,30341.01
232,27312.78
233,21870.86
234,15900.24
235,9779.21
236,0.0
237,0.0
238,5932.31
239,83983.72
240,123821.21
241,115294.9
242,171529.78
243,159347.51
244,158849.04
245,176724.21
246,214740.03
247,181220.22
248,274081.25
249,282880.07
250,282880.07
251,282880.07
252,282880.07
253,269927.55
254,245266.49
255,275821.39
256,282880.07
257,280385.44
258,222835.87
259,152282.78
260,113209.1
261,27198.81
262,0.0
263,42619.28
264,73536.8
265,18240.05
266,111149.43
267,282880.07
268,282880.07
269,282880.07
270,282880.07
271,282880.07
272,282880.07
273,282880.07
274,282880.07
275,282880.07
276,274110.9
277,260631.81
278,250038.45
279,226033.82
280,187783.86
281,147500.52
282,101968.28
283,85150.81
284,100196.73
285,93304.72
286,50189.69
287,18163.22
288,53799.66
289,80250.29
290,109118.01
291,144886.58
292,161941.78
293,149438.21
294,129888.07
295,115522.63
296,228040.39
297,260926.29
298,282880.07
299,282880.07
300,282880.07
301,282880.07
302,282880.07
303,190518.5
304,105969.92
305,48033.84
306,20027.36
307,9175.67
308,0.0
309,14531.42
310,59945.8
311,160337.04
312,251852.96
313,268881.81
314,277631.56
315,279874.2
316,267509.5
317,240996.46
318,200180.8
319,174081.25
320,228156.17
321,213041.44
322,187472.67
323,168734.64
324,163925.92
325,163647.09
326,182792.41
327,205251.73
328,226196.42
329,241910.53
330,223467.43
331,188102.28
332,144202.69
333,100406.79
334,107769.08
335,115664.17
336,116446.62
337,132757.9
338,159088.61
339,172954.6
340,201127.37
341,215502.23
342,191135.63
343,185095.35
344,203350.75
345,218631.64
346,177669.79
347,165456.91
348,157007.88
349,124510.58
350,107503.37
351,109589.81
352,142527.11
353,205107.98
354,282880.07
355,282880.07
356,282880.07
357,282880.07
358,282880.07
359,282880.07
360,282880.07
361,282880.07
362,282880.07
363,282880.07
364,282880.07
