,Wind
0,59620.71
1,51337.14
2,40689.18
3,33862.35
4,33682.12
5,30275.27
6,25400.82
7,24942.49
8,26966.81
9,35690.24
10,48829.64
11,61518.2
12,90478.2
13,112037.86
14,142439.82
15,167858.49
16,186595.45
17,194619.48
18,198504.69
19,156450.74
20,121002.5
21,98549.78
22,93363.78
23,66068.02
24,54486.76
25,31009.47
26,24374.43
27,23066.31
28,16731.03
29,16349.36
30,12907.46
31,13417.28
32,12547.83
33,11878.27
34,11901.4
35,15700.16
36,24558.14
37,40562.25
38,66634.28
39,88782.58
40,99670.48
41,112562.05
42,128656.54
43,128416.08
44,121981.16
45,137048.88
46,142598.47
47,134569.98
48,94688.08
49,59787.85
50,49319.13
51,39981.84
52,24010.38
53,16554.11
54,11053.91
55,6362.1
56,4332.34
57,0.0
58,0.0
59,0.0
60,11221.42
61,27654.42
62,68540.54
63,112556.58
64,157990.99
65,184149.21
66,198710.76
67,167145.45
68,129608.52
69,107654.18
70,80937.77
71,49131.15
72,42178.28
73,30807.5
74,28329.37
75,26394.92
76,24695.52
77,24692.21
78,20235.88
79,37170.6
80,30733.04
81,20974.1
82,20055.64
83,26721.42
84,36804.13
85,51618.22
86,70165.69
87,111690.31
88,146798.27
89,143098.38
90,120292.24
91,71082.03
92,49786.26
93,37229.7
94,31406.43
95,27437.19
96,27094.48
97,40656.86
98,50345.58
99,44602.2
100,33770.94
101,41448.64
102,56961.85
103,167792.39
104,282880.07
105,282880.07
106,282880.07
107,282880.07
108,282880.07
109,282880.07
110,282880.07
111,282880.07
112,282880.07
113,282880.07
114,282880.07
115,282880.07
116,282880.07
117,282880.07
118,277911.35
119,258044.82
120,231991.64
121,223558.75
122,188263.09
123,127975.41
124,95641.12
125,80418.14
126,95377.56
127,97973.0
128,109297.34
129,141306.85
130,189786.93
131,229896.95
132,282604.37
133,282880.07
134,282880.07
135,282880.07
136,282880.07
137,282880.07
138,282880.07
139,258659.2
140,269054.17
141,278096.71
142,267565.11
143,260151.6
144,247026.61
145,228932.34
146,235043.53
147,222315.9
148,221775.06
149,209004.41
150,200606.81
151,171538.85
152,228721.14
153,282880.07
154,282880.07
155,282880.07
156,282880.07
157,282880.07
158,282880.07
159,282880.07
160,282880.07
161,282880.07
162,282880.07
163,249265.32
164,153624.27
165,122487.85
166,93691.12
167,77985.19
168,64147.1
169,61744.5
170,52197.51
171,54333.21
172,56989.53
173,73201.97
174,58091.73
175,58825.26
176,85102.45
177,76613.5
178,68694.09
179,63117.04
180,64352.0
181,70543.18
182,84637.74
183,102500.54
184,104417.09
185,97626.33
186,91345.14
187,67153.64
188,41587.44
189,31020.22
190,18773.23
191,9192.17
192,252.97
193,0.0
194,0.0
195,0.0
196,12647.58
197,28965.16
198,33683.14
199,1990.33
200,0.0
201,0.0
202,0.0
203,0.0
204,8263.38
205,23039.03
206,46896.3
207,73223.01
208,93994.81
209,118893.38
210,108876.08
211,86751.76
212,44840.65
213,26787.74
214,13700.25
215,8320.0
216,8672.29
217,14101.02
218,22958.17
219,30164.75
220,34853.4
221,34322.69
222,31077.41
223,15203.54
224,15536.09
225,23623.49
226,33280.05
227,54602.76
228,77482.92
229,108071.52
230,139554.32
231,148310.86
232,165691.1
233,147462.5
234,132732.65
235,107531.46
236,71271.26
237,59436.56
238,48900.62
239,41640.18
240,36948.69
241,33423.78
242,31769.4
243,27072.23
244,29388.9
245,34122.14
246,33838.99
247,17303.55
248,18025.17
249,13778.0
250,9871.91
251,9694.0
252,15074.32
253,25294.17
254,43176.17
255,61333.45
256,71528.75
257,74449.55
258,68814.97
259,55973.42
260,46282.39
261,41012.02
262,35166.79
263,28843.22
264,26736.36
265,22711.83
266,17024.17
267,12152.97
268,9183.62
269,6811.08
270,1186.38
271,8906.48
272,7407.47
273,0.0
274,0.0
275,7015.13
276,15321.19
277,30803.08
278,54656.61
279,82167.05
280,105366.58
281,117141.73
282,106068.94
283,98662.06
284,73971.37
285,72673.31
286,57127.45
287,47126.59
288,37124.53
289,28816.17
290,20990.03
291,17357.07
292,13199.58
293,11550.73
294,15175.34
295,18748.74
296,24186.77
297,23907.08
298,28514.45
299,37157.24
300,48922.33
301,69470.05
302,93470.61
303,98524.53
304,112193.77
305,148978.9
306,151891.83
307,135804.61
308,127200.04
309,124281.41
310,113038.12
311,94510.93
312,80638.64
313,73980.23
314,64822.28
315,50242.89
316,47845.16
317,49483.38
318,55848.79
319,43869.07
320,59012.14
321,78248.12
322,87309.34
323,85501.61
324,85541.89
325,90496.96
326,116257.66
327,142927.15
328,174055.62
329,207288.03
330,220398.16
331,216738.81
332,223329.81
333,224871.6
334,218511.63
335,193690.63
336,174359.01
337,155791.81
338,129220.42
339,104041.42
340,75428.24
341,55590.97
342,40710.7
343,48428.69
344,50861.86
345,26770.25
346,6147.86
347,0.0
348,13075.13
349,36527.68
350,71593.32
351,114636.11
352,159880.53
353,188819.2
354,222022.47
355,191074.22
356,165052.29
357,150811.66
358,108686.86
359,80417.06
360,61934.52
361,46753.91
362,40919.12
363,39978.72
364,43729.68
365,47114.79
366,49416.15
367,41294.88
368,65887.87
369,63134.43
370,62858.42
371,68612.22
372,87051.03
373,117098.85
374,153894.31
375,148630.97
376,147002.79
377,157876.35
378,122534.18
379,102745.77
380,62292.74
381,47797.85
382,48141.69
383,50835.94
384,50987.64
385,56129.71
386,51419.53
387,42466.87
388,31215.04
389,27572.83
390,22303.96
391,23203.43
392,27523.9
393,34051.77
394,40993.72
395,51566.66
396,61033.29
397,74447.23
398,94595.12
399,120685.01
400,148408.17
401,139961.5
402,151202.58
403,119614.94
404,89547.43
405,95954.23
406,98032.39
407,94243.13
408,79537.25
