,Solar
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,215.37
8,340.7
9,413.21
10,570.73
11,446.66
12,194.81
13,196.34
14,127.57
15,62.19
16,54.45
17,84.51
18,113.39
19,60.85
20,5.84
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,769.23
32,545.19
33,446.86
34,331.01
35,367.04
36,439.15
37,423.07
38,368.79
39,267.99
40,146.4
41,63.18
42,14.35
43,-0.0
44,-0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,408.65
56,193.37
57,527.38
58,661.68
59,709.5
60,546.28
61,517.98
62,338.77
63,136.12
64,184.8
65,189.25
66,94.1
67,32.04
68,-0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,79.64
80,56.68
81,57.38
82,56.7
83,59.7
84,90.35
85,121.57
86,138.76
87,214.8
88,210.1
89,156.0
90,74.38
91,18.12
92,-0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,769.23
104,590.71
105,548.47
106,398.87
107,421.28
108,400.37
109,370.28
110,364.71
111,223.49
112,109.1
113,79.79
114,50.15
115,19.49
116,0.95
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,582.91
128,769.23
129,524.43
130,295.37
131,300.28
132,405.59
133,543.44
134,647.26
135,674.26
136,657.76
137,523.22
138,351.55
139,150.76
140,3.31
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,281.45
152,585.19
153,769.23
154,769.23
155,769.23
156,769.23
157,769.23
158,769.23
159,769.23
160,765.39
161,707.5
162,545.21
163,294.92
164,29.44
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,270.84
176,625.52
177,715.6
178,746.61
179,748.07
180,757.34
181,764.2
182,768.06
183,736.3
184,734.74
185,691.25
186,552.42
187,324.28
188,35.97
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,301.43
200,669.2
201,769.23
202,769.23
203,769.23
204,722.75
205,700.54
206,747.86
207,768.41
208,769.23
209,749.23
210,565.32
211,325.57
212,35.6
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,600.65
224,769.23
225,769.23
226,769.23
227,769.23
228,769.23
229,765.39
230,731.97
231,769.23
232,668.49
233,240.06
234,78.17
235,19.49
236,-0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,322.41
248,728.54
249,769.23
250,769.23
251,764.11
252,688.11
253,327.73
254,155.91
255,261.68
256,661.03
257,194.33
258,31.69
259,2.96
260,-0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,769.23
272,769.23
273,769.23
274,769.23
275,769.23
276,769.23
277,769.23
278,769.23
279,769.23
280,764.03
281,712.41
282,571.66
283,326.02
284,30.13
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,255.3
296,620.29
297,769.23
298,737.11
299,316.72
300,299.84
301,171.05
302,141.39
303,181.72
304,327.28
305,166.72
306,55.94
307,42.26
308,2.47
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,464.09
320,769.23
321,585.64
322,690.05
323,769.23
324,769.23
325,769.23
326,769.23
327,441.99
328,212.07
329,176.31
330,59.32
331,17.29
332,-0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,769.23
344,769.23
345,502.33
346,769.23
347,769.23
348,769.23
349,714.78
350,554.87
351,297.58
352,170.1
353,257.13
354,265.46
355,28.0
356,-0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,769.23
368,769.23
369,769.23
370,732.67
371,270.84
372,342.02
373,577.69
374,449.87
375,519.46
376,561.65
377,306.01
378,84.25
379,6.61
380,-0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,321.08
392,401.05
393,559.08
394,763.56
395,769.23
396,769.23
397,769.23
398,769.23
399,764.87
400,737.68
401,674.69
402,515.77
403,267.51
404,14.85
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,284.76
416,587.19
417,591.01
418,762.4
419,769.23
420,769.23
421,769.23
422,769.23
423,769.23
424,769.23
425,708.88
426,546.0
427,279.42
428,11.67
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,227.16
440,697.36
441,769.23
442,769.23
443,769.23
444,769.23
445,769.23
446,769.23
447,769.23
448,761.85
449,704.26
450,553.23
451,294.58
452,15.57
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,554.48
464,769.23
465,769.23
466,769.23
467,769.23
468,769.23
469,769.23
470,769.23
471,769.23
472,761.27
473,691.37
474,542.08
475,297.86
476,15.21
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,379.05
488,616.92
489,727.66
490,769.23
491,763.91
492,729.91
493,707.48
494,690.0
495,757.58
496,759.39
497,629.01
498,389.71
499,45.01
500,2.01
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,619.78
512,600.89
513,426.6
514,567.48
515,643.75
516,689.33
517,592.55
518,627.59
519,688.99
520,669.1
521,592.67
522,363.51
523,155.37
524,3.55
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,256.82
536,769.23
537,769.23
538,769.23
539,769.23
540,769.23
541,769.23
542,769.23
543,769.23
544,741.11
545,622.72
546,464.36
547,215.6
548,5.17
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,769.23
560,769.23
561,633.35
562,456.36
563,479.41
564,443.53
565,269.33
566,180.83
567,356.7
568,397.51
569,421.28
570,102.26
