,TimeBeginning,TimeEnding,Region,Energy,Total_Emissions,Energy_SO,SETTLEMENTDATE,METEREDMWFLOW,MWFLOW,New_Energy,New_Emissions,New_Intensity_Index
0,2021-01-01 00:00:00,2021-01-01 01:00:00,QLD1,5641.973,4573.336,5276.077,2021-01-01 00:00:00,-361.46999999999997,-302.40000000000003,-361.46999999999997,-313.3244196246567,0.8668061516160587
1,2021-01-01 01:00:00,2021-01-01 02:00:00,QLD1,5670.592,4659.39,5307.139,2021-01-01 01:00:00,108.655,106.65,108.655,84.93270856176271,0.8760160945120444
2,2021-01-01 02:00:00,2021-01-01 03:00:00,QLD1,5577.208,4540.085,5222.255,2021-01-01 02:00:00,118.875,124.30000000000001,118.875,92.03831908710347,0.867255303482054
3,2021-01-01 03:00:00,2021-01-01 04:00:00,QLD1,5484.147,4465.584,5133.252,2021-01-01 03:00:00,100.91,103.885,100.91,77.70595778084021,0.8680071342424709
4,2021-01-01 04:00:00,2021-01-01 05:00:00,QLD1,5536.416,4531.964,5184.098,2021-01-01 04:00:00,106.96,105.14,106.96,84.42649754726096,0.8724891122998956
5,2021-01-01 05:00:00,2021-01-01 06:00:00,QLD1,5506.236,4449.372,5158.356,2021-01-01 05:00:00,4.170000000000002,-0.24499999999999744,4.170000000000002,3.2303702016105404,0.8624852194839524
6,2021-01-01 06:00:00,2021-01-01 07:00:00,QLD1,5369.897,4166.185,5031.4,2021-01-01 06:00:00,46.42,38.4,46.42,34.50560419627966,0.8272626056449973
7,2021-01-01 07:00:00,2021-01-01 08:00:00,QLD1,5600.946,4146.5,5255.774,2021-01-01 07:00:00,31.5,34.26,31.5,22.698230600145926,0.7885345511884092
8,2021-01-01 08:00:00,2021-01-01 09:00:00,QLD1,5751.481,4148.821,5403.153,2021-01-01 08:00:00,23.955000000000002,20.395,23.955000000000002,16.91295863182946,0.7675789681413802
9,2021-01-01 09:00:00,2021-01-01 10:00:00,QLD1,5854.686,4276.578,5508.031,2021-01-01 09:00:00,-34.03,-53.295,-34.03,-26.421773831701387,0.7764259133617804
10,2021-01-01 10:00:00,2021-01-01 11:00:00,QLD1,5946.299,4253.69,5601.49,2021-01-01 10:00:00,-50.084999999999994,-70.34,-50.084999999999994,-38.0338202246188,0.7593854492286873
11,2021-01-01 11:00:00,2021-01-01 12:00:00,QLD1,6112.649,4292.461,5762.51,2021-01-01 11:00:00,-174.45000000000002,-188.38,-174.45000000000002,-129.94681509446406,0.7448943255629925
12,2021-01-01 12:00:00,2021-01-01 13:00:00,QLD1,6226.781,4529.903,5865.444,2021-01-01 12:00:00,-308.275,-334.74,-308.275,-238.08186512819827,0.7723035118910009
13,2021-01-01 13:00:00,2021-01-01 14:00:00,QLD1,6249.508,4549.781,5886.408,2021-01-01 13:00:00,-281.995,-266.515,-281.995,-217.96237928036928,0.7729299430144834
14,2021-01-01 14:00:00,2021-01-01 15:00:00,QLD1,6565.68,4675.063,6189.275,2021-01-01 14:00:00,-208.99,-225.47500000000002,-208.99,-157.86039824858324,0.7553490513832396
15,2021-01-01 15:00:00,2021-01-01 16:00:00,QLD1,6921.11,5010.55,6511.49,2021-01-01 15:00:00,-346.39,-381.35,-346.39,-266.54489440972804,0.7694936182041285
16,2021-01-01 16:00:00,2021-01-01 17:00:00,QLD1,7270.498,5221.357,6838.702,2021-01-01 16:00:00,-521.485,-533.4300000000001,-521.485,-398.1544092936057,0.7635011731758453
17,2021-01-01 17:00:00,2021-01-01 18:00:00,QLD1,7216.736,5296.952,6779.352,2021-01-01 17:00:00,-316.04,-287.045,-316.04,-246.93343996299356,0.7813360332963977
18,2021-01-01 18:00:00,2021-01-01 19:00:00,QLD1,7056.065,5427.378,6609.069,2021-01-01 18:00:00,91.89,89.86000000000001,91.89,74.66698902522738,0.8210832194354907
19,2021-01-01 19:00:00,2021-01-01 20:00:00,QLD1,7146.432,5449.719,6696.271,2021-01-01 19:00:00,266.15999999999997,249.685,266.15999999999997,223.9779537187909,0.8149017137432013
20,2021-01-01 20:00:00,2021-01-01 21:00:00,QLD1,7062.883,5369.562,6619.674,2021-01-01 20:00:00,142.255,127.02499999999999,142.255,118.25089878345248,0.8115750548080958
21,2021-01-01 21:00:00,2021-01-01 22:00:00,QLD1,6871.542,5332.198,6433.445,2021-01-01 21:00:00,4.17,-13.86,4.17,3.415505882669966,0.8288183598868013
22,2021-01-01 22:00:00,2021-01-01 23:00:00,QLD1,6658.183,5253.396,6229.579,2021-01-01 22:00:00,-115.81,-129.085,-115.81,-97.6624248219663,0.8432987205074373
23,2021-01-01 23:00:00,2021-01-02 00:00:00,QLD1,6472.772,5215.626,6049.689,2021-01-01 23:00:00,-159.79000000000002,-198.37,-159.79000000000002,-137.75995403069481,0.8621312599705538
24,2021-01-02 00:00:00,2021-01-02 01:00:00,QLD1,6020.721,4848.593,5634.548,2021-02-01 00:00:00,-295.75,-313.44500000000005,-295.75,-254.49625768562092,0.8605114376521418
25,2021-01-02 01:00:00,2021-01-02 02:00:00,QLD1,5508.586,4460.628,5157.991,2021-02-01 01:00:00,-19.06,-21.5,-19.06,-16.483078330303403,0.864799492670693
26,2021-01-02 02:00:00,2021-01-02 03:00:00,QLD1,5372.121,4335.849,5025.337,2021-02-01 02:00:00,186.24,165.96,186.24,147.24425226331036,0.8602181743190804
27,2021-01-02 03:00:00,2021-01-02 04:00:00,QLD1,5387.816,4368.707,5042.487,2021-02-01 03:00:00,169.17000000000002,168.75,169.17000000000002,133.74623875014572,0.863919716656362
28,2021-01-02 04:00:00,2021-01-02 05:00:00,QLD1,5502.14,4484.914,5152.694,2021-02-01 04:00:00,13.274999999999999,2.585000000000001,13.274999999999999,10.65418072357057,0.8702274792441786
29,2021-01-02 05:00:00,2021-01-02 06:00:00,QLD1,5562.279,4543.418,5205.958,2021-02-01 05:00:00,-114.065,-126.63499999999999,-114.065,-99.54843549832711,0.8727342786860746
30,2021-01-02 06:00:00,2021-01-02 07:00:00,QLD1,5714.37,4540.592,5347.577,2021-02-01 06:00:00,-136.835,-144.82999999999998,-136.835,-116.18568677365468,0.8490933370384379
31,2021-01-02 07:00:00,2021-01-02 08:00:00,QLD1,5922.633,4570.374,5545.363,2021-02-01 07:00:00,-378.495,-364.43499999999995,-378.495,-311.9477854073755,0.8241794089945057
