,TimeBeginning,TimeEnding,Region,Energy,Total_Emissions,Energy_SO,SETTLEMENTDATE,METEREDMWFLOW,New_Energy,New_Emissions,New_Intensity_Index
0,2021-01-01 00:00:00,2021-01-01 01:00:00,SA1,1402.905,136.977,1383.64,2021-01-01 00:00:00,-107.38,-107.38,-10.630359240842994,0.0989975716226764
1,2021-01-01 01:00:00,2021-01-01 02:00:00,SA1,1531.034,149.438,1510.003,2021-01-01 01:00:00,-184.275,-184.275,-18.236842873822106,0.09896536629397426
2,2021-01-01 02:00:00,2021-01-01 03:00:00,SA1,1521.901,149.874,1500.959,2021-01-01 02:00:00,-268.885,-268.885,-26.848748360215033,0.09985216118494908
3,2021-01-01 03:00:00,2021-01-01 04:00:00,SA1,1456.587,149.463,1436.307,2021-01-01 03:00:00,-286.96500000000003,-286.96500000000003,-29.861756431598536,0.10406062213718932
4,2021-01-01 04:00:00,2021-01-01 05:00:00,SA1,1351.433,149.462,1332.211,2021-01-01 04:00:00,-244.465,-244.465,-27.426757345495567,0.11219093672098487
5,2021-01-01 05:00:00,2021-01-01 06:00:00,SA1,1247.261,149.738,1229.072,2021-01-01 05:00:00,-131.945,-131.945,-16.074876337594546,0.12183012874754286
6,2021-01-01 06:00:00,2021-01-01 07:00:00,SA1,1083.743,149.456,1067.192,2021-01-01 06:00:00,-25.980000000000004,-25.980000000000004,-3.638395790073389,0.1400460273315392
7,2021-01-01 07:00:00,2021-01-01 08:00:00,SA1,941.113,149.259,925.996,2021-01-01 07:00:00,37.13,37.13,36.64147335862396,0.19301781216437303
8,2021-01-01 08:00:00,2021-01-01 09:00:00,SA1,870.767,149.803,856.342,2021-01-01 08:00:00,-24.289999999999992,-24.289999999999992,-4.249137459099284,0.17493361297238721
9,2021-01-01 09:00:00,2021-01-01 10:00:00,SA1,743.102,149.348,729.964,2021-01-01 09:00:00,-6.305,-6.305,-1.289980245601153,0.20459639105490132
10,2021-01-01 10:00:00,2021-01-01 11:00:00,SA1,688.84,150.027,676.219,2021-01-01 10:00:00,-64.53999999999999,-64.53999999999999,-14.318944868452377,0.22186155668503837
11,2021-01-01 11:00:00,2021-01-01 12:00:00,SA1,685.954,149.761,673.376,2021-01-01 11:00:00,-95.08999999999999,-95.08999999999999,-21.148323507223303,0.22240323385448846
12,2021-01-01 12:00:00,2021-01-01 13:00:00,SA1,709.485,149.113,696.698,2021-01-01 12:00:00,-113.53,-113.53,-24.298618468834416,0.2140281728955731
13,2021-01-01 13:00:00,2021-01-01 14:00:00,SA1,741.082,149.933,727.936,2021-01-01 13:00:00,-76.05,-76.05,-15.66402080677422,0.20597003033233685
14,2021-01-01 14:00:00,2021-01-01 15:00:00,SA1,772.592,149.84,759.134,2021-01-01 14:00:00,89.82,89.82,88.35356510204471,0.2805729934743752
15,2021-01-01 15:00:00,2021-01-01 16:00:00,SA1,883.191,144.323,868.753,2021-01-01 15:00:00,27.175,27.175,24.132965608838685,0.18802399925980512
16,2021-01-01 16:00:00,2021-01-01 17:00:00,SA1,1176.986,204.83,1158.116,2021-01-01 16:00:00,118.97500000000001,118.97500000000001,95.99090604098518,0.23555166079863157
17,2021-01-01 17:00:00,2021-01-01 18:00:00,SA1,1356.296,236.56,1334.633,2021-01-01 17:00:00,63.870000000000005,63.870000000000005,48.71066320977561,0.203982875410189
18,2021-01-01 18:00:00,2021-01-01 19:00:00,SA1,1571.699,235.99,1547.921,2021-01-01 18:00:00,-2.285,-2.285,-0.3483621903184982,0.15245610079584165
19,2021-01-01 19:00:00,2021-01-01 20:00:00,SA1,1578.872,237.426,1554.978,2021-01-01 19:00:00,-58.849999999999994,-58.849999999999994,-8.985670601127474,0.1526876907583258
20,2021-01-01 20:00:00,2021-01-01 21:00:00,SA1,1512.761,240.182,1489.463,2021-01-01 20:00:00,56.675,56.675,47.17539469552975,0.18585494612740242
21,2021-01-01 21:00:00,2021-01-01 22:00:00,SA1,1664.155,240.983,1639.33,2021-01-01 21:00:00,-62.160000000000004,-62.160000000000004,-9.137576497715532,0.1470009089079075
22,2021-01-01 22:00:00,2021-01-01 23:00:00,SA1,1619.218,242.621,1594.782,2021-01-01 22:00:00,-186.925,-186.925,-28.43769896136275,0.15213427289748693
23,2021-01-01 23:00:00,2021-01-02 00:00:00,SA1,1575.418,241.161,1551.496,2021-01-01 23:00:00,-217.325,-217.325,-33.780502382861435,0.15543771946559964
24,2021-01-02 00:00:00,2021-01-02 01:00:00,SA1,1476.896,241.415,1453.916,2021-02-01 00:00:00,-46.805,-46.805,-7.771720701195942,0.1660446683302199
25,2021-01-02 01:00:00,2021-01-02 02:00:00,SA1,1323.662,239.986,1302.504,2021-02-01 01:00:00,-36.08,-36.08,-6.64772997242235,0.18424972207379017
26,2021-01-02 02:00:00,2021-01-02 03:00:00,SA1,1122.267,234.133,1103.541,2021-02-01 02:00:00,38.91,38.91,40.47602113447397,0.2403683143823884
27,2021-01-02 03:00:00,2021-01-02 04:00:00,SA1,835.423,233.421,819.567,2021-02-01 03:00:00,227.295,227.295,237.3202946862064,0.44966891021567923
