,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtailment,CP_wind,CP_pv,CP_el,CP_bat,el_pin,el_pout,comp_pin,bat_pin,bat_pout,bat_e,h2_storage_pin,h2_storage_pout,H2CP_h2_storage,h2_storage_level,price,MEF_CO2,AEF_CO2,Load,Direct_pipeline_supply,Time
0,0.0,0.0,0.0,0.0,0.0,-0.0,-984.8586293223613,-1.1368683772161603e-12,984.8586293223613,0.0,-970.5467595933316,0.0,970.5467595933316,-17.243216540998276,14.311869729028569,0.0,0.0,0.0,0.0,-162.7567834590017,0.0,447.4285019664454,0.03794262454545455,0.0,0.0,180.0,17.243216540998304,2021-01-01 00:00:00
1,0.0,0.0,0.0,0.0,0.0,-0.0,-1155.7416355880487,0.0,1155.7416355880487,0.0,-1138.946510646787,0.0,1138.946510646787,-20.235090290678954,16.79512494126353,0.0,0.0,0.0,0.0,-159.76490970932107,0.0,287.6635922571244,0.034325,0.0,0.0,180.0,20.235090290678926,2021-01-01 01:00:00
2,0.0,0.0,0.0,0.0,0.0,-0.0,-828.5642589126894,-9.094947017729282e-13,828.5642589126894,0.0,-816.523643759784,0.0,816.523643759784,-14.506765244463168,12.04061515290443,0.0,0.0,0.0,0.0,-165.4932347555368,0.0,122.17035750158757,0.02883583333333334,0.0,0.0,180.0,14.506765244463196,2021-01-01 02:00:00
3,-16430.126226469227,0.0,16430.126226469227,-16430.126226469227,0.0,-0.0,-341.27711177950374,-3.637978807091713e-12,341.27711177950374,0.0,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,234.9994609279835,0.026915833333333337,14904.937199053258,12452.488668268568,180.0,180.0,2021-01-01 03:00:00
4,0.0,0.0,0.0,0.0,0.0,-0.0,-79.752370630665,0.0,79.752370630665,0.0,-78.59341694425451,0.0,78.59341694425451,-1.3963297426644203,1.158953686411469,0.0,0.0,0.0,0.0,-178.6036702573356,0.0,56.3957906706479,0.03052790333333334,0.0,0.0,180.0,1.396329742664392,2021-01-01 04:00:00
5,-6075.541362241111,0.0,6075.541362241111,-6075.541362241111,0.0,-0.0,-984.2013423257838,0.0,984.2013423257838,0.0,-6957.151210823533,0.0,6957.151210823533,-123.6042093293521,102.59149374336224,0.0,0.0,0.0,0.0,-56.3957906706479,0.0,0.0,0.02849319416666667,5438.230076013124,4577.917512339906,180.0,123.6042093293521,2021-01-01 05:00:00
6,-11919.151550579898,0.0,11919.151550579898,-11919.151550579898,0.0,-3660.017368999601,-1192.2344186692317,-1.8189894035458565e-12,1192.2344186692317,3660.017368999601,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,112.82910342639593,0.015691041666666666,10419.940364273292,8598.784467745378,180.0,180.0,2021-01-01 06:00:00
7,-9319.291403683792,0.0,9319.291403683792,-9319.291403683792,0.0,-6273.001772065001,-1179.1101624999374,-1.8189894035458565e-12,1179.1101624999374,6273.001772065001,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,225.65820685279186,0.017331826666666668,6588.917283363627,6409.1311802037035,180.0,180.0,2021-01-01 07:00:00
8,-8969.890698823967,0.0,8969.890698823967,-8969.890698823967,0.0,-5661.184695717,-2140.327943707764,-1.8189894035458565e-12,2140.327943707764,5661.184695717,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,338.4873102791878,0.02182701833333333,6788.95704311905,6009.669194142152,180.0,180.0,2021-01-01 08:00:00
9,0.0,0.0,0.0,0.0,0.0,-9915.190115833602,-3664.930680527093,-1.3642420526593924e-12,3664.930680527093,9915.190115833602,-13359.602646682511,0.0,13359.602646682511,-237.3533465146639,220.51814967818325,0.0,0.0,0.0,57.353346514663926,0.0,-57.353346514663926,395.84065679385174,0.0316309,0.0,0.0,180.0,180.0,2021-01-01 09:00:00
10,-4410.42206933347,0.0,4410.42206933347,-4410.42206933347,0.0,-10286.596862487802,-2074.384406427458,-1.8189894035458565e-12,2074.384406427458,10286.596862487802,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,508.66976022024767,0.027059839999999998,3981.551959500075,2939.1856293043497,180.0,180.0,2021-01-01 10:00:00
11,-2247.59099616371,0.0,2247.59099616371,-2247.59099616371,0.0,-9862.453735939802,-4661.35860614522,-2.7284841053187847e-12,4661.35860614522,9862.453735939802,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,621.4988636466436,0.027918585000000003,1676.0561298386176,1470.5159695568886,180.0,180.0,2021-01-01 11:00:00
12,1391.3606540196506,-1391.3606540196506,0.0,0.0,1391.3606540196506,-11582.6731598066,-6580.090832461782,-2.7284841053187847e-12,6580.090832461782,11582.6731598066,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,734.3279670730395,0.031453682499999996,-705.8874665695822,-944.444005217963,180.0,180.0,2021-01-01 12:00:00
13,4403.605767804938,-4403.605767804938,0.0,0.0,4403.605767804938,-13305.144671071002,-7869.864434982666,-1.8189894035458565e-12,7869.864434982666,13305.144671071002,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,847.1570704994355,0.030285335833333336,-2781.9057459602727,-2990.8727858330362,180.0,180.0,2021-01-01 13:00:00
14,4054.9691318505375,-4054.9691318505375,0.0,0.0,4054.9691318505375,-12667.053241751002,-8159.319228348265,-9.094947017729282e-13,8159.319228348265,12667.053241751002,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,959.9861739258314,0.03088958166666667,-2987.7347781014614,-2692.5319149170277,180.0,180.0,2021-01-01 14:00:00
15,1336.6535873865814,-1336.6535873865814,0.0,0.0,1336.6535873865814,-7982.899128692801,-10125.157796942513,-3.637978807091713e-12,10125.157796942513,7982.899128692801,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,1072.8152773522274,0.032161335,-769.2779720254791,-901.471125354249,180.0,180.0,2021-01-01 15:00:00
16,0.0,0.0,0.0,0.0,0.0,-3015.1696774868005,-9984.325348292437,0.0,9984.325348292437,3015.1696774868005,-12791.492599972731,0.0,12791.492599972731,-227.26002081169827,208.00242580650584,0.0,0.0,0.0,47.26002081169827,0.0,-47.26002081169827,1120.0752981639257,0.035358960833333335,0.0,0.0,180.0,180.0,2021-01-01 16:00:00
17,0.0,0.0,0.0,0.0,0.0,-2813.4201814518,-9119.58359502572,0.0,9119.58359502572,2813.4201814518,-11747.990185586925,0.0,11747.990185586925,-208.72063781499614,185.0135908905952,0.0,0.0,0.0,28.72063781499614,0.0,-28.72063781499614,1148.7959359789218,0.0362867025,0.0,0.0,180.0,180.0,2021-01-01 17:00:00
18,0.0,0.0,0.0,0.0,0.0,-701.5252243524002,-8159.719871482221,0.0,8159.719871482221,701.5252243524002,-8732.47434471084,0.0,8732.47434471084,-155.14548328166467,128.77075112378168,0.0,0.0,0.0,0.0,-24.854516718335333,0.0,1123.9414192605864,0.041060704999999996,0.0,0.0,180.0,155.14548328166467,2021-01-01 18:00:00
19,0.0,0.0,0.0,0.0,0.0,-0.0,-5975.465182310604,0.0,5975.465182310604,0.0,-5888.630303970332,0.0,5888.630303970332,-104.6203353497267,86.83487834027316,0.0,0.0,0.0,0.0,-75.3796646502733,0.0,1048.561754610313,0.041752065000000005,0.0,0.0,180.0,104.6203353497267,2021-01-01 19:00:00
20,0.0,0.0,0.0,0.0,0.0,-0.0,-4633.504037417467,-9.094947017729282e-13,4633.504037417467,0.0,-4566.170407799909,0.0,4566.170407799909,-81.1248549609121,67.33362961755704,0.0,0.0,0.0,0.0,-98.8751450390879,0.0,949.6866095712252,0.039003963333333336,0.0,0.0,180.0,81.1248549609121,2021-01-01 20:00:00
21,0.0,0.0,0.0,0.0,0.0,-0.0,-4213.397195499843,-9.094947017729282e-13,4213.397195499843,0.0,-4152.168517613211,0.0,4152.168517613211,-73.76949142967635,61.22867788663137,0.0,0.0,0.0,0.0,-106.23050857032364,0.0,843.4561010009015,0.037024769166666666,0.0,0.0,180.0,73.76949142967636,2021-01-01 21:00:00
22,0.0,0.0,0.0,0.0,0.0,-0.0,-4520.965703658049,0.0,4520.965703658049,0.0,-4455.267470151501,0.0,4455.267470151501,-79.15449820066118,65.69823350654877,0.0,0.0,0.0,0.0,-100.84550179933882,0.0,742.6105992015628,0.036360904166666666,0.0,0.0,180.0,79.15449820066118,2021-01-01 22:00:00
