,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtailment,CP_wind,CP_pv,CP_el,CP_bat,el_pin,el_pout,comp_pin,bat_pin,bat_pout,bat_e,h2_storage_pin,h2_storage_pout,H2CP_h2_storage,h2_storage_level,price,MEF_CO2,AEF_CO2,Load,Direct_pipeline_supply,Time
4290,10496.315338166252,-10496.315338166252,0.0,0.0,10496.315338166252,0.0,-10496.315338166252,0.0,10496.315338166252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180.0,0.0,37067.8561297202,0.13898722166666666,-6049.608209815156,-7535.837994088732,180.0,0.0,2021-06-28 18:00:00
4291,4797.008822953906,-4797.008822953906,0.0,0.0,4797.008822953906,0.0,-4797.008822953906,0.0,4797.008822953906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180.0,0.0,36887.8561297202,0.07546184166666667,-2420.776079168375,-3421.852414361592,180.0,0.0,2021-06-28 19:00:00
4292,3610.404891922317,-3610.404891922317,0.0,0.0,3610.404891922317,0.0,-3610.404891922317,0.0,3610.404891922317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180.0,0.0,36707.8561297202,0.08443341666666668,-2306.551245540499,-2599.6702624990526,180.0,0.0,2021-06-28 20:00:00
4293,5496.536379979303,-5496.536379979303,0.0,0.0,5496.536379979303,0.0,-5496.536379979303,0.0,5496.536379979303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180.0,0.0,36527.8561297202,0.07582243333333334,-1648.7558899805047,-3989.221967019599,180.0,0.0,2021-06-28 21:00:00
4294,0.0,0.0,0.0,0.0,0.0,0.0,-10892.13101267944,0.0,10892.13101267944,0.0,-10729.554035451722,0.0,10729.554035451722,-190.62659453848238,162.57697722771815,0.0,0.0,0.0,10.62659453848238,0.0,-10.62659453848238,36538.48272425868,0.06966842250000001,0.0,0.0,180.0,180.0,2021-06-28 22:00:00
4295,-8633.433163160325,0.0,8633.433163160325,-8633.433163160325,0.0,0.0,-8137.970175088405,0.0,8137.970175088405,0.0,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,36651.31182768508,0.05736304166666667,1242.182425545811,6137.456698435012,180.0,180.0,2021-06-28 23:00:00
4296,-8934.842799257844,0.0,8934.842799257844,-8934.842799257844,0.0,0.0,-7836.560538990887,0.0,7836.560538990887,0.0,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,36764.14093111148,0.05437654333333333,4143.500316786566,6287.974505704782,180.0,180.0,2021-06-29 00:00:00
4297,-10687.316253973686,0.0,10687.316253973686,-10687.316253973686,0.0,0.0,-6084.087084275044,0.0,6084.087084275044,0.0,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,36876.97003453787,0.052588222500000004,6143.453216856726,7562.2429281288705,180.0,180.0,2021-06-29 01:00:00
4298,-6984.495184534348,0.0,6984.495184534348,-6984.495184534348,0.0,0.0,-9786.908153714383,0.0,9786.908153714383,0.0,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,36989.79913796427,0.047105042500000006,2494.8456557375916,4926.44603357544,180.0,180.0,2021-06-29 02:00:00
4299,-346.19206599316925,0.0,346.19206599316925,-346.19206599316925,0.0,0.0,-16425.21127225556,0.0,16425.21127225556,0.0,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,37102.62824139067,0.044399045,153.12533751631042,243.3020149385421,180.0,180.0,2021-06-29 03:00:00
4300,-346.19206599316925,0.0,346.19206599316925,-346.19206599316925,0.0,0.0,-16425.21127225556,0.0,16425.21127225556,0.0,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,37215.45734481706,0.046710766666666674,116.95429595874427,243.8919127175039,180.0,180.0,2021-06-29 04:00:00
4301,-346.19206599316925,0.0,346.19206599316925,-346.19206599316925,0.0,0.0,-16425.21127225556,0.0,16425.21127225556,0.0,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,37328.28644824346,0.056951735833333336,52.99241812012264,242.7296445176895,180.0,180.0,2021-06-29 05:00:00
4302,-346.19206599316925,0.0,346.19206599316925,-346.19206599316925,0.0,0.0,-16425.21127225556,0.0,16425.21127225556,0.0,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,37441.115551669856,0.056886787499999994,152.05826847077813,238.6703427910975,180.0,180.0,2021-06-29 06:00:00
4303,0.0,0.0,0.0,0.0,0.0,-1452.7840454018,-11441.948682105403,0.0,11441.948682105403,1452.7840454018,-12688.988513553786,0.0,12688.988513553786,-225.43888222049873,205.7442139534184,0.0,0.0,0.0,45.438882220498726,0.0,-45.438882220498726,37486.55443389036,0.0702007125,0.0,0.0,180.0,180.0,2021-06-29 07:00:00
4304,-1766.8768557817366,0.0,1766.8768557817366,-1766.8768557817366,0.0,-10420.408388695201,-4584.118093771794,0.0,4584.118093771794,10420.408388695201,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,37599.38353731675,0.05745255416666666,739.6018213594673,1164.868280282826,180.0,180.0,2021-06-29 08:00:00
4305,-4809.194875196878,0.0,4809.194875196878,-4809.194875196878,0.0,-11568.4099396218,-393.79852343005246,0.0,393.79852343005246,11568.4099396218,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,37712.21264074315,0.04998818583333334,2823.2494572738597,3078.5363083212524,180.0,180.0,2021-06-29 09:00:00
4306,-4156.5943851872125,0.0,4156.5943851872125,-4156.5943851872125,0.0,-11540.6341950514,-1074.174758010118,0.0,1074.174758010118,11540.6341950514,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,37825.041744169546,0.0451436225,2579.2984442685924,2646.370459451408,180.0,180.0,2021-06-29 10:00:00
4307,-4305.847921977143,0.0,4305.847921977143,-4305.847921977143,0.0,-11053.057273471002,-1412.498142800585,0.0,1412.498142800585,11053.057273471002,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,37937.87084759594,0.04853176916666666,3019.2414470785234,2728.254627798133,180.0,180.0,2021-06-29 11:00:00
4308,-3353.506795835372,0.0,3353.506795835372,-3353.506795835372,0.0,-10788.061656353402,-2629.8348860599567,0.0,2629.8348860599567,10788.061656353402,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,38050.69995102234,0.04756252166666667,2133.549870690452,2167.9822297551536,180.0,180.0,2021-06-29 12:00:00
4309,-3942.6083944029215,0.0,3942.6083944029215,-3942.6083944029215,0.0,-10855.2489303818,-1973.5460134640084,0.0,1973.5460134640084,10855.2489303818,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,38163.529054448736,0.044798493333333335,2234.5750090826937,2571.8417164456546,180.0,180.0,2021-06-29 13:00:00
4310,-4045.289600938335,0.0,4045.289600938335,-4045.289600938335,0.0,-10983.805585994802,-1742.308151315593,0.0,1742.308151315593,10983.805585994802,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,38276.35815787513,0.05097768666666667,2339.6495255137634,2679.290083836809,180.0,180.0,2021-06-29 14:00:00
4311,0.0,0.0,0.0,0.0,0.0,-10294.479168379401,-1424.1237613919936,0.0,1424.1237613919936,10294.479168379401,-11538.210872975884,0.0,11538.210872975884,-204.99359418992688,180.39205679550932,0.0,0.0,0.0,24.99359418992688,0.0,-24.99359418992688,38301.35175206506,0.06452213166666666,0.0,0.0,180.0,180.0,2021-06-29 15:00:00
4312,9037.800811693043,-9037.800811693043,0.0,0.0,9037.800811693043,-6840.152448360602,-2197.648363332441,0.0,2197.648363332441,6840.152448360602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180.0,0.0,38121.35175206506,0.10034754333333332,-3599.4045613824205,-6462.733577208733,180.0,0.0,2021-06-29 16:00:00
4313,5418.49499975048,-5418.49499975048,0.0,0.0,5418.49499975048,-391.67553323260006,-5026.81946651788,0.0,5026.81946651788,391.67553323260006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180.0,0.0,37941.35175206506,0.14812658583333332,-2792.5134718976933,-3881.7745109078255,180.0,0.0,2021-06-29 17:00:00
4314,7321.632499468058,-7321.632499468058,0.0,0.0,7321.632499468058,0.0,-7321.632499468058,0.0,7321.632499468058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180.0,0.0,37761.35175206506,0.19763682749999997,-3541.727042913778,-5213.792819674062,180.0,0.0,2021-06-29 18:00:00
