,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_MEF,EI_MeanEI,EI_GCO,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Supply_ratio,Ratio
18,NSW1,2021,3.266780795,26266526.99,60,0.293614563,5019.830795,26.41071391,26.76116573,25.56505975,26.70483594,2221448.157,-52391195.09,0,40320.20226,5950.2,0,14775,49445.91238,14277.14969,2025207.3,1277500,0,0,0.3,0,24,-1,0.402720812
19,NSW1,2021,3.193919406,29081373.5,60,0.389702205,5019.830795,22.37448174,22.4389165,21.34252716,22.44682887,3094237.589,-45264566.84,0,33660.59068,7933.6,0,14775,46315.00511,14046.1399,1503309.412,1277500,0,0,0.4,0,24,-1,0.536961083
20,NSW1,2021,3.122932304,31878712.01,60,0.485235442,5019.830795,18.35965639,18.09224856,17.11509311,18.18882181,4008146.215,-38179057.77,0,26993.2487,9917,0,14775,42316.55065,13782.96654,987019.8767,1277500,0,0,0.5,0,24,-1,0.671201354
21,NSW1,2021,3.054427665,34693910.27,60,0.579564756,5019.830795,14.40864342,13.7671293,12.87701525,13.93081474,5011347.337,-31182841.21,0,20309.11972,11900.4,0,14775,39879.65479,13376.89069,473373.9531,1277500,0,0,0.6,0,24,-1,0.805441624
22,NSW1,2021,2.98967813,37552870.67,60,0.671466196,5019.830795,10.46605887,9.428535225,8.617472691,9.672807674,6194619.012,-24366695.19,0,13591.13749,13883.8,0,14775,37543.18687,13588.29395,-38225.04213,1277500,0,0,0.7,0,24,-1,0.939681895
23,NSW1,2021,2.94214257,40496731.51,60,0.754973773,5019.830795,6.571693564,5.159285313,4.344544263,5.465862547,7904517.869,-18173105.23,-95928.86556,6852.043576,15867.2,0,14775,35744.90498,14908.46307,-526953.4763,1277500,0,0,0.8,0,24,-1,1.073922166
24,NSW1,2021,2.928162063,43540104.59,60,0.815007587,5019.830795,3.07562815,1.133904169,0.107153554,1.462974408,10972061.66,-13720517.26,-575214.7926,168.9983521,17850.6,0,14775,37489.19402,16772.02095,-963409.6352,1277500,0,0,0.9,0,24,-1,1.208162437
25,NSW1,2021,2.934915335,46592678.08,60,0.859132839,5019.830795,-0.373356684,-2.801769838,-4.134132443,-2.425110097,15003832.85,-10447835.57,-1270179.606,-6520.190366,19834,0,14775,39754.45751,18635.57883,-1361471.942,1277500,0,0,1,0,24,-1,1.342402707
26,NSW1,2021,2.957733306,49681536.92,60,0.889597272,5019.830795,-3.71582654,-6.672258965,-8.401764805,-6.233921595,19899871.33,-8188349.509,-2114072.751,-13250.93153,21817.4,0,14775,43985.31329,20522.26889,-1733184.838,1277500,246.8628767,0,1.1,0,24,-1,1.476642978
27,NSW1,2021,2.993226177,52818756.3,60,0.908391427,5019.830795,-6.901523452,-10.5372076,-12.71453192,-9.994006895,25569930.26,-6794424.663,-3049506.661,-20052.85744,23800.8,0,14775,49942.39504,22671.83241,-2086408.177,1277500,702.1260708,0,1.2,0,24,-1,1.610883249
28,NSW1,2021,3.036886246,55933550.27,60,0.92258253,5019.830795,-10.06471583,-14.36339076,-17.01910201,-13.71304678,31504277.26,-5741898.928,-4062051.618,-26841.85533,25784.2,0,14775,55433.02085,24612.75176,-2421471.602,1277500,766.0605525,0,1.3,0,24,-1,1.745123519
29,NSW1,2021,3.087007426,59019587.37,60,0.933286596,5019.830795,-13.25953658,-18.15961538,-21.30537034,-17.39084136,37619764.18,-4947999.718,-5152083.175,-33601.98841,27767.6,0,14775,59478.68768,26506.04036,-2740884.627,1277500,532.7227426,0,1.4,0,24,-1,1.87936379
30,TAS1,2021,2.764422362,18696981.34,60,0,5150.555556,15.41590484,0.042750849,38.185344,6.966857143,0,-74168000,0,60224.416,0,0,14400,57405.51181,14400,2137514.63,1277500,0,0,0,0,24,-1,0
31,TAS1,2021,2.779502692,20955811.77,60,0.095346695,5150.555556,13.99013231,0.037277067,34.32540986,6.270132889,345536.6008,-67096326.31,0,54136.68037,1629,0,14400,53678.8778,14117.06698,1857667.865,1277500,0,0,0.1,0,24,-1,0.113125
32,TAS1,2021,2.796011475,23189078.79,60,0.190615559,5150.555556,12.44250596,0.031384362,30.46478762,5.573408635,696845.8125,-60030425.24,0,48047.85948,3258,0,14400,49220.24263,13755.64783,1583519.743,1277500,0,0,0.2,0,24,-1,0.22625
33,TAS1,2021,2.8141236,25430926.29,60,0.285371601,5150.555556,10.95646862,0.025160404,26.59963155,4.876684381,1086189.963,-53002559.1,0,41951.88803,4887,0,14400,45877.02462,13325.17414,1311423.417,1277500,0,0,0.3,0,24,-1,0.339375
34,TAS1,2021,2.834256881,27631719.74,60,0.3798176,5150.555556,9.384643841,0.020163328,22.73173441,4.179960127,1498529.386,-45997688.24,0,35851.59347,6516,0,14400,42088.71616,12688.52801,1047959.483,1277500,694.5991059,0,0.4,0,24,-1,0.4525
35,TAS1,2021,2.856753607,29814868.57,60,0.473427443,5150.555556,7.806441209,0.015052483,18.85644486,3.483235873,1972884.826,-39054833.39,0,29739.63989,8145,0,14400,39255.85025,11837.48602,791050.9259,1277500,3400.596489,0,0.5,0,24,-1,0.565625
36,TAS1,2021,2.881580167,31970146.57,60,0.566030061,5150.555556,6.248016275,0.009129914,14.97225049,2.78651162,2521944.175,-32186682.46,0,23613.64198,9774,0,14400,37314.82301,10715.50805,541825.7107,1277500,8362.20762,0,0.6,0,24,-1,0.67875
37,TAS1,2021,2.908952719,34214498.64,60,0.657378006,5150.555556,4.678278985,0.003067194,11.07696364,2.089787366,3164060.085,-25411588.08,0,17470.14944,11403,0,14400,35980.3321,10080.25449,287064.4493,1277500,12776.39255,0,0.7,0,24,-1,0.791875
38,TAS1,2021,2.949927604,36782624.74,60,0.743696833,5150.555556,3.27222682,-0.001057642,7.137214647,1.393063112,4179175.554,-19009493.26,0,11256.53298,13032,0,14400,35037.94421,11413.01021,20456.4982,1277500,14399.7219,0,0.8,0,24,-1,0.905
39,TAS1,2021,3.004639629,38892509.62,60,0.833381969,5150.555556,1.683580294,-0.004927227,3.227226992,0.696338858,4944618.682,-12357726.11,0,5089.854916,14661,0,14400,29025.28252,10455.70268,-166591.5576,1277500,10979.04319,0,0.9,0,24,-1,1.018125
40,TAS1,2021,3.079939409,41388228.86,60,0.896683878,5150.555556,0.120062775,-0.010751996,-0.915595306,-0.000323481,7666193.845,-7662750.124,-659.1405122,-1444.040745,16290,0,14400,29887.99003,11140.72642,-359423.3449,1277500,8681.832034,0,1,0,24,-1,1.13125
41,TAS1,2021,3.2037006,43965472.77,60,0.915147151,5150.555556,-0.790440397,-0.015802084,-3.708881113,-0.438326226,10959714.02,-6293366.069,-2754965.202,-5849.500767,17919,0,14400,29590.21627,12459.40716,-469512.3852,1277500,7623.713945,0,1.1,0,24,-1,1.244375
42,TAS1,2021,3.331751574,46522295.55,60,0.932131291,5150.555556,-1.783588053,-0.020570815,-6.390479203,-0.857845319,14166164.67,-5033686.374,-5706045.137,-10078.81134,19548,0,14400,29779.14458,13597.86247,-569055.688,1277500,6730.622965,0,1.2,0,24,-1,1.3575
43,TAS1,2021,3.462573812,49092670.35,60,0.946096312,5150.555556,-2.533486301,-0.025122404,-9.005925277,-1.263609765,17450107.68,-3997928.724,-8803554.763,-14203.78956,21177,0,14400,30783.77738,14731.01768,-664903.5524,1277500,6562.215431,0,1.3,0,24,-1,1.470625
44,TAS1,2021,3.595422558,51664882.7,60,0.955915794,5150.555556,-3.292431131,-0.030631755,-11.58265299,-1.658208459,20922648.26,-3269637.372,-12019933.12,-18267.70272,22806,0,14400,31892.46131,15864.17288,-757108.1913,1277500,6111.249432,0,1.4,0,24,-1,1.58375
45,VIC1,2021,2.673515531,16313104.09,60,0,5704.791939,33.77214115,46.27927821,38.185344,45.86514286,0,-74168000,0,60224.416,0,0,13001,69022.8248,13001,2320295.936,1277500,2820.014764,0,0,0,24,-1,0
46,VIC1,2021,2.655692968,18475693.43,60,0.09771572,5704.791939,30.52836901,41.53608497,34.1246966,41.06219021,519420.4637,-66920620.46,0,53820.12335,1548.1,0,13001,64737.28661,12849.79202,1991285.077,1277500,2839.176683,0,0.1,0,24,-1,0.119075456
47,VIC1,2021,2.639522977,20634068.81,60,0.194942507,5704.791939,27.3073297,36.78500361,30.05972658,36.25923756,1075104.131,-59709504.11,0,47409.01321,3096.2,0,13001,60418.19688,12660.05806,1665911.019,1277500,2651.640223,0,0.2,0,24,-1,0.238150911
48,VIC1,2021,2.625154309,22803484.19,60,0.29100378,5704.791939,24.05403601,32.05661935,25.9844523,31.45628492,1717231.677,-52584831.65,0,40981.65163,4644.3,0,13001,56994.6565,12419.52187,1342678.936,1277500,2882.83863,0,0.3,0,24,-1,0.357226367
