,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Connection_fee
21,TAS1,2021,2.475035014,12084046.41,60,0.006121122,7586.7033,37.3503389,14.45594079,5.830914586,6.814727875,9937.654126,-72558394.82,0,58907.47894,100.3270047,0,9477.766186,38006.27626,9617.527154,2628970.725,1277500,299.3867825,0,1,0,24,120
22,TAS1,2021,2.486794531,12243398.79,60,0.006532565,7610.065092,37.33427477,14.43934904,5.827393827,6.811809421,10508.82971,-72527896.63,0,58882.14323,107.0487511,0,9448.670824,37575.91733,9588.002746,2634215.49,1277500,309.1235102,0,1,0,24,140
23,TAS1,2021,2.498511185,12399373.69,60,0.007151663,7638.422968,37.31013802,14.41539904,5.819875013,6.807425064,11398.80766,-72482111.46,0,58844.0757,117.1696617,0,9413.592348,37157.62586,9552.406997,2640011.294,1277500,320.8370339,0,1,0,24,160
24,TAS1,2021,2.510198067,12582816.99,60,0.008102786,7653.333136,37.2732606,14.39587124,5.810828744,6.800728086,12835.71848,-72412253.47,0,58785.9141,132.7343151,0,9395.252855,36755.51326,9532.507764,2641464.699,1277500,326.9006391,0,1,0,24,180
25,TAS1,2021,2.521851902,12838368.25,60,0.012704382,7674.048853,37.09570151,14.31300968,5.787954899,6.768479479,19584.55865,-72075689.01,0,58505.87492,207.9940293,0,9369.890834,36101.80464,9502.527715,2633182.958,1277500,334.797717,0,1,0,24,200
26,TAS1,2021,2.533457475,14498091.95,60,0.080588237,7734.253598,34.47758862,13.32222797,5.373052046,6.29305789,122999.0273,-67117844.48,0,54376.69069,1319.065869,0,9296.95401,33760.09332,9376.354237,2435009.572,1277500,348.8776773,0,1,0,24,220
27,TAS1,2021,2.544284068,25640286.48,60,0.580380103,8111.266827,15.21313519,6.06624019,2.367343931,2.794655368,875583.1916,-30627018.47,0,23993.5558,9495.698545,0,8864.829814,18136.43866,8520.759069,953772.1232,1277500,419.5019374,0,1,0,24,240
28,TAS1,2021,2.554667722,25865465.21,60,0.584209634,8113.027202,15.08311617,6.014610671,2.342579037,2.77045559,853603.8878,-30347412.36,0,23788.49495,9552.227858,0,8862.906312,17823.78519,8444.171516,945827.1332,1277500,424.6560646,0,1,0,24,260
29,TAS1,2021,2.564979658,25938861.88,60,0.580931181,8109.661897,15.21794759,6.065522509,2.3601207,2.794654914,835190.3242,-30586620.76,0,24001.14573,9495.607434,0,8866.584195,17653.1366,8394.119049,958269.1334,1277500,428.4801112,0,1,0,24,280
30,SA1,2021,2.12808527,32854823.48,60,0.636618136,6181.528086,7.776979517,6.935405237,0.901144298,3.376953033,9289967.566,-26546197.56,-220681.5893,12265.54485,13647.6823,0,11632.23705,33173.77103,12065,-948956.4529,1277500,3475.10724,0,1,0,24,0
31,SA1,2021,2.142693135,32757181.42,60,0.632944031,6190.325471,8.190588922,7.207822165,1.083282289,3.514728543,8860958.346,-26821221.2,-10790.36126,12917.87327,13429.41431,0,11615.70588,33181.95388,11871.60519,-902783.2485,1277500,3411.947276,0,1,0,24,20
32,SA1,2021,2.157193927,32856803.69,60,0.631600177,6210.348449,8.340389042,7.311906946,1.164623256,3.564383895,8700198.311,-26914200.01,-6031.212874,13154.1321,13362.98499,0,11578.25532,33247.27207,11812.88166,-882860.1646,1277500,3319.022373,0,1,0,24,40
33,SA1,2021,2.171622552,32938670.81,60,0.629886991,6233.874123,8.505245145,7.43227879,1.25209994,3.619696627,8537994.538,-27034644.3,-2485.525784,13414.13663,13290.15465,0,11534.56079,33364.06892,11748.49962,-860479.1227,1277500,3307.271956,0,1,0,24,60
34,SA1,2021,2.185966649,32995324.55,60,0.628165338,6266.268659,8.689223098,7.564978569,1.362179426,3.681037818,8348427.913,-27158531.16,-1674.110206,13704.29939,13212.3644,0,11474.93092,33590.28442,11679.73302,-834294.3201,1277500,3347.644095,0,1,0,24,80
35,SA1,2021,2.200242985,33105681.06,60,0.62704865,6288.22266,8.809525945,7.640093623,1.426887949,3.721145397,8224397.502,-27239450.48,-1117.64102,13894.03629,13161.87665,0,11434.86862,33444.82059,11635.10184,-816347.094,1277500,3237.409105,0,1,0,24,100
36,SA1,2021,2.214467225,33239165.62,60,0.626360191,6305.570301,8.911068619,7.703251284,1.483074801,3.754310627,8104525.475,-27289052.78,-910.8917804,14054.18538,13120.09283,0,11403.40946,33420.88705,11598.16494,-801916.0742,1277500,3150.458323,0,1,0,24,120
