,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,,New_EI_GCO,New_EI_MEF,New_EI_AEF,New_EI_L,RECs,Ratio
14,QLD1,2021,3.071056737,71603198.42,60,0.940902312,5070.53954,-17.69754063,-12.22657747,-15.02271097,-15.48553614,31419760.93,-4320072.678,-7882921.118,-27911.86192,22858.56957,16510.1509,14180.93665,74907.51396,21639.40119,-4380866.73,1277500,0,0,1.4,0,24,,-0.531457676,-0.367164489,-0.451132462,-0.465031115,-0.656120588,2.776172085
15,TAS1,2021,2.703169636,18169363.24,60,0,5154.425214,37.61455911,15.17826523,0.041980781,6.86271832,0,-73059355.44,0,59324.19662,0,0,13950.14905,56536.46999,14199.50401,2107488.001,1277500,0,0,0,0,24,,1.12956634,0.455803761,0.001260684,0.206087637,1.394526345,0
16,TAS1,2021,2.717394083,20388139.7,60,0.09547977,5154.425214,33.80747413,13.77777572,0.036667494,6.175460903,337471.0601,-66080398.59,0,53319.81259,1606.072627,0,13950.14905,52698.55792,13887.19539,1831317.806,1277500,0,0,0.1,0,24,,1.015239463,0.413747019,0.001101126,0.185449276,1.253382054,0.115129424
17,TAS1,2021,2.733511817,22597957.27,60,0.190847657,5154.425214,29.99910724,12.25437358,0.031223032,5.488164095,683885.0472,-59109965.31,0,47313.40678,3212.145254,0,13950.14905,48665.73226,13540.62149,1559795.664,1277500,0,0,0.2,0,24,,0.900874091,0.367999207,0.000937629,0.164809733,1.112190236,0.230258848
18,TAS1,2021,2.751237152,24800380.64,60,0.285924397,5154.425214,26.18830534,10.78210052,0.024764261,4.800900101,1052235.507,-52161817.84,0,41303.16058,4818.217881,0,13950.14905,44955.18555,13112.77027,1292195.401,1277500,0,0,0.3,0,24,,0.786435596,0.323786802,0.000743671,0.144171174,0.970908143,0.345388272
19,TAS1,2021,2.770963528,26973925.24,60,0.38038577,5154.425214,22.37220226,9.252962668,0.019968098,4.113659626,1466139.759,-45259474.53,0,35284.55356,6424.290508,0,13950.14905,41539.92059,12473.15847,1031770.117,1277500,303.2661815,0,0.4,0,24,,0.671837906,0.277866747,0.000599643,0.123533322,0.829429513,0.460517697
20,TAS1,2021,2.793040853,29127404.88,60,0.474074742,5154.425214,18.54961083,7.676966926,0.015072521,3.426470761,1936848.869,-38414485.52,0,29255.71337,8030.363135,0,13950.14905,38761.14761,11639.10317,778158.5329,1277500,3232.872718,0,0.5,0,24,,0.55704537,0.230539547,0.000452628,0.10289702,0.687710334,0.575647121
21,TAS1,2021,2.817466259,31247184.3,60,0.567001617,5154.425214,14.72117848,6.117997336,0.009040421,2.739420356,2462924.807,-31626337.34,0,23217.66111,9636.435762,0,13950.14905,36590.0774,10529.0712,532944.4865,1277500,7618.162117,0,0.6,0,24,,0.442077432,0.183723644,0.000271484,0.082264876,0.545774607,0.690776545
22,TAS1,2021,2.84453582,33473751.22,60,0.6582446,5154.425214,10.88045448,4.59740066,0.003287953,2.052749931,3109589.117,-24962822.75,0,17160.22296,11242.50839,0,13950.14905,35731.21836,9938.379875,280316.6054,1277500,12646.22789,0,0.7,0,24,,0.326740375,0.13806008,9.87373E-05,0.061644142,0.403383179,0.805905969
23,TAS1,2021,2.885179229,35988770.16,60,0.744746807,5154.425214,6.999919103,3.22224394,-0.000982425,1.366298907,4100325.399,-18645715.85,0,11039.99587,12848.58102,0,13950.14905,34686.47031,11159.70608,19904.87019,1277500,14109.79858,0,0.8,0,24,,0.210207781,0.096764082,-2.95023E-05,0.041029997,0.259515779,0.921035393
