,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,,,Updated AEF
26,NSW1,2021,3.612660524,58217175.24,60,0.84583833,3828.435209,-6.273529712,-1.931440071,-4.853321298,-4.139050934,19044158.97,-11268221.37,-884760.7401,-9894.363218,24688.80435,0,18781.82497,43638.95209,21824.90845,-1784518.91,1277500,1065.534362,0,1.1,0,24,,,-0.145745384
27,NSW1,2021,3.681515246,61733339.61,60,0.864564523,3828.435209,-10.32758769,-4.891911429,-8.520136685,-7.679381626,24327018.92,-9899945.352,-1662227.533,-16288.2633,26933.24111,0,18781.82497,50184.32444,23808.99103,-2125661.619,1277500,779.054541,0,1.2,0,24,,,-0.255859961
28,NSW1,2021,3.756613044,65229587.54,60,0.880696819,3828.435209,-14.35374173,-7.957735133,-12.16283972,-11.17733558,29719645.43,-8721048.073,-2520162.794,-22638.15439,29177.67787,0,18781.82497,55601.92522,25793.07362,-2452599.371,1277500,1078.466238,0,1.3,0,24,,,-0.365250442
29,NSW1,2021,3.836234555,68694324.35,60,0.8916148,3828.435209,-18.39157539,-10.94958983,-15.75775371,-14.64696366,35440098.2,-7923192.209,-3431776.082,-29006.46613,31422.11463,0,18781.82497,59235.20394,27777.1562,-2767253.48,1277500,658.336713,0,1.4,0,24,,,-0.473205817
30,VIC1,2021,2.820554995,21624589.48,60,0,4059.02968,37.62558158,35.26880046,42.81062836,45.19280157,0,-73080764.56,0,59341.58082,0,0,17714.82489,58105.17167,18050.3616,1718404.167,1277500,41881.15174,0,0,0,24,,,1.285604455
31,VIC1,2021,2.887087872,24581006.87,60,0.089255418,4059.02968,33.76431691,32.12105029,38.56935045,40.6684927,792941.1022,-66557497.33,0,53251.74673,2041.322901,0,17714.82489,58576.10435,17816.06262,1443728.998,1277500,43892.24579,0,0.1,0,24,,,1.158238752
32,VIC1,2021,2.956201751,27520739.09,60,0.176700266,4059.02968,29.88752997,28.9923196,34.34609439,36.14448347,1718193.769,-60167026.22,0,47137.43152,4082.645802,0,17714.82489,58185.04972,17566.2054,1175911.487,1277500,44703.20687,0,0.2,0,24,,,1.031414246
33,VIC1,2021,3.027508387,30466379.76,60,0.262726446,4059.02968,25.99856096,25.82807678,30.12730634,31.6206732,2747033.231,-53880463.63,0,41003.90324,6123.968703,0,17714.82489,58308.04685,17282.62801,911579.1573,1277500,45743.27546,0,0.3,0,24,,,0.904723914
34,VIC1,2021,3.100973995,33372497.81,60,0.347408971,4059.02968,22.09784731,22.59006577,25.90723447,27.09681092,3874036.953,-47691981.2,0,34851.85178,8165.291604,0,17714.82489,56881.31148,16869.74902,655963.0495,1277500,44902.72454,0,0.4,0,24,,,0.777995029
35,VIC1,2021,3.176700968,36266281.37,60,0.42873138,4059.02968,18.16881964,19.38465797,21.68110005,22.5739887,5245835.557,-41749975.51,0,28655.14456,10206.61451,0,17714.82489,55160.04192,16380.98692,406089.0735,1277500,42922.16673,0,0.5,0,24,,,0.651084086
36,VIC1,2021,3.254843081,39163420.02,60,0.509084035,4059.02968,14.23177252,16.08055087,17.45393974,18.05158666,6687845.308,-35878860.45,0,22445.78937,12247.93741,0,17714.82489,54709.9654,15689.09519,160421.1937,1277500,42328.01519,0,0.6,0,24,,,0.524142335
37,VIC1,2021,3.335638095,42013837.97,60,0.58739413,4059.02968,10.27742448,12.77165855,13.24077221,13.52965401,8278273.474,-30156922.83,0,16209.14786,14289.26031,0,17714.82489,52938.39905,14748.44613,-74751.29288,1277500,38841.86031,0,0.7,0,24,,,0.397620787
38,VIC1,2021,3.419470058,44937096.58,60,0.659117807,4059.02968,6.265965041,9.597535493,9.078104558,9.007941186,10349353.23,-24915992.3,0,9882.432518,16330.58321,0,17714.82489,51946.39725,14436.23913,-312633.1707,1277500,35587.00689,0,0.8,0,24,,,0.272615752
39,VIC1,2021,3.513489035,48085937.05,60,0.723557206,4059.02968,2.191756197,6.497792997,4.902650642,4.486903228,12951560.8,-20207280.89,0,3456.751285,18371.90611,0,17714.82489,52461.11095,16240.76902,-557417.6505,1277500,32151.72578,0,0.9,0,24,,,0.147226746
40,VIC1,2021,3.616115067,51131052.97,60,0.788816711,4059.02968,-1.868410331,3.234988796,0.716445156,-0.027253834,15484024.5,-15439952.64,-1855.264797,-2946.78296,20413.22901,0,17714.82489,51193.31227,17276.73089,-773728.9077,1277500,27956.62891,0,1,0,24,,,0.02151487
41,VIC1,2021,3.748725937,54167311.83,60,0.819717637,4059.02968,-4.701695869,1.098866503,-2.121138083,-3.051960441,18126984.71,-13191694.25,-2365606.746,-7415.328979,22454.55191,0,17714.82489,50905.27309,18034.39918,-931932.4176,1277500,24998.77126,0,1.1,0,24,,,-0.06369784
42,VIC1,2021,3.886367254,57306373.32,60,0.842018119,4059.02968,-7.470575671,-0.824096921,-4.805634887,-5.942017584,21170087.41,-11561318.47,-4998995.103,-11782.29681,24495.87481,0,17714.82489,50131.45427,19976.97687,-1092543.046,1277500,22662.49775,0,1.2,0,24,,,-0.14431336
43,VIC1,2021,4.026863923,60468550.99,60,0.86241616,4059.02968,-10.16610658,-2.619565402,-7.414156248,-8.744424416,24210044.01,-10069534.91,-7775948.746,-16033.58167,26537.19771,0,17714.82489,50545.66001,21942.27447,-1250412.954,1277500,21601.15723,0,1.3,0,24,,,-0.222647335
44,VIC1,2021,4.169989944,63621906.1,60,0.877153037,4059.02968,-12.82218047,-4.321313008,-9.91335883,-11.46018602,27524158.81,-8992022.559,-10691485.24,-20222.63649,28578.52061,0,17714.82489,50328.36357,23932.35691,-1402249.619,1277500,19908.01886,0,1.4,0,24,,,-0.297698463
