,Interval,Hourly,Daily,Monthly,Yearly
0,"(-inf, 0.45)",1059149.3217856674,863000.3124118614,753667.6648682067,1277500.0000000028
1,"(0.45, 1.5)",18223.496037978985,66057.60559050995,437886.54829170427,0.0
2,"(1.5, 2.5)",14288.618150290487,62571.03248083117,85945.78684009195,0.0
3,"(2.5, 4)",18714.235055440822,55092.96806059898,0.0,0.0
4,"(4, inf)",167124.32897062507,230778.08145620133,0.0,0.0
