,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Supply_ratio,Maximum_power_integration
51,QLD1,2021,2.794364895,52594358.21,60,0.791593698,5475.600299,-1.842507969,0.538033744,-0.289677812,-2.19E-11,15457078.61,-15457078.61,-1165901.124,-2905.930779,18460.52044,7099.500207,13545.18152,44823.30911,16254.21783,-2356192.925,1277500,0,8759,0,1,24,-1,1.2
52,QLD1,2021,3.090963096,66126654.12,60,1,5172.436624,-9.20205145,-6.10190937,-7.99077102,-8.293206862,14513112.01,0,-8505557.178,-14513.11201,20994.69304,14076.66765,14339.08338,89828.63619,18640.80839,-3615611.21,1277500,2431.033458,1,0,1,24,-1,1.3
53,QLD1,2021,2.965868339,60390853.93,60,0.889968803,5454.337384,-5.917341467,-3.028817793,-4.423852666,-4.456210258,15959161.78,-8160793.826,-6500691.436,-9332.59719,19997.03221,11269.10232,13597.98538,78952.79912,17677.38099,-3063024.16,1277500,3220.212485,24,0,1,24,-1,1.3
54,QLD1,2021,2.821558707,54140046.76,60,0.789815563,5712.103056,-2.530720453,0.120919309,-0.852471366,-0.60607312,16649587.31,-15588959.35,-2807784.999,-3991.352319,19094.64155,7403.222806,12984.35957,89189.40765,16879.66745,-2476708.509,1277500,0,720,0,1,24,-1,1.3
55,QLD1,2021,2.772165044,52114190.02,60,0.770454299,5530.67918,-2.029400161,0.396333735,-0.382371934,-4.45E-13,17024945.53,-17024945.53,-1404545.938,-3200.68976,19721.00655,5026.449599,13410.28788,43373.74493,17433.37425,-2330764.033,1277500,0,8759,0,1,24,-1,1.3
56,QLD1,2021,3.089484937,67095068.15,60,1,5208.796853,-10.03522768,-6.711857021,-8.726225092,-9.044094083,15827164.65,0,-9577982.459,-15827.16465,22043.62586,13492.42394,14238.98879,90078.51426,19934.5843,-3743815.823,1277500,2309.415801,1,0,1,24,-1,1.4
57,QLD1,2021,2.963515387,61306226.04,60,0.889124617,5510.923186,-6.759470536,-3.66652684,-5.165324288,-5.208439813,17338175.08,-8223405.406,-7659815.387,-10660.76989,21105.15323,10628.10586,13458.36215,78455.07634,18841.707,-3185079.515,1277500,3044.76674,24,0,1,24,-1,1.4
58,QLD1,2021,2.810694556,54402396.28,60,0.778273149,5784.33452,-2.889998842,-0.168579994,-1.126171059,-0.837900018,17911362.1,-16445037.07,-3781871.697,-4557.992001,20306.67539,6009.691356,12822.21831,93169.57982,17951.10564,-2526242.358,1277500,0,720,0,1,24,-1,1.4
59,QLD1,2021,2.753893639,51689902.11,60,0.747263964,5530.426931,-2.234424562,0.237335271,-0.506770562,-7.73E-13,18744926.31,-18744926.31,-1628041.19,-3524.046145,21238.97575,2496.611228,13410.89954,43298.52579,18775.25936,-2310433.166,1277500,0,8759,0,1,24,-1,1.4
60,QLD1,2021,3.090730781,67903112.86,60,1,5245.111944,-10.65477323,-7.166097506,-9.270184137,-9.602449948,16804287.41,0,-10391781.47,-16804.28741,22691.02927,13297.64031,14140.40364,89634.76571,21210.60545,-3844439.036,1277500,2175.775063,1,0,1,24,-1,1.5
61,QLD1,2021,2.963726734,62309222.04,60,0.889132175,5557.061316,-7.636947768,-4.338812399,-5.946384281,-5.999312847,18721642.33,-8222844.849,-8868493.878,-12044.69231,22243.70426,9995.162699,13346.62257,78093.26987,20019.93386,-3315018.881,1277500,2844.153218,24,0,1,24,-1,1.5
62,QLD1,2021,2.803932452,54690389.18,60,0.765478526,5836.724992,-3.240988378,-0.417310314,-1.389556595,-1.052279404,19235477.65,-17393988.69,-4753216.186,-5111.55883,21561.8599,4523.580887,12707.12602,97754.72844,19060.68902,-2573026.068,1277500,0,720,0,1,24,-1,1.5
63,QLD1,2021,2.738221834,51298711.66,60,0.722697221,5531.265561,-2.451617704,0.075586638,-0.632709305,5.50E-12,20566992.49,-20566992.49,-1900714.613,-3866.594588,22752.59526,0,13408.86623,43537.02654,20113.29935,-2289372.286,1277500,0,8759,0,1,24,-1,1.5
